Regional Dex #,National_Dex,Pokemon,Dex
1,0722,Rowlet,Alola (USUM)
2,0723,Dartrix,Alola (USUM)
3,0724,Decidueye,Alola (USUM)
4,0725,Litten,Alola (USUM)
5,0726,Torracat,Alola (USUM)
6,0727,Incineroar,Alola (USUM)
7,0728,Popplio,Alola (USUM)
8,0729,Brionne,Alola (USUM)
9,0730,Primarina,Alola (USUM)
10,0731,Pikipek,Alola (USUM)
11,0732,Trumbeak,Alola (USUM)
12,0733,Toucannon,Alola (USUM)
13,0734,Yungoos,Alola (USUM)
14,0735,Gumshoos,Alola (USUM)
15,0019,Rattata,Alola (USUM)
16,0020,Raticate,Alola (USUM)
17,0010,Caterpie,Alola (USUM)
18,0011,Metapod,Alola (USUM)
19,0012,Butterfree,Alola (USUM)
20,0165,Ledyba,Alola (USUM)
21,0166,Ledian,Alola (USUM)
22,0167,Spinarak,Alola (USUM)
23,0168,Ariados,Alola (USUM)
24,0427,Buneary,Alola (USUM)
25,0428,Lopunny,Alola (USUM)
26,0686,Inkay,Alola (USUM)
27,0687,Malamar,Alola (USUM)
28,0570,Zorua,Alola (USUM)
29,0571,Zoroark,Alola (USUM)
30,0676,Furfrou,Alola (USUM)
31,0172,Pichu,Alola (USUM)
32,0025,Pikachu,Alola (USUM)
33,0026,Raichu,Alola (USUM)
34,0736,Grubbin,Alola (USUM)
35,0737,Charjabug,Alola (USUM)
36,0738,Vikavolt,Alola (USUM)
37,0438,Bonsly,Alola (USUM)
38,0185,Sudowoodo,Alola (USUM)
39,0440,Happiny,Alola (USUM)
40,0113,Chansey,Alola (USUM)
41,0242,Blissey,Alola (USUM)
42,0446,Munchlax,Alola (USUM)
43,0143,Snorlax,Alola (USUM)
44,0079,Slowpoke,Alola (USUM)
45,0080,Slowbro,Alola (USUM)
46,0199,Slowking,Alola (USUM)
47,0278,Wingull,Alola (USUM)
48,0279,Pelipper,Alola (USUM)
49,0063,Abra,Alola (USUM)
50,0064,Kadabra,Alola (USUM)
51,0065,Alakazam,Alola (USUM)
52,0052,Meowth,Alola (USUM)
53,0053,Persian,Alola (USUM)
54,0081,Magnemite,Alola (USUM)
55,0082,Magneton,Alola (USUM)
56,0462,Magnezone,Alola (USUM)
57,0088,Grimer,Alola (USUM)
58,0089,Muk,Alola (USUM)
59,0439,Mime Jr.,Alola (USUM)
60,0122,Mr. Mime,Alola (USUM)
61,0023,Ekans,Alola (USUM)
62,0024,Arbok,Alola (USUM)
63,0206,Dunsparce,Alola (USUM)
64,0058,Growlithe,Alola (USUM)
65,0059,Arcanine,Alola (USUM)
66,0096,Drowzee,Alola (USUM)
67,0097,Hypno,Alola (USUM)
68,0296,Makuhita,Alola (USUM)
69,0297,Hariyama,Alola (USUM)
70,0235,Smeargle,Alola (USUM)
71,0739,Crabrawler,Alola (USUM)
72,0740,Crabominable,Alola (USUM)
73,0092,Gastly,Alola (USUM)
74,0093,Haunter,Alola (USUM)
75,0094,Gengar,Alola (USUM)
76,0425,Drifloon,Alola (USUM)
77,0426,Drifblim,Alola (USUM)
78,0198,Murkrow,Alola (USUM)
