National_Dex,Pokemon,Series
10,Caterpie,BW
11,Metapod,BW
12,Butterfree,BW
13,Weedle,BW
14,Kakuna,BW
15,Beedrill,BW
16,Pidgey,BW
17,Pidgeotto,BW
18,Pidgeot,BW
19,Rattata,BW
20,Raticate,BW
21,Spearow,BW
22,Fearow,BW
27,Sandshrew,BW
28,Sandslash,BW
29,Nidoran-F,BW
30,Nidorina,BW
31,Nidoqueen,BW
32,Nidoran-M,BW
33,Nidorino,BW
34,Nidoking,BW
35,Clefairy,BW
36,Clefable,BW
37,Vulpix,BW
38,Ninetales,BW
39,Jigglypuff,BW
40,Wigglytuff,BW
41,Zubat,BW
42,Golbat,BW
43,Oddish,BW
44,Gloom,BW
45,Vileplume,BW
46,Paras,BW
47,Parasect,BW
48,Venonat,BW
49,Venomoth,BW
54,Psyduck,BW
55,Golduck,BW
56,Mankey,BW
57,Primeape,BW
60,Poliwag,BW
61,Poliwhirl,BW
62,Poliwrath,BW
63,Abra,BW
64,Kadabra,BW
65,Alakazam,BW
66,Machop,BW
67,Machoke,BW
68,Machamp,BW
69,Bellsprout,BW
70,Weepinbell,BW
71,Victreebel,BW
74,Geodude,BW
75,Graveler,BW
76,Golem,BW
77,Ponyta,BW
78,Rapidash,BW
79,Slowpoke,BW
80,Slowbro,BW
81,Magnemite,BW
82,Magneton,BW
83,Farfetch'd,BW
84,Doduo,BW
85,Dodrio,BW
86,Seel,BW
87,Dewgong,BW
90,Shellder,BW
91,Cloyster,BW
92,Gastly,BW
93,Haunter,BW
94,Gengar,BW
95,Onix,BW
98,Krabby,BW
99,Kingler,BW
102,Exeggcute,BW
103,Exeggutor,BW
104,Cubone,BW
105,Marowak,BW
106,Hitmonlee,BW
107,Hitmonchan,BW
108,Lickitung,BW
111,Rhyhorn,BW
112,Rhydon,BW
113,Chansey,BW
114,Tangela,BW
115,Kangaskhan,BW
116,Horsea,BW
117,Seadra,BW
118,Goldeen,BW
119,Seaking,BW
120,Staryu,BW
121,Starmie,BW
124,Jynx,BW
125,Electabuzz,BW
126,Magmar,BW
127,Pinsir,BW
129,Magikarp,BW
130,Gyarados,BW
131,Lapras,BW
132,Ditto,BW
137,Porygon,BW
138,Omanyte,BW
139,Omastar,BW
140,Kabuto,BW
141,Kabutops,BW
142,Aerodactyl,BW
143,Snorlax,BW
147,Dratini,BW
148,Dragonair,BW
149,Dragonite,BW
161,Sentret,BW
162,Furret,BW
163,Hoothoot,BW
164,Noctowl,BW
165,Ledyba,BW
166,Ledian,BW
167,Spinarak,BW
168,Ariados,BW
169,Crobat,BW
170,Chinchou,BW
171,Lanturn,BW
173,Cleffa,BW
174,Igglybuff,BW
175,Togepi,BW
176,Togetic,BW
179,Mareep,BW
180,Flaaffy,BW
181,Ampharos,BW
182,Bellossom,BW
183,Marill,BW
184,Azumarill,BW
186,Politoed,BW
187,Hoppip,BW
188,Skiploom,BW
189,Jumpluff,BW
191,Sunkern,BW
192,Sunflora,BW
193,Yanma,BW
198,Murkrow,BW
199,Slowking,BW
200,Misdreavus,BW
202,Wobbuffet,BW
204,Pineco,BW
205,Forretress,BW
206,Dunsparce,BW
207,Gligar,BW
208,Steelix,BW
211,Qwilfish,BW
213,Shuckle,BW
214,Heracross,BW
215,Sneasel,BW
220,Swinub,BW
221,Piloswine,BW
222,Corsola,BW
223,Remoraid,BW
224,Octillery,BW
225,Delibird,BW
226,Mantine,BW
228,Houndour,BW
229,Houndoom,BW
230,Kingdra,BW
233,Porygon2,BW
234,Stantler,BW
235,Smeargle,BW
236,Tyrogue,BW
237,Hitmontop,BW
238,Smoochum,BW
239,Elekid,BW
240,Magby,BW
242,Blissey,BW
246,Larvitar,BW
247,Pupitar,BW
248,Tyranitar,BW
250,Ho-Oh,BW
261,Poochyena,BW
262,Mightyena,BW
265,Wurmple,BW
266,Silcoon,BW
267,Beautifly,BW
268,Cascoon,BW
269,Dustox,BW
270,Lotad,BW
271,Lombre,BW
272,Ludicolo,BW
273,Seedot,BW
274,Nuzleaf,BW
275,Shiftry,BW
276,Taillow,BW
277,Swellow,BW
278,Wingull,BW
279,Pelipper,BW
280,Ralts,BW
281,Kirlia,BW
282,Gardevoir,BW
283,Surskit,BW
284,Masquerain,BW
285,Shroomish,BW
286,Breloom,BW
287,Slakoth,BW
288,Vigoroth,BW
289,Slaking,BW
293,Whismur,BW
294,Loudred,BW
295,Exploud,BW
298,Azurill,BW
302,Sableye,BW
303,Mawile,BW
304,Aron,BW
305,Lairon,BW
306,Aggron,BW
311,Plusle,BW
312,Minun,BW
313,Volbeat,BW
314,Illumise,BW
315,Roselia,BW
318,Carvanha,BW
319,Sharpedo,BW
320,Wailmer,BW
321,Wailord,BW
328,Trapinch,BW
329,Vibrava,BW
330,Flygon,BW
333,Swablu,BW
334,Altaria,BW
335,Zangoose,BW
336,Seviper,BW
337,Lunatone,BW
338,Solrock,BW
339,Barboach,BW
340,Whiscash,BW
341,Corphish,BW
342,Crawdaunt,BW
343,Baltoy,BW
344,Claydol,BW
345,Lileep,BW
346,Cradily,BW
347,Anorith,BW
348,Armaldo,BW
349,Feebas,BW
350,Milotic,BW
353,Shuppet,BW
354,Banette,BW
357,Tropius,BW
358,Chimecho,BW
359,Absol,BW
360,Wynaut,BW
363,Spheal,BW
364,Sealeo,BW
365,Walrein,BW
366,Clamperl,BW
367,Huntail,BW
368,Gorebyss,BW
369,Relicanth,BW
370,Luvdisc,BW
371,Bagon,BW
372,Shelgon,BW
373,Salamence,BW
374,Beldum,BW
375,Metang,BW
376,Metagross,BW
396,Starly,BW
397,Staravia,BW
398,Staraptor,BW
399,Bidoof,BW
400,Bibarel,BW
401,Kricketot,BW
402,Kricketune,BW
403,Shinx,BW
404,Luxio,BW
405,Luxray,BW
406,Budew,BW
407,Roserade,BW
408,Cranidos,BW
409,Rampardos,BW
410,Shieldon,BW
411,Bastiodon,BW
415,Combee,BW
416,Vespiquen,BW
418,Buizel,BW
419,Floatzel,BW
420,Cherubi,BW
421,Cherrim,BW
425,Drifloon,BW
426,Drifblim,BW
429,Mismagius,BW
430,Honchkrow,BW
433,Chingling,BW
436,Bronzor,BW
437,Bronzong,BW
440,Happiny,BW
446,Munchlax,BW
447,Riolu,BW
448,Lucario,BW
449,Hippopotas,BW
450,Hippowdon,BW
453,Croagunk,BW
454,Toxicroak,BW
456,Finneon,BW
457,Lumineon,BW
458,Mantyke,BW
461,Weavile,BW
462,Magnezone,BW
463,Lickilicky,BW
464,Rhyperior,BW
465,Tangrowth,BW
466,Electivire,BW
467,Magmortar,BW
468,Togekiss,BW
469,Yanmega,BW
472,Gliscor,BW
473,Mamoswine,BW
474,Porygon-Z,BW
475,Gallade,BW
479,Rotom,BW
494,Victini,BW
495,Snivy,BW
496,Servine,BW
497,Serperior,BW
498,Tepig,BW
499,Pignite,BW
500,Emboar,BW
501,Oshawott,BW
502,Dewott,BW
503,Samurott,BW
504,Patrat,BW
505,Watchog,BW
506,Lillipup,BW
507,Herdier,BW
508,Stoutland,BW
509,Purrloin,BW
510,Liepard,BW
511,Pansage,BW
512,Simisage,BW
513,Pansear,BW
514,Simisear,BW
515,Panpour,BW
516,Simipour,BW
517,Munna,BW
518,Musharna,BW
519,Pidove,BW
520,Tranquill,BW
521,Unfezant,BW
522,Blitzle,BW
523,Zebstrika,BW
524,Roggenrola,BW
525,Boldore,BW
526,Gigalith,BW
527,Woobat,BW
528,Swoobat,BW
529,Drilbur,BW
530,Excadrill,BW
531,Audino,BW
532,Timburr,BW
533,Gurdurr,BW
534,Conkeldurr,BW
535,Tympole,BW
536,Palpitoad,BW
537,Seismitoad,BW
538,Throh,BW
539,Sawk,BW
540,Sewaddle,BW
541,Swadloon,BW
542,Leavanny,BW
543,Venipede,BW
544,Whirlipede,BW
545,Scolipede,BW
546,Cottonee,BW
547,Whimsicott,BW
548,Petilil,BW
549,Lilligant,BW
550,Basculin,BW
551,Sandile,BW
552,Krokorok,BW
553,Krookodile,BW
554,Darumaka,BW
555,Darmanitan,BW
556,Maractus,BW
557,Dwebble,BW
558,Crustle,BW
559,Scraggy,BW
560,Scrafty,BW
561,Sigilyph,BW
562,Yamask,BW
563,Cofagrigus,BW
564,Tirtouga,BW
565,Carracosta,BW
566,Archen,BW
567,Archeops,BW
568,Trubbish,BW
569,Garbodor,BW
570,Zorua,BW
571,Zoroark,BW
572,Minccino,BW
573,Cinccino,BW
574,Gothita,BW
575,Gothorita,BW
576,Gothitelle,BW
577,Solosis,BW
578,Duosion,BW
579,Reuniclus,BW
580,Ducklett,BW
581,Swanna,BW
582,Vanillite,BW
583,Vanillish,BW
584,Vanilluxe,BW
585,Deerling,BW
586,Sawsbuck,BW
587,Emolga,BW
588,Karrablast,BW
589,Escavalier,BW
590,Foongus,BW
591,Amoonguss,BW
592,Frillish,BW
593,Jellicent,BW
594,Alomomola,BW
595,Joltik,BW
596,Galvantula,BW
597,Ferroseed,BW
598,Ferrothorn,BW
599,Klink,BW
600,Klang,BW
601,Klinklang,BW
602,Tynamo,BW
603,Eelektrik,BW
604,Eelektross,BW
605,Elgyem,BW
606,Beheeyem,BW
607,Litwick,BW
608,Lampent,BW
609,Chandelure,BW
610,Axew,BW
611,Fraxure,BW
612,Haxorus,BW
613,Cubchoo,BW
614,Beartic,BW
615,Cryogonal,BW
616,Shelmet,BW
617,Accelgor,BW
618,Stunfisk,BW
619,Mienfoo,BW
620,Mienshao,BW
621,Druddigon,BW
622,Golett,BW
623,Golurk,BW
624,Pawniard,BW
625,Bisharp,BW
626,Bouffalant,BW
627,Rufflet,BW
628,Braviary,BW
629,Vullaby,BW
630,Mandibuzz,BW
631,Heatmor,BW
632,Durant,BW
633,Deino,BW
634,Zweilous,BW
635,Hydreigon,BW
636,Larvesta,BW
637,Volcarona,BW
638,Cobalion,BW
639,Terrakion,BW
640,Virizion,BW
641,Tornadus,BW
642,Thundurus,BW
643,Reshiram,BW
644,Zekrom,BW
645,Landorus,BW
646,Kyurem,BW
647,Keldeo,BW
648,Meloetta,BW
649,Genesect,BW
