National_Dex, Pokemon    , Form         , Obtainability, Series
         001, Bulbasaur  ,              , True         , BdSp
         002, Ivysaur    ,              , True         , BdSp
         003, Venusaur   ,              , True         , BdSp
         004, Charmander ,              , True         , BdSp
         005, Charmeleon ,              , True         , BdSp
         006, Charizard  ,              , True         , BdSp
         007, Squirtle   ,              , True         , BdSp
         008, Wartortle  ,              , True         , BdSp
         009, Blastoise  ,              , True         , BdSp
         010, Caterpie   ,              , True         , BdSp
         011, Metapod    ,              , True         , BdSp
         012, Butterfree ,              , True         , BdSp
         013, Weedle     ,              , True         , BdSp
         014, Kakuna     ,              , True         , BdSp
         015, Beedrill   ,              , True         , BdSp
         016, Pidgey     ,              , True         , BdSp
         017, Pidgeotto  ,              , True         , BdSp
         018, Pidgeot    ,              , True         , BdSp
         019, Rattata    ,              , True         , BdSp
         020, Raticate   ,              , True         , BdSp
         021, Spearow    ,              , True         , BdSp
         022, Fearow     ,              , True         , BdSp
         023, Ekans      ,              , True         , BdSp
         024, Arbok      ,              , True         , BdSp
         025, Pikachu    ,              , True         , BdSp
         026, Raichu     ,              , True         , BdSp
         027, Sandshrew  ,              , True         , BdSp
         028, Sandslash  ,              , True         , BdSp
         029, Nidoran♀   ,              , True         , BdSp
         030, Nidorina   ,              , True         , BdSp
         031, Nidoqueen  ,              , True         , BdSp
         032, Nidoran♂   ,              , True         , BdSp
         033, Nidorino   ,              , True         , BdSp
         034, Nidoking   ,              , True         , BdSp
         035, Clefairy   ,              , True         , BdSp
         036, Clefable   ,              , True         , BdSp
         037, Vulpix     ,              , True         , BdSp
         038, Ninetales  ,              , True         , BdSp
         039, Jigglypuff ,              , True         , BdSp
         040, Wigglytuff ,              , True         , BdSp
         041, Zubat      ,              , True         , BdSp
         042, Golbat     ,              , True         , BdSp
         043, Oddish     ,              , True         , BdSp
         044, Gloom      ,              , True         , BdSp
         045, Vileplume  ,              , True         , BdSp
         046, Paras      ,              , True         , BdSp
         047, Parasect   ,              , True         , BdSp
         048, Venonat    ,              , True         , BdSp
         049, Venomoth   ,              , True         , BdSp
         050, Diglett    ,              , True         , BdSp
         051, Dugtrio    ,              , True         , BdSp
         052, Meowth     ,              , True         , BdSp
         053, Persian    ,              , True         , BdSp
         054, Psyduck    ,              , True         , BdSp
         055, Golduck    ,              , True         , BdSp
         056, Mankey     ,              , True         , BdSp
         057, Primeape   ,              , True         , BdSp
         058, Growlithe  ,              , True         , BdSp
         059, Arcanine   ,              , True         , BdSp
         060, Poliwag    ,              , True         , BdSp
         061, Poliwhirl  ,              , True         , BdSp
         062, Poliwrath  ,              , True         , BdSp
         063, Abra       ,              , True         , BdSp
         064, Kadabra    ,              , True         , BdSp
         065, Alakazam   ,              , True         , BdSp
         066, Machop     ,              , True         , BdSp
         067, Machoke    ,              , True         , BdSp
         068, Machamp    ,              , True         , BdSp
         069, Bellsprout ,              , True         , BdSp
         070, Weepinbell ,              , True         , BdSp
         071, Victreebel ,              , True         , BdSp
         072, Tentacool  ,              , True         , BdSp
         073, Tentacruel ,              , True         , BdSp
         074, Geodude    ,              , True         , BdSp
         075, Graveler   ,              , True         , BdSp
         076, Golem      ,              , True         , BdSp
         077, Ponyta     ,              , True         , BdSp
         078, Rapidash   ,              , True         , BdSp
         079, Slowpoke   ,              , True         , BdSp
         080, Slowbro    ,              , True         , BdSp
         081, Magnemite  ,              , True         , BdSp
         082, Magneton   ,              , True         , BdSp
         083, Farfetch'd ,              , True         , BdSp
         084, Doduo      ,              , True         , BdSp
         085, Dodrio     ,              , True         , BdSp
         086, Seel       ,              , True         , BdSp
         087, Dewgong    ,              , True         , BdSp
         088, Grimer     ,              , True         , BdSp
         089, Muk        ,              , True         , BdSp
         090, Shellder   ,              , True         , BdSp
         091, Cloyster   ,              , True         , BdSp
         092, Gastly     ,              , True         , BdSp
         093, Haunter    ,              , True         , BdSp
         094, Gengar     ,              , True         , BdSp
         095, Onix       ,              , True         , BdSp
         096, Drowzee    ,              , True         , BdSp
         097, Hypno      ,              , True         , BdSp
         098, Krabby     ,              , True         , BdSp
         099, Kingler    ,              , True         , BdSp
         100, Voltorb    ,              , True         , BdSp
         101, Electrode  ,              , True         , BdSp
         102, Exeggcute  ,              , True         , BdSp
         103, Exeggutor  ,              , True         , BdSp
         104, Cubone     ,              , True         , BdSp
         105, Marowak    ,              , True         , BdSp
         106, Hitmonlee  ,              , True         , BdSp
         107, Hitmonchan ,              , True         , BdSp
         108, Lickitung  ,              , True         , BdSp
         109, Koffing    ,              , True         , BdSp
         110, Weezing    ,              , True         , BdSp
         111, Rhyhorn    ,              , True         , BdSp
         112, Rhydon     ,              , True         , BdSp
         113, Chansey    ,              , True         , BdSp
         114, Tangela    ,              , True         , BdSp
         115, Kangaskhan ,              , True         , BdSp
         116, Horsea     ,              , True         , BdSp
         117, Seadra     ,              , True         , BdSp
         118, Goldeen    ,              , True         , BdSp
         119, Seaking    ,              , True         , BdSp
         120, Staryu     ,              , True         , BdSp
         121, Starmie    ,              , True         , BdSp
         122, Mr. Mime   ,              , True         , BdSp
         123, Scyther    ,              , True         , BdSp
         124, Jynx       ,              , True         , BdSp
         125, Electabuzz ,              , True         , BdSp
         126, Magmar     ,              , True         , BdSp
         127, Pinsir     ,              , True         , BdSp
         128, Tauros     ,              , True         , BdSp
         129, Magikarp   ,              , True         , BdSp
         130, Gyarados   ,              , True         , BdSp
         131, Lapras     ,              , True         , BdSp
         132, Ditto      ,              , True         , BdSp
         133, Eevee      ,              , True         , BdSp
         134, Vaporeon   ,              , True         , BdSp
         135, Jolteon    ,              , True         , BdSp
         136, Flareon    ,              , True         , BdSp
         137, Porygon    ,              , True         , BdSp
         138, Omanyte    ,              , True         , BdSp
         139, Omastar    ,              , True         , BdSp
         140, Kabuto     ,              , True         , BdSp
         141, Kabutops   ,              , True         , BdSp
         142, Aerodactyl ,              , True         , BdSp
         143, Snorlax    ,              , True         , BdSp
         144, Articuno   ,              , True         , BdSp
         145, Zapdos     ,              , True         , BdSp
         146, Moltres    ,              , True         , BdSp
         147, Dratini    ,              , True         , BdSp
         148, Dragonair  ,              , True         , BdSp
         149, Dragonite  ,              , True         , BdSp
         150, Mewtwo     ,              , True         , BdSp
