Regional Dex #,National_Dex,Pokemon,Dex
1,0722,Rowlet,Alola (SM)
2,0723,Dartrix,Alola (SM)
3,0724,Decidueye,Alola (SM)
4,0725,Litten,Alola (SM)
5,0726,Torracat,Alola (SM)
6,0727,Incineroar,Alola (SM)
7,0728,Popplio,Alola (SM)
8,0729,Brionne,Alola (SM)
9,0730,Primarina,Alola (SM)
10,0731,Pikipek,Alola (SM)
11,0732,Trumbeak,Alola (SM)
12,0733,Toucannon,Alola (SM)
13,0734,Yungoos,Alola (SM)
14,0735,Gumshoos,Alola (SM)
15,0019,Rattata,Alola (SM)
16,0020,Raticate,Alola (SM)
17,0010,Caterpie,Alola (SM)
18,0011,Metapod,Alola (SM)
19,0012,Butterfree,Alola (SM)
20,0165,Ledyba,Alola (SM)
21,0166,Ledian,Alola (SM)
22,0167,Spinarak,Alola (SM)
23,0168,Ariados,Alola (SM)
24,0172,Pichu,Alola (SM)
25,0025,Pikachu,Alola (SM)
26,0026,Raichu,Alola (SM)
27,0736,Grubbin,Alola (SM)
28,0737,Charjabug,Alola (SM)
29,0738,Vikavolt,Alola (SM)
30,0438,Bonsly,Alola (SM)
31,0185,Sudowoodo,Alola (SM)
32,0440,Happiny,Alola (SM)
33,0113,Chansey,Alola (SM)
34,0242,Blissey,Alola (SM)
35,0446,Munchlax,Alola (SM)
36,0143,Snorlax,Alola (SM)
37,0079,Slowpoke,Alola (SM)
38,0080,Slowbro,Alola (SM)
39,0199,Slowking,Alola (SM)
40,0278,Wingull,Alola (SM)
41,0279,Pelipper,Alola (SM)
42,0063,Abra,Alola (SM)
43,0064,Kadabra,Alola (SM)
44,0065,Alakazam,Alola (SM)
45,0052,Meowth,Alola (SM)
46,0053,Persian,Alola (SM)
47,0081,Magnemite,Alola (SM)
48,0082,Magneton,Alola (SM)
49,0462,Magnezone,Alola (SM)
50,0088,Grimer,Alola (SM)
51,0089,Muk,Alola (SM)
52,0058,Growlithe,Alola (SM)
53,0059,Arcanine,Alola (SM)
54,0096,Drowzee,Alola (SM)
55,0097,Hypno,Alola (SM)
56,0296,Makuhita,Alola (SM)
57,0297,Hariyama,Alola (SM)
58,0235,Smeargle,Alola (SM)
59,0739,Crabrawler,Alola (SM)
60,0740,Crabominable,Alola (SM)
61,0092,Gastly,Alola (SM)
62,0093,Haunter,Alola (SM)
63,0094,Gengar,Alola (SM)
64,0425,Drifloon,Alola (SM)
65,0426,Drifblim,Alola (SM)
66,0200,Misdreavus,Alola (SM)
67,0429,Mismagius,Alola (SM)
68,0041,Zubat,Alola (SM)
69,0042,Golbat,Alola (SM)
70,0169,Crobat,Alola (SM)
71,0050,Diglett,Alola (SM)
72,0051,Dugtrio,Alola (SM)
73,0021,Spearow,Alola (SM)
74,0022,Fearow,Alola (SM)
75,0627,Rufflet,Alola (SM)
76,0628,Braviary,Alola (SM)
77,0629,Vullaby,Alola (SM)
78,0630,Mandibuzz,Alola (SM)
79,0056,Mankey,Alola (SM)
80,0057,Primeape,Alola (SM)
81,0225,Delibird,Alola (SM)
82,0741,Oricorio,Alola (SM)
83,0742,Cutiefly,Alola (SM)
84,0743,Ribombee,Alola (SM)
85,0548,Petilil,Alola (SM)
86,0549,Lilligant,Alola (SM)
87,0546,Cottonee,Alola (SM)
88,0547,Whimsicott,Alola (SM)
89,0054,Psyduck,Alola (SM)
90,0055,Golduck,Alola (SM)
91,0129,Magikarp,Alola (SM)
92,0130,Gyarados,Alola (SM)
93,0339,Barboach,Alola (SM)
94,0340,Whiscash,Alola (SM)
95,0066,Machop,Alola (SM)
96,0067,Machoke,Alola (SM)
97,0068,Machamp,Alola (SM)
98,0524,Roggenrola,Alola (SM)
