National_Dex,Pokemon,Series
10,Caterpie,B2W2
11,Metapod,B2W2
12,Butterfree,B2W2
13,Weedle,B2W2
14,Kakuna,B2W2
15,Beedrill,B2W2
19,Rattata,B2W2
20,Raticate,B2W2
21,Spearow,B2W2
22,Fearow,B2W2
27,Sandshrew,B2W2
28,Sandslash,B2W2
29,Nidoran-F,B2W2
30,Nidorina,B2W2
31,Nidoqueen,B2W2
32,Nidoran-M,B2W2
33,Nidorino,B2W2
34,Nidoking,B2W2
35,Clefairy,B2W2
36,Clefable,B2W2
37,Vulpix,B2W2
38,Ninetales,B2W2
39,Jigglypuff,B2W2
40,Wigglytuff,B2W2
41,Zubat,B2W2
42,Golbat,B2W2
48,Venonat,B2W2
49,Venomoth,B2W2
52,Meowth,B2W2
53,Persian,B2W2
54,Psyduck,B2W2
55,Golduck,B2W2
56,Mankey,B2W2
57,Primeape,B2W2
58,Growlithe,B2W2
59,Arcanine,B2W2
60,Poliwag,B2W2
61,Poliwhirl,B2W2
62,Poliwrath,B2W2
63,Abra,B2W2
64,Kadabra,B2W2
65,Alakazam,B2W2
79,Slowpoke,B2W2
80,Slowbro,B2W2
81,Magnemite,B2W2
82,Magneton,B2W2
83,Farfetch'd,B2W2
84,Doduo,B2W2
85,Dodrio,B2W2
86,Seel,B2W2
87,Dewgong,B2W2
88,Grimer,B2W2
89,Muk,B2W2
90,Shellder,B2W2
91,Cloyster,B2W2
95,Onix,B2W2
96,Drowzee,B2W2
97,Hypno,B2W2
98,Krabby,B2W2
99,Kingler,B2W2
108,Lickitung,B2W2
109,Koffing,B2W2
110,Weezing,B2W2
111,Rhyhorn,B2W2
112,Rhydon,B2W2
113,Chansey,B2W2
114,Tangela,B2W2
116,Horsea,B2W2
117,Seadra,B2W2
118,Goldeen,B2W2
119,Seaking,B2W2
120,Staryu,B2W2
121,Starmie,B2W2
122,Mr. Mime,B2W2
125,Electabuzz,B2W2
126,Magmar,B2W2
127,Pinsir,B2W2
129,Magikarp,B2W2
130,Gyarados,B2W2
131,Lapras,B2W2
132,Ditto,B2W2
133,Eevee,B2W2
134,Vaporeon,B2W2
135,Jolteon,B2W2
136,Flareon,B2W2
138,Omanyte,B2W2
139,Omastar,B2W2
140,Kabuto,B2W2
141,Kabutops,B2W2
142,Aerodactyl,B2W2
143,Snorlax,B2W2
147,Dratini,B2W2
148,Dragonair,B2W2
149,Dragonite,B2W2
161,Sentret,B2W2
162,Furret,B2W2
163,Hoothoot,B2W2
164,Noctowl,B2W2
165,Ledyba,B2W2
166,Ledian,B2W2
167,Spinarak,B2W2
168,Ariados,B2W2
169,Crobat,B2W2
170,Chinchou,B2W2
171,Lanturn,B2W2
173,Cleffa,B2W2
174,Igglybuff,B2W2
175,Togepi,B2W2
176,Togetic,B2W2
177,Natu,B2W2
178,Xatu,B2W2
179,Mareep,B2W2
180,Flaaffy,B2W2
181,Ampharos,B2W2
183,Marill,B2W2
184,Azumarill,B2W2
185,Sudowoodo,B2W2
186,Politoed,B2W2
187,Hoppip,B2W2
188,Skiploom,B2W2
189,Jumpluff,B2W2
190,Aipom,B2W2
191,Sunkern,B2W2
192,Sunflora,B2W2
193,Yanma,B2W2
194,Wooper,B2W2
195,Quagsire,B2W2
196,Espeon,B2W2
197,Umbreon,B2W2
198,Murkrow,B2W2
199,Slowking,B2W2
202,Wobbuffet,B2W2
203,Girafarig,B2W2
204,Pineco,B2W2
205,Forretress,B2W2
206,Dunsparce,B2W2
207,Gligar,B2W2
208,Steelix,B2W2
209,Snubbull,B2W2
210,Granbull,B2W2
211,Qwilfish,B2W2
213,Shuckle,B2W2
214,Heracross,B2W2
215,Sneasel,B2W2
216,Teddiursa,B2W2
217,Ursaring,B2W2
220,Swinub,B2W2
221,Piloswine,B2W2
222,Corsola,B2W2
223,Remoraid,B2W2
