Regional Dex #,National_Dex,Pokemon,Dex
1,0084,Doduo,Blueberry
2,0085,Dodrio,Blueberry
3,0102,Exeggcute,Blueberry
4,0103,Exeggutor,Blueberry
5,0111,Rhyhorn,Blueberry
6,0112,Rhydon,Blueberry
7,0464,Rhyperior,Blueberry
8,0048,Venonat,Blueberry
9,0049,Venomoth,Blueberry
10,0239,Elekid,Blueberry
11,0125,Electabuzz,Blueberry
12,0466,Electivire,Blueberry
13,0240,Magby,Blueberry
14,0126,Magmar,Blueberry
15,0467,Magmortar,Blueberry
16,0440,Happiny,Blueberry
17,0113,Chansey,Blueberry
18,0242,Blissey,Blueberry
19,0123,Scyther,Blueberry
20,0212,Scizor,Blueberry
21,0900,Kleavor,Blueberry
22,0128,Tauros,Blueberry
23,0522,Blitzle,Blueberry
24,0523,Zebstrika,Blueberry
25,0203,Girafarig,Blueberry
26,0981,Farigiraf,Blueberry
27,0551,Sandile,Blueberry
28,0552,Krokorok,Blueberry
29,0553,Krookodile,Blueberry
30,0953,Rellor,Blueberry
31,0954,Rabsca,Blueberry
32,0627,Rufflet,Blueberry
33,0628,Braviary,Blueberry
34,0629,Vullaby,Blueberry
35,0630,Mandibuzz,Blueberry
36,0667,Litleo,Blueberry
37,0668,Pyroar,Blueberry
38,0585,Deerling,Blueberry
39,0586,Sawsbuck,Blueberry
40,0235,Smeargle,Blueberry
41,0479,Rotom,Blueberry
42,0868,Milcery,Blueberry
43,0869,Alcremie,Blueberry
44,0328,Trapinch,Blueberry
45,0329,Vibrava,Blueberry
46,0330,Flygon,Blueberry
47,0731,Pikipek,Blueberry
48,0732,Trumbeak,Blueberry
49,0733,Toucannon,Blueberry
50,0072,Tentacool,Blueberry
51,0073,Tentacruel,Blueberry
52,0116,Horsea,Blueberry
53,0117,Seadra,Blueberry
54,0230,Kingdra,Blueberry
55,0779,Bruxish,Blueberry
56,0546,Cottonee,Blueberry
57,0547,Whimsicott,Blueberry
58,0764,Comfey,Blueberry
59,0287,Slakoth,Blueberry
60,0288,Vigoroth,Blueberry
61,0289,Slaking,Blueberry
62,0043,Oddish,Blueberry
63,0044,Gloom,Blueberry
64,0045,Vileplume,Blueberry
65,0182,Bellossom,Blueberry
66,0050,Diglett,Blueberry
67,0051,Dugtrio,Blueberry
68,0088,Grimer,Blueberry
69,0089,Muk,Blueberry
70,0335,Zangoose,Blueberry
71,0336,Seviper,Blueberry
72,0739,Crabrawler,Blueberry
73,0740,Crabominable,Blueberry
74,0741,Oricorio,Blueberry
75,0079,Slowpoke,Blueberry
76,0080,Slowbro,Blueberry
77,0199,Slowking,Blueberry
78,0170,Chinchou,Blueberry
79,0171,Lanturn,Blueberry
80,0686,Inkay,Blueberry
81,0687,Malamar,Blueberry
82,0370,Luvdisc,Blueberry
83,0456,Finneon,Blueberry
84,0457,Lumineon,Blueberry
85,0594,Alomomola,Blueberry
86,0324,Torkoal,Blueberry
87,0661,Fletchling,Blueberry
88,0662,Fletchinder,Blueberry
89,0663,Talonflame,Blueberry
90,0751,Dewpider,Blueberry
91,0752,Araquanid,Blueberry
92,0236,Tyrogue,Blueberry
93,0106,Hitmonlee,Blueberry
94,0107,Hitmonchan,Blueberry
95,0237,Hitmontop,Blueberry
96,0074,Geodude,Blueberry
97,0075,Graveler,Blueberry
98,0076,Golem,Blueberry
99,0529,Drilbur,Blueberry
100,0530,Excadrill,Blueberry
101,0574,Gothita,Blueberry
102,0575,Gothorita,Blueberry
103,0576,Gothitelle,Blueberry
104,0677,Espurr,Blueberry
105,0678,Meowstic,Blueberry
106,0774,Minior,Blueberry
107,0408,Cranidos,Blueberry
108,0409,Rampardos,Blueberry
109,0410,Shieldon,Blueberry
110,0411,Bastiodon,Blueberry
111,0572,Minccino,Blueberry
112,0573,Cinccino,Blueberry
113,0227,Skarmory,Blueberry
114,0333,Swablu,Blueberry
115,0334,Altaria,Blueberry
116,0081,Magnemite,Blueberry
117,0082,Magneton,Blueberry
118,0462,Magnezone,Blueberry
119,0311,Plusle,Blueberry
120,0312,Minun,Blueberry
121,0559,Scraggy,Blueberry
122,0560,Scrafty,Blueberry
123,0622,Golett,Blueberry
124,0623,Golurk,Blueberry
125,0322,Numel,Blueberry
126,0323,Camerupt,Blueberry
127,0854,Sinistea,Blueberry
128,0855,Polteageist,Blueberry
129,0137,Porygon,Blueberry
130,0233,Porygon2,Blueberry
131,0474,Porygon-Z,Blueberry
132,0595,Joltik,Blueberry
133,0596,Galvantula,Blueberry
134,0602,Tynamo,Blueberry
135,0603,Eelektrik,Blueberry
136,0604,Eelektross,Blueberry
137,0374,Beldum,Blueberry
138,0375,Metang,Blueberry
139,0376,Metagross,Blueberry
140,0610,Axew,Blueberry
141,0611,Fraxure,Blueberry
142,0612,Haxorus,Blueberry
143,0086,Seel,Blueberry
144,0087,Dewgong,Blueberry
145,0131,Lapras,Blueberry
146,0211,Qwilfish,Blueberry
147,0904,Overqwil,Blueberry
148,0577,Solosis,Blueberry
149,0578,Duosion,Blueberry
150,0579,Reuniclus,Blueberry
151,0209,Snubbull,Blueberry
152,0210,Granbull,Blueberry
153,0613,Cubchoo,Blueberry
154,0614,Beartic,Blueberry
155,0027,Sandshrew,Blueberry
156,0028,Sandslash,Blueberry
157,0037,Vulpix,Blueberry
158,0038,Ninetales,Blueberry
159,0459,Snover,Blueberry
160,0460,Abomasnow,Blueberry
161,0884,Duraludon,Blueberry
162,1018,Archaludon,Blueberry
163,1019,Hydrapple,Blueberry
164,0001,Bulbasaur,Blueberry
165,0002,Ivysaur,Blueberry
166,0003,Venusaur,Blueberry
167,0004,Charmander,Blueberry
168,0005,Charmeleon,Blueberry
169,0006,Charizard,Blueberry
170,0007,Squirtle,Blueberry
171,0008,Wartortle,Blueberry
172,0009,Blastoise,Blueberry
173,0152,Chikorita,Blueberry
174,0153,Bayleef,Blueberry
175,0154,Meganium,Blueberry
176,0155,Cyndaquil,Blueberry
177,0156,Quilava,Blueberry
178,0157,Typhlosion,Blueberry
179,0158,Totodile,Blueberry
180,0159,Croconaw,Blueberry
181,0160,Feraligatr,Blueberry
182,0252,Treecko,Blueberry
183,0253,Grovyle,Blueberry
184,0254,Sceptile,Blueberry
185,0255,Torchic,Blueberry
186,0256,Combusken,Blueberry
187,0257,Blaziken,Blueberry
188,0258,Mudkip,Blueberry
189,0259,Marshtomp,Blueberry
190,0260,Swampert,Blueberry
191,0387,Turtwig,Blueberry
192,0388,Grotle,Blueberry
193,0389,Torterra,Blueberry
194,0390,Chimchar,Blueberry
195,0391,Monferno,Blueberry
196,0392,Infernape,Blueberry
197,0393,Piplup,Blueberry
198,0394,Prinplup,Blueberry
199,0395,Empoleon,Blueberry
200,0495,Snivy,Blueberry
201,0496,Servine,Blueberry
202,0497,Serperior,Blueberry
203,0498,Tepig,Blueberry
204,0499,Pignite,Blueberry
205,0500,Emboar,Blueberry
206,0501,Oshawott,Blueberry
207,0502,Dewott,Blueberry
208,0503,Samurott,Blueberry
209,0650,Chespin,Blueberry
210,0651,Quilladin,Blueberry
211,0652,Chesnaught,Blueberry
212,0653,Fennekin,Blueberry
213,0654,Braixen,Blueberry
214,0655,Delphox,Blueberry
215,0656,Froakie,Blueberry
216,0657,Frogadier,Blueberry
217,0658,Greninja,Blueberry
218,0722,Rowlet,Blueberry
219,0723,Dartrix,Blueberry
220,0724,Decidueye,Blueberry
221,0725,Litten,Blueberry
222,0726,Torracat,Blueberry
223,0727,Incineroar,Blueberry
224,0728,Popplio,Blueberry
225,0729,Brionne,Blueberry
226,0730,Primarina,Blueberry
227,0810,Grookey,Blueberry
228,0811,Thwackey,Blueberry
229,0812,Rillaboom,Blueberry
230,0813,Scorbunny,Blueberry
231,0814,Raboot,Blueberry
232,0815,Cinderace,Blueberry
233,0816,Sobble,Blueberry
234,0817,Drizzile,Blueberry
235,0818,Inteleon,Blueberry
236,1020,Gouging Fire,Blueberry
237,1021,Raging Bolt,Blueberry
238,1023,Iron Crown,Blueberry
239,1022,Iron Boulder,Blueberry
240,1024,Terapagos,Blueberry
241,1009,Walking Wake,Blueberry
242,1010,Iron Leaves,Blueberry
243,1025,Pecharunt,Blueberry
