Regional Dex #,National_Dex,Pokemon,Dex
1,0872,Snom,Crown_Tundra
2,0873,Frosmoth,Crown_Tundra
3,0831,Wooloo,Crown_Tundra
4,0832,Dubwool,Crown_Tundra
5,0819,Skwovet,Crown_Tundra
6,0820,Greedent,Crown_Tundra
7,0220,Swinub,Crown_Tundra
8,0221,Piloswine,Crown_Tundra
9,0473,Mamoswine,Crown_Tundra
10,0439,Mime Jr.,Crown_Tundra
11,0122,Mr. Mime,Crown_Tundra
12,0866,Mr. Rime,Crown_Tundra
13,0238,Smoochum,Crown_Tundra
14,0124,Jynx,Crown_Tundra
15,0239,Elekid,Crown_Tundra
16,0125,Electabuzz,Crown_Tundra
17,0466,Electivire,Crown_Tundra
18,0240,Magby,Crown_Tundra
19,0126,Magmar,Crown_Tundra
20,0467,Magmortar,Crown_Tundra
21,0531,Audino,Crown_Tundra
22,0582,Vanillite,Crown_Tundra
23,0583,Vanillish,Crown_Tundra
24,0584,Vanilluxe,Crown_Tundra
25,0361,Snorunt,Crown_Tundra
26,0362,Glalie,Crown_Tundra
27,0478,Froslass,Crown_Tundra
28,0215,Sneasel,Crown_Tundra
29,0461,Weavile,Crown_Tundra
30,0615,Cryogonal,Crown_Tundra
31,0459,Snover,Crown_Tundra
32,0460,Abomasnow,Crown_Tundra
33,0708,Phantump,Crown_Tundra
34,0709,Trevenant,Crown_Tundra
35,0333,Swablu,Crown_Tundra
36,0334,Altaria,Crown_Tundra
37,0859,Impidimp,Crown_Tundra
38,0860,Morgrem,Crown_Tundra
39,0861,Grimmsnarl,Crown_Tundra
40,0856,Hatenna,Crown_Tundra
41,0857,Hattrem,Crown_Tundra
42,0858,Hatterene,Crown_Tundra
43,0173,Cleffa,Crown_Tundra
44,0035,Clefairy,Crown_Tundra
45,0036,Clefable,Crown_Tundra
46,0778,Mimikyu,Crown_Tundra
47,0442,Spiritomb,Crown_Tundra
48,0607,Litwick,Crown_Tundra
49,0608,Lampent,Crown_Tundra
50,0609,Chandelure,Crown_Tundra
51,0574,Gothita,Crown_Tundra
52,0575,Gothorita,Crown_Tundra
53,0576,Gothitelle,Crown_Tundra
54,0577,Solosis,Crown_Tundra
55,0578,Duosion,Crown_Tundra
56,0579,Reuniclus,Crown_Tundra
57,0532,Timburr,Crown_Tundra
58,0533,Gurdurr,Crown_Tundra
59,0534,Conkeldurr,Crown_Tundra
60,0339,Barboach,Crown_Tundra
61,0340,Whiscash,Crown_Tundra
62,0129,Magikarp,Crown_Tundra
63,0130,Gyarados,Crown_Tundra
64,0550,Basculin,Crown_Tundra
65,0029,Nidoran♀,Crown_Tundra
66,0030,Nidorina,Crown_Tundra
67,0031,Nidoqueen,Crown_Tundra
68,0032,Nidoran♂,Crown_Tundra
69,0033,Nidorino,Crown_Tundra
70,0034,Nidoking,Crown_Tundra
71,0263,Zigzagoon,Crown_Tundra
72,0264,Linoone,Crown_Tundra
73,0862,Obstagoon,Crown_Tundra
74,0133,Eevee,Crown_Tundra
75,0134,Vaporeon,Crown_Tundra
76,0135,Jolteon,Crown_Tundra
77,0136,Flareon,Crown_Tundra
78,0197,Umbreon,Crown_Tundra
79,0196,Espeon,Crown_Tundra
80,0471,Glaceon,Crown_Tundra
81,0470,Leafeon,Crown_Tundra
82,0700,Sylveon,Crown_Tundra
83,0696,Tyrunt,Crown_Tundra
84,0697,Tyrantrum,Crown_Tundra
85,0698,Amaura,Crown_Tundra
86,0699,Aurorus,Crown_Tundra
87,0436,Bronzor,Crown_Tundra
88,0437,Bronzong,Crown_Tundra
89,0874,Stonjourner,Crown_Tundra
90,0875,Eiscue,Crown_Tundra
91,0751,Dewpider,Crown_Tundra
92,0752,Araquanid,Crown_Tundra
93,0595,Joltik,Crown_Tundra
94,0596,Galvantula,Crown_Tundra
95,0588,Karrablast,Crown_Tundra
96,0589,Escavalier,Crown_Tundra
97,0616,Shelmet,Crown_Tundra
98,0617,Accelgor,Crown_Tundra
99,0850,Sizzlipede,Crown_Tundra
100,0851,Centiskorch,Crown_Tundra
101,0632,Durant,Crown_Tundra
102,0631,Heatmor,Crown_Tundra
103,0554,Darumaka,Crown_Tundra
104,0555,Darmanitan,Crown_Tundra
105,0077,Ponyta,Crown_Tundra
106,0078,Rapidash,Crown_Tundra
107,0359,Absol,Crown_Tundra
108,0878,Cufant,Crown_Tundra
109,0879,Copperajah,Crown_Tundra
110,0885,Dreepy,Crown_Tundra
111,0886,Drakloak,Crown_Tundra
112,0887,Dragapult,Crown_Tundra
113,0371,Bagon,Crown_Tundra
