National_Dex,Pokemon,Series
10,Caterpie,DPPt
11,Metapod,DPPt
12,Butterfree,DPPt
13,Weedle,DPPt
14,Kakuna,DPPt
15,Beedrill,DPPt
16,Pidgey,DPPt
17,Pidgeotto,DPPt
18,Pidgeot,DPPt
19,Rattata,DPPt
20,Raticate,DPPt
21,Spearow,DPPt
22,Fearow,DPPt
23,Ekans,DPPt
24,Arbok,DPPt
25,Pikachu,DPPt
26,Raichu,DPPt
27,Sandshrew,DPPt
28,Sandslash,DPPt
29,Nidoran-F,DPPt
30,Nidorina,DPPt
31,Nidoqueen,DPPt
32,Nidoran-M,DPPt
33,Nidorino,DPPt
34,Nidoking,DPPt
35,Clefairy,DPPt
36,Clefable,DPPt
37,Vulpix,DPPt
38,Ninetales,DPPt
39,Jigglypuff,DPPt
40,Wigglytuff,DPPt
41,Zubat,DPPt
42,Golbat,DPPt
43,Oddish,DPPt
44,Gloom,DPPt
45,Vileplume,DPPt
46,Paras,DPPt
47,Parasect,DPPt
48,Venonat,DPPt
49,Venomoth,DPPt
50,Diglett,DPPt
51,Dugtrio,DPPt
52,Meowth,DPPt
53,Persian,DPPt
54,Psyduck,DPPt
55,Golduck,DPPt
56,Mankey,DPPt
57,Primeape,DPPt
58,Growlithe,DPPt
59,Arcanine,DPPt
60,Poliwag,DPPt
61,Poliwhirl,DPPt
62,Poliwrath,DPPt
63,Abra,DPPt
64,Kadabra,DPPt
65,Alakazam,DPPt
66,Machop,DPPt
67,Machoke,DPPt
68,Machamp,DPPt
69,Bellsprout,DPPt
70,Weepinbell,DPPt
71,Victreebel,DPPt
72,Tentacool,DPPt
73,Tentacruel,DPPt
74,Geodude,DPPt
75,Graveler,DPPt
76,Golem,DPPt
77,Ponyta,DPPt
78,Rapidash,DPPt
79,Slowpoke,DPPt
80,Slowbro,DPPt
81,Magnemite,DPPt
82,Magneton,DPPt
83,Farfetch'd,DPPt
84,Doduo,DPPt
85,Dodrio,DPPt
86,Seel,DPPt
87,Dewgong,DPPt
88,Grimer,DPPt
89,Muk,DPPt
90,Shellder,DPPt
91,Cloyster,DPPt
92,Gastly,DPPt
93,Haunter,DPPt
94,Gengar,DPPt
95,Onix,DPPt
96,Drowzee,DPPt
97,Hypno,DPPt
98,Krabby,DPPt
99,Kingler,DPPt
100,Voltorb,DPPt
101,Electrode,DPPt
102,Exeggcute,DPPt
103,Exeggutor,DPPt
104,Cubone,DPPt
105,Marowak,DPPt
106,Hitmonlee,DPPt
107,Hitmonchan,DPPt
108,Lickitung,DPPt
109,Koffing,DPPt
110,Weezing,DPPt
111,Rhyhorn,DPPt
112,Rhydon,DPPt
113,Chansey,DPPt
114,Tangela,DPPt
115,Kangaskhan,DPPt
116,Horsea,DPPt
117,Seadra,DPPt
118,Goldeen,DPPt
119,Seaking,DPPt
120,Staryu,DPPt
121,Starmie,DPPt
122,Mr. Mime,DPPt
123,Scyther,DPPt
124,Jynx,DPPt
125,Electabuzz,DPPt
126,Magmar,DPPt
127,Pinsir,DPPt
128,Tauros,DPPt
129,Magikarp,DPPt
