Regional Dex #,National_Dex,Pokemon,Dex
1,0387,Turtwig,DP
2,0388,Grotle,DP
3,0389,Torterra,DP
4,0390,Chimchar,DP
5,0391,Monferno,DP
6,0392,Infernape,DP
7,0393,Piplup,DP
8,0394,Prinplup,DP
9,0395,Empoleon,DP
10,0396,Starly,DP
11,0397,Staravia,DP
12,0398,Staraptor,DP
13,0399,Bidoof,DP
14,0400,Bibarel,DP
15,0401,Kricketot,DP
16,0402,Kricketune,DP
17,0403,Shinx,DP
18,0404,Luxio,DP
19,0405,Luxray,DP
20,0063,Abra,DP
21,0064,Kadabra,DP
22,0065,Alakazam,DP
23,0129,Magikarp,DP
24,0130,Gyarados,DP
25,0406,Budew,DP
26,0315,Roselia,DP
27,0407,Roserade,DP
28,0041,Zubat,DP
29,0042,Golbat,DP
30,0169,Crobat,DP
31,0074,Geodude,DP
32,0075,Graveler,DP
33,0076,Golem,DP
34,0095,Onix,DP
35,0208,Steelix,DP
36,0408,Cranidos,DP
37,0409,Rampardos,DP
38,0410,Shieldon,DP
39,0411,Bastiodon,DP
40,0066,Machop,DP
41,0067,Machoke,DP
42,0068,Machamp,DP
43,0054,Psyduck,DP
44,0055,Golduck,DP
45,0412,Burmy,DP
46,0413,Wormadam,DP
47,0414,Mothim,DP
48,0265,Wurmple,DP
49,0266,Silcoon,DP
50,0267,Beautifly,DP
51,0268,Cascoon,DP
52,0269,Dustox,DP
53,0415,Combee,DP
54,0416,Vespiquen,DP
55,0417,Pachirisu,DP
56,0418,Buizel,DP
57,0419,Floatzel,DP
58,0420,Cherubi,DP
59,0421,Cherrim,DP
60,0422,Shellos,DP
61,0423,Gastrodon,DP
62,0214,Heracross,DP
63,0190,Aipom,DP
64,0424,Ambipom,DP
65,0425,Drifloon,DP
66,0426,Drifblim,DP
67,0427,Buneary,DP
68,0428,Lopunny,DP
69,0092,Gastly,DP
70,0093,Haunter,DP
71,0094,Gengar,DP
72,0200,Misdreavus,DP
73,0429,Mismagius,DP
74,0198,Murkrow,DP
75,0430,Honchkrow,DP
76,0431,Glameow,DP
77,0432,Purugly,DP
78,0118,Goldeen,DP
79,0119,Seaking,DP
80,0339,Barboach,DP
81,0340,Whiscash,DP
82,0433,Chingling,DP
83,0358,Chimecho,DP
84,0434,Stunky,DP
85,0435,Skuntank,DP
86,0307,Meditite,DP
87,0308,Medicham,DP
88,0436,Bronzor,DP
89,0437,Bronzong,DP
90,0077,Ponyta,DP
91,0078,Rapidash,DP
92,0438,Bonsly,DP
93,0185,Sudowoodo,DP
94,0439,Mime Jr.,DP
95,0122,Mr. Mime,DP
96,0440,Happiny,DP
97,0113,Chansey,DP
98,0242,Blissey,DP
99,0173,Cleffa,DP
100,0035,Clefairy,DP
101,0036,Clefable,DP
102,0441,Chatot,DP
103,0172,Pichu,DP
104,0025,Pikachu,DP
105,0026,Raichu,DP
106,0163,Hoothoot,DP
107,0164,Noctowl,DP
108,0442,Spiritomb,DP
109,0443,Gible,DP
110,0444,Gabite,DP
111,0445,Garchomp,DP
112,0446,Munchlax,DP
113,0143,Snorlax,DP
114,0201,Unown,DP
115,0447,Riolu,DP
116,0448,Lucario,DP
117,0194,Wooper,DP
118,0195,Quagsire,DP
119,0278,Wingull,DP
120,0279,Pelipper,DP
121,0203,Girafarig,DP
122,0449,Hippopotas,DP
123,0450,Hippowdon,DP
124,0298,Azurill,DP
125,0183,Marill,DP
126,0184,Azumarill,DP
127,0451,Skorupi,DP
128,0452,Drapion,DP
129,0453,Croagunk,DP
130,0454,Toxicroak,DP
131,0455,Carnivine,DP
132,0223,Remoraid,DP
133,0224,Octillery,DP
134,0456,Finneon,DP
135,0457,Lumineon,DP
136,0072,Tentacool,DP
137,0073,Tentacruel,DP
138,0349,Feebas,DP
139,0350,Milotic,DP
140,0458,Mantyke,DP
141,0226,Mantine,DP
142,0459,Snover,DP
143,0460,Abomasnow,DP
144,0215,Sneasel,DP
145,0461,Weavile,DP
146,0480,Uxie,DP
147,0481,Mesprit,DP
148,0482,Azelf,DP
149,0483,Dialga,DP
150,0484,Palkia,DP
151,0490,Manaphy,DP
