Regional Dex #,National_Dex,Pokemon,Type 1,Type 2,Game Generation,Series
1,152,Chikorita,Grass,,Gen 2,GSC
2,153,Bayleef,Grass,,Gen 2,GSC
3,154,Meganium,Grass,,Gen 2,GSC
4,155,Cyndaquil,Fire,,Gen 2,GSC
5,156,Quilava,Fire,,Gen 2,GSC
6,157,Typhlosion,Fire,,Gen 2,GSC
7,158,Totodile,Water,,Gen 2,GSC
8,159,Croconaw,Water,,Gen 2,GSC
9,160,Feraligatr,Water,,Gen 2,GSC
10,16,Pidgey,Normal,Flying,Gen 2,GSC
11,17,Pidgeotto,Normal,Flying,Gen 2,GSC
12,18,Pidgeot,Normal,Flying,Gen 2,GSC
13,21,Spearow,Normal,Flying,Gen 2,GSC
14,22,Fearow,Normal,Flying,Gen 2,GSC
15,163,Hoothoot,Normal,Flying,Gen 2,GSC
16,164,Noctowl,Normal,Flying,Gen 2,GSC
17,19,Rattata,Normal,,Gen 2,GSC
18,20,Raticate,Normal,,Gen 2,GSC
19,161,Sentret,Normal,,Gen 2,GSC
20,162,Furret,Normal,,Gen 2,GSC
21,172,Pichu,Electric,,Gen 2,GSC
22,25,Pikachu,Electric,,Gen 2,GSC
23,26,Raichu,Electric,,Gen 2,GSC
24,10,Caterpie,Bug,,Gen 2,GSC
25,11,Metapod,Bug,,Gen 2,GSC
26,12,Butterfree,Bug,Flying,Gen 2,GSC
27,13,Weedle,Bug,Poison,Gen 2,GSC
28,14,Kakuna,Bug,Poison,Gen 2,GSC
29,15,Beedrill,Bug,Poison,Gen 2,GSC
30,165,Ledyba,Bug,Flying,Gen 2,GSC
31,166,Ledian,Bug,Flying,Gen 2,GSC
32,167,Spinarak,Bug,Poison,Gen 2,GSC
33,168,Ariados,Bug,Poison,Gen 2,GSC
34,74,Geodude,Rock,Ground,Gen 2,GSC
35,75,Graveler,Rock,Ground,Gen 2,GSC
36,76,Golem,Rock,Ground,Gen 2,GSC
37,41,Zubat,Poison,Flying,Gen 2,GSC
38,42,Golbat,Poison,Flying,Gen 2,GSC
39,169,Crobat,Poison,Flying,Gen 2,GSC
40,173,Cleffa,Normal,,Gen 2,GSC
41,35,Clefairy,Normal,,Gen 2,GSC
42,36,Clefable,Normal,,Gen 2,GSC
43,174,Igglybuff,Normal,,Gen 2,GSC
44,39,Jigglypuff,Normal,,Gen 2,GSC
45,40,Wigglytuff,Normal,,Gen 2,GSC
46,175,Togepi,Normal,,Gen 2,GSC
47,176,Togetic,Normal,Flying,Gen 2,GSC
48,27,Sandshrew,Ground,,Gen 2,GSC
