Regional Dex #,National_Dex,Pokemon,Dex
1,0810,Grookey,Galar
2,0811,Thwackey,Galar
3,0812,Rillaboom,Galar
4,0813,Scorbunny,Galar
5,0814,Raboot,Galar
6,0815,Cinderace,Galar
7,0816,Sobble,Galar
8,0817,Drizzile,Galar
9,0818,Inteleon,Galar
10,0824,Blipbug,Galar
11,0825,Dottler,Galar
12,0826,Orbeetle,Galar
13,0010,Caterpie,Galar
14,0011,Metapod,Galar
15,0012,Butterfree,Galar
16,0736,Grubbin,Galar
17,0737,Charjabug,Galar
18,0738,Vikavolt,Galar
19,0163,Hoothoot,Galar
20,0164,Noctowl,Galar
21,0821,Rookidee,Galar
22,0822,Corvisquire,Galar
23,0823,Corviknight,Galar
24,0819,Skwovet,Galar
25,0820,Greedent,Galar
26,0519,Pidove,Galar
27,0520,Tranquill,Galar
28,0521,Unfezant,Galar
29,0827,Nickit,Galar
30,0828,Thievul,Galar
31,0263,Zigzagoon,Galar
32,0264,Linoone,Galar
33,0862,Obstagoon,Galar
34,0831,Wooloo,Galar
35,0832,Dubwool,Galar
36,0270,Lotad,Galar
37,0271,Lombre,Galar
38,0272,Ludicolo,Galar
39,0273,Seedot,Galar
40,0274,Nuzleaf,Galar
41,0275,Shiftry,Galar
42,0833,Chewtle,Galar
43,0834,Drednaw,Galar
44,0509,Purrloin,Galar
45,0510,Liepard,Galar
46,0835,Yamper,Galar
47,0836,Boltund,Galar
48,0659,Bunnelby,Galar
49,0660,Diggersby,Galar
50,0572,Minccino,Galar
51,0573,Cinccino,Galar
52,0761,Bounsweet,Galar
53,0762,Steenee,Galar
54,0763,Tsareena,Galar
55,0043,Oddish,Galar
56,0044,Gloom,Galar
57,0045,Vileplume,Galar
58,0182,Bellossom,Galar
59,0406,Budew,Galar
60,0315,Roselia,Galar
61,0407,Roserade,Galar
62,0278,Wingull,Galar
63,0279,Pelipper,Galar
64,0595,Joltik,Galar
65,0596,Galvantula,Galar
66,0309,Electrike,Galar
67,0310,Manectric,Galar
68,0037,Vulpix,Galar
69,0038,Ninetales,Galar
70,0058,Growlithe,Galar
71,0059,Arcanine,Galar
72,0582,Vanillite,Galar
73,0583,Vanillish,Galar
74,0584,Vanilluxe,Galar
75,0220,Swinub,Galar
76,0221,Piloswine,Galar
77,0473,Mamoswine,Galar
78,0225,Delibird,Galar
