National_Dex,Pokemon,Series
1,Bulbasaur,HgSs
2,Ivysaur,HgSs
3,Venusaur,HgSs
4,Charmander,HgSs
5,Charmeleon,HgSs
6,Charizard,HgSs
7,Squirtle,HgSs
8,Wartortle,HgSs
9,Blastoise,HgSs
10,Caterpie,HgSs
11,Metapod,HgSs
12,Butterfree,HgSs
13,Weedle,HgSs
14,Kakuna,HgSs
15,Beedrill,HgSs
16,Pidgey,HgSs
17,Pidgeotto,HgSs
18,Pidgeot,HgSs
19,Rattata,HgSs
20,Raticate,HgSs
21,Spearow,HgSs
22,Fearow,HgSs
23,Ekans,HgSs
24,Arbok,HgSs
25,Pikachu,HgSs
26,Raichu,HgSs
27,Sandshrew,HgSs
28,Sandslash,HgSs
29,Nidoran-F,HgSs
30,Nidorina,HgSs
31,Nidoqueen,HgSs
32,Nidoran-M,HgSs
33,Nidorino,HgSs
34,Nidoking,HgSs
35,Clefairy,HgSs
36,Clefable,HgSs
37,Vulpix,HgSs
38,Ninetales,HgSs
39,Jigglypuff,HgSs
40,Wigglytuff,HgSs
41,Zubat,HgSs
42,Golbat,HgSs
43,Oddish,HgSs
44,Gloom,HgSs
45,Vileplume,HgSs
46,Paras,HgSs
47,Parasect,HgSs
48,Venonat,HgSs
49,Venomoth,HgSs
50,Diglett,HgSs
51,Dugtrio,HgSs
52,Meowth,HgSs
53,Persian,HgSs
54,Psyduck,HgSs
55,Golduck,HgSs
56,Mankey,HgSs
57,Primeape,HgSs
58,Growlithe,HgSs
59,Arcanine,HgSs
60,Poliwag,HgSs
61,Poliwhirl,HgSs
62,Poliwrath,HgSs
63,Abra,HgSs
64,Kadabra,HgSs
65,Alakazam,HgSs
66,Machop,HgSs
67,Machoke,HgSs
68,Machamp,HgSs
69,Bellsprout,HgSs
70,Weepinbell,HgSs
71,Victreebel,HgSs
72,Tentacool,HgSs
73,Tentacruel,HgSs
74,Geodude,HgSs
75,Graveler,HgSs
76,Golem,HgSs
77,Ponyta,HgSs
78,Rapidash,HgSs
79,Slowpoke,HgSs
80,Slowbro,HgSs
81,Magnemite,HgSs
82,Magneton,HgSs
83,Farfetch'd,HgSs
84,Doduo,HgSs
85,Dodrio,HgSs
86,Seel,HgSs
87,Dewgong,HgSs
88,Grimer,HgSs
89,Muk,HgSs
90,Shellder,HgSs
91,Cloyster,HgSs
92,Gastly,HgSs
93,Haunter,HgSs
94,Gengar,HgSs
95,Onix,HgSs
96,Drowzee,HgSs
97,Hypno,HgSs
98,Krabby,HgSs
99,Kingler,HgSs
100,Voltorb,HgSs
101,Electrode,HgSs
102,Exeggcute,HgSs
103,Exeggutor,HgSs
104,Cubone,HgSs
105,Marowak,HgSs
106,Hitmonlee,HgSs
107,Hitmonchan,HgSs
108,Lickitung,HgSs
109,Koffing,HgSs
110,Weezing,HgSs
111,Rhyhorn,HgSs
112,Rhydon,HgSs
113,Chansey,HgSs
114,Tangela,HgSs
115,Kangaskhan,HgSs
116,Horsea,HgSs
117,Seadra,HgSs
118,Goldeen,HgSs
119,Seaking,HgSs
120,Staryu,HgSs
121,Starmie,HgSs
122,Mr. Mime,HgSs
123,Scyther,HgSs
124,Jynx,HgSs
125,Electabuzz,HgSs
126,Magmar,HgSs
127,Pinsir,HgSs
128,Tauros,HgSs
129,Magikarp,HgSs
130,Gyarados,HgSs
131,Lapras,HgSs
132,Ditto,HgSs
133,Eevee,HgSs
134,Vaporeon,HgSs
135,Jolteon,HgSs
136,Flareon,HgSs
137,Porygon,HgSs
138,Omanyte,HgSs
139,Omastar,HgSs
140,Kabuto,HgSs
141,Kabutops,HgSs
142,Aerodactyl,HgSs
143,Snorlax,HgSs
144,Articuno,HgSs
145,Zapdos,HgSs
146,Moltres,HgSs
147,Dratini,HgSs
148,Dragonair,HgSs
149,Dragonite,HgSs
150,Mewtwo,HgSs
151,Mew,HgSs
152,Chikorita,HgSs
153,Bayleef,HgSs
154,Meganium,HgSs
155,Cyndaquil,HgSs
156,Quilava,HgSs
157,Typhlosion,HgSs
158,Totodile,HgSs
159,Croconaw,HgSs
160,Feraligatr,HgSs
161,Sentret,HgSs
162,Furret,HgSs
163,Hoothoot,HgSs
164,Noctowl,HgSs
165,Ledyba,HgSs
166,Ledian,HgSs
167,Spinarak,HgSs
168,Ariados,HgSs
169,Crobat,HgSs
170,Chinchou,HgSs
171,Lanturn,HgSs
172,Pichu,HgSs
173,Cleffa,HgSs
174,Igglybuff,HgSs
175,Togepi,HgSs
176,Togetic,HgSs
177,Natu,HgSs
178,Xatu,HgSs
179,Mareep,HgSs
180,Flaaffy,HgSs
181,Ampharos,HgSs
182,Bellossom,HgSs
183,Marill,HgSs
184,Azumarill,HgSs
185,Sudowoodo,HgSs
186,Politoed,HgSs
187,Hoppip,HgSs
188,Skiploom,HgSs
189,Jumpluff,HgSs
190,Aipom,HgSs
191,Sunkern,HgSs
192,Sunflora,HgSs
193,Yanma,HgSs
194,Wooper,HgSs
195,Quagsire,HgSs
196,Espeon,HgSs
197,Umbreon,HgSs
198,Murkrow,HgSs
199,Slowking,HgSs
200,Misdreavus,HgSs
201,Unown,HgSs
202,Wobbuffet,HgSs
203,Girafarig,HgSs
204,Pineco,HgSs
205,Forretress,HgSs
206,Dunsparce,HgSs
207,Gligar,HgSs
208,Steelix,HgSs
209,Snubbull,HgSs
210,Granbull,HgSs
211,Qwilfish,HgSs
212,Scizor,HgSs
213,Shuckle,HgSs
214,Heracross,HgSs
215,Sneasel,HgSs
216,Teddiursa,HgSs
217,Ursaring,HgSs
218,Slugma,HgSs
219,Magcargo,HgSs
220,Swinub,HgSs
221,Piloswine,HgSs
222,Corsola,HgSs
223,Remoraid,HgSs
224,Octillery,HgSs
225,Delibird,HgSs
226,Mantine,HgSs
227,Skarmory,HgSs
228,Houndour,HgSs
229,Houndoom,HgSs
230,Kingdra,HgSs
231,Phanpy,HgSs
232,Donphan,HgSs
233,Porygon2,HgSs
234,Stantler,HgSs
235,Smeargle,HgSs
236,Tyrogue,HgSs
237,Hitmontop,HgSs
238,Smoochum,HgSs
239,Elekid,HgSs
240,Magby,HgSs
241,Miltank,HgSs
242,Blissey,HgSs
243,Raikou,HgSs
244,Entei,HgSs
245,Suicune,HgSs
246,Larvitar,HgSs
247,Pupitar,HgSs
248,Tyranitar,HgSs
249,Lugia,HgSs
250,Ho-Oh,HgSs
251,Celebi,HgSs
252,Treecko,HgSs
253,Grovyle,HgSs
254,Sceptile,HgSs
255,Torchic,HgSs
256,Combusken,HgSs
257,Blaziken,HgSs
258,Mudkip,HgSs
259,Marshtomp,HgSs
260,Swampert,HgSs
261,Poochyena,HgSs
262,Mightyena,HgSs
263,Zigzagoon,HgSs
264,Linoone,HgSs
265,Wurmple,HgSs
266,Silcoon,HgSs
267,Beautifly,HgSs
268,Cascoon,HgSs
269,Dustox,HgSs
270,Lotad,HgSs
271,Lombre,HgSs
272,Ludicolo,HgSs
273,Seedot,HgSs
274,Nuzleaf,HgSs
275,Shiftry,HgSs
276,Taillow,HgSs
277,Swellow,HgSs
278,Wingull,HgSs
279,Pelipper,HgSs
280,Ralts,HgSs
281,Kirlia,HgSs
282,Gardevoir,HgSs
283,Surskit,HgSs
284,Masquerain,HgSs
285,Shroomish,HgSs
286,Breloom,HgSs
287,Slakoth,HgSs
288,Vigoroth,HgSs
289,Slaking,HgSs
290,Nincada,HgSs
291,Ninjask,HgSs
292,Shedinja,HgSs
293,Whismur,HgSs
294,Loudred,HgSs
295,Exploud,HgSs
296,Makuhita,HgSs
297,Hariyama,HgSs
298,Azurill,HgSs
299,Nosepass,HgSs
300,Skitty,HgSs
301,Delcatty,HgSs
302,Sableye,HgSs
303,Mawile,HgSs
304,Aron,HgSs
305,Lairon,HgSs
306,Aggron,HgSs
307,Meditite,HgSs
308,Medicham,HgSs
309,Electrike,HgSs
310,Manectric,HgSs
311,Plusle,HgSs
312,Minun,HgSs
313,Volbeat,HgSs
314,Illumise,HgSs
315,Roselia,HgSs
316,Gulpin,HgSs
317,Swalot,HgSs
318,Carvanha,HgSs
319,Sharpedo,HgSs
320,Wailmer,HgSs
321,Wailord,HgSs
322,Numel,HgSs
323,Camerupt,HgSs
324,Torkoal,HgSs
325,Spoink,HgSs
326,Grumpig,HgSs
327,Spinda,HgSs
328,Trapinch,HgSs
329,Vibrava,HgSs
330,Flygon,HgSs
331,Cacnea,HgSs
332,Cacturne,HgSs
333,Swablu,HgSs
334,Altaria,HgSs
335,Zangoose,HgSs
336,Seviper,HgSs
337,Lunatone,HgSs
338,Solrock,HgSs
339,Barboach,HgSs
340,Whiscash,HgSs
341,Corphish,HgSs
342,Crawdaunt,HgSs
343,Baltoy,HgSs
344,Claydol,HgSs
345,Lileep,HgSs
346,Cradily,HgSs
