Regional Dex #,National_Dex,Pokemon,Dex
1,0722,Rowlet,Hisui 
2,0723,Dartrix,Hisui 
3,0724,Decidueye,Hisui 
4,0155,Cyndaquil,Hisui 
5,0156,Quilava,Hisui 
6,0157,Typhlosion,Hisui 
7,0501,Oshawott,Hisui 
8,0502,Dewott,Hisui 
9,0503,Samurott,Hisui 
10,0399,Bidoof,Hisui 
11,0400,Bibarel,Hisui 
12,0396,Starly,Hisui 
13,0397,Staravia,Hisui 
14,0398,Staraptor,Hisui 
15,0403,Shinx,Hisui 
16,0404,Luxio,Hisui 
17,0405,Luxray,Hisui 
18,0265,Wurmple,Hisui 
19,0266,Silcoon,Hisui 
20,0267,Beautifly,Hisui 
21,0268,Cascoon,Hisui 
22,0269,Dustox,Hisui 
23,0077,Ponyta,Hisui 
24,0078,Rapidash,Hisui 
25,0133,Eevee,Hisui 
26,0134,Vaporeon,Hisui 
27,0135,Jolteon,Hisui 
28,0136,Flareon,Hisui 
29,0196,Espeon,Hisui 
30,0197,Umbreon,Hisui 
31,0470,Leafeon,Hisui 
32,0471,Glaceon,Hisui 
33,0700,Sylveon,Hisui 
34,0041,Zubat,Hisui 
35,0042,Golbat,Hisui 
36,0169,Crobat,Hisui 
37,0425,Drifloon,Hisui 
38,0426,Drifblim,Hisui 
39,0401,Kricketot,Hisui 
40,0402,Kricketune,Hisui 
41,0418,Buizel,Hisui 
42,0419,Floatzel,Hisui 
43,0412,Burmy,Hisui 
44,0413,Wormadam,Hisui 
45,0414,Mothim,Hisui 
46,0074,Geodude,Hisui 
47,0075,Graveler,Hisui 
48,0076,Golem,Hisui 
49,0234,Stantler,Hisui 
50,0899,Wyrdeer,Hisui 
51,0446,Munchlax,Hisui 
52,0143,Snorlax,Hisui 
53,0046,Paras,Hisui 
54,0047,Parasect,Hisui 
55,0172,Pichu,Hisui 
56,0025,Pikachu,Hisui 
57,0026,Raichu,Hisui 
58,0063,Abra,Hisui 
59,0064,Kadabra,Hisui 
60,0065,Alakazam,Hisui 
61,0390,Chimchar,Hisui 
62,0391,Monferno,Hisui 
63,0392,Infernape,Hisui 
64,0427,Buneary,Hisui 
65,0428,Lopunny,Hisui 
66,0420,Cherubi,Hisui 
67,0421,Cherrim,Hisui 
68,0054,Psyduck,Hisui 
69,0055,Golduck,Hisui 
70,0415,Combee,Hisui 
71,0416,Vespiquen,Hisui 
72,0123,Scyther,Hisui 
73,0900,Kleavor,Hisui 
74,0212,Scizor,Hisui 
75,0214,Heracross,Hisui 
76,0439,Mime Jr.,Hisui 
77,0122,Mr. Mime,Hisui 
78,0190,Aipom,Hisui 
79,0424,Ambipom,Hisui 
80,0129,Magikarp,Hisui 
81,0130,Gyarados,Hisui 
82,0422,Shellos,Hisui 
83,0423,Gastrodon,Hisui 
84,0211,Qwilfish,Hisui 
85,0904,Overqwil,Hisui 
86,0440,Happiny,Hisui 
87,0113,Chansey,Hisui 
88,0242,Blissey,Hisui 
89,0406,Budew,Hisui 
90,0315,Roselia,Hisui 
91,0407,Roserade,Hisui 
92,0455,Carnivine,Hisui 
93,0548,Petilil,Hisui 
94,0549,Lilligant,Hisui 
95,0114,Tangela,Hisui 
96,0465,Tangrowth,Hisui 
97,0339,Barboach,Hisui 
98,0340,Whiscash,Hisui 
99,0453,Croagunk,Hisui 
100,0454,Toxicroak,Hisui 
101,0280,Ralts,Hisui 
102,0281,Kirlia,Hisui 
103,0282,Gardevoir,Hisui 
104,0475,Gallade,Hisui 
105,0193,Yanma,Hisui 
106,0469,Yanmega,Hisui 
107,0449,Hippopotas,Hisui 
108,0450,Hippowdon,Hisui 
109,0417,Pachirisu,Hisui 
110,0434,Stunky,Hisui 
111,0435,Skuntank,Hisui 
112,0216,Teddiursa,Hisui 
113,0217,Ursaring,Hisui 
114,0901,Ursaluna,Hisui 
115,0704,Goomy,Hisui 
116,0705,Sliggoo,Hisui 
117,0706,Goodra,Hisui 
118,0095,Onix,Hisui 
119,0208,Steelix,Hisui 
120,0111,Rhyhorn,Hisui 
121,0112,Rhydon,Hisui 
122,0464,Rhyperior,Hisui 
123,0438,Bonsly,Hisui 
124,0185,Sudowoodo,Hisui 
125,0108,Lickitung,Hisui 
126,0463,Lickilicky,Hisui 
127,0175,Togepi,Hisui 
128,0176,Togetic,Hisui 
129,0468,Togekiss,Hisui 
130,0387,Turtwig,Hisui 
131,0388,Grotle,Hisui 
132,0389,Torterra,Hisui 
133,0137,Porygon,Hisui 
134,0233,Porygon2,Hisui 
135,0474,Porygon-Z,Hisui 
136,0092,Gastly,Hisui 
137,0093,Haunter,Hisui 
138,0094,Gengar,Hisui 
139,0442,Spiritomb,Hisui 
140,0198,Murkrow,Hisui 
141,0430,Honchkrow,Hisui 
142,0201,Unown,Hisui 
143,0363,Spheal,Hisui 
144,0364,Sealeo,Hisui 
145,0365,Walrein,Hisui 
146,0223,Remoraid,Hisui 
147,0224,Octillery,Hisui 
148,0451,Skorupi,Hisui 
149,0452,Drapion,Hisui 
150,0058,Growlithe,Hisui 
151,0059,Arcanine,Hisui 
152,0431,Glameow,Hisui 
153,0432,Purugly,Hisui 
