Regional Dex #,National_Dex,Pokemon,Dex
1,0252,Treecko,Hoenn (ORAS)
2,0253,Grovyle,Hoenn (ORAS)
3,0254,Sceptile,Hoenn (ORAS)
4,0255,Torchic,Hoenn (ORAS)
5,0256,Combusken,Hoenn (ORAS)
6,0257,Blaziken,Hoenn (ORAS)
7,0258,Mudkip,Hoenn (ORAS)
8,0259,Marshtomp,Hoenn (ORAS)
9,0260,Swampert,Hoenn (ORAS)
10,0261,Poochyena,Hoenn (ORAS)
11,0262,Mightyena,Hoenn (ORAS)
12,0263,Zigzagoon,Hoenn (ORAS)
13,0264,Linoone,Hoenn (ORAS)
14,0265,Wurmple,Hoenn (ORAS)
15,0266,Silcoon,Hoenn (ORAS)
16,0267,Beautifly,Hoenn (ORAS)
17,0268,Cascoon,Hoenn (ORAS)
18,0269,Dustox,Hoenn (ORAS)
19,0270,Lotad,Hoenn (ORAS)
20,0271,Lombre,Hoenn (ORAS)
21,0272,Ludicolo,Hoenn (ORAS)
22,0273,Seedot,Hoenn (ORAS)
23,0274,Nuzleaf,Hoenn (ORAS)
24,0275,Shiftry,Hoenn (ORAS)
25,0276,Taillow,Hoenn (ORAS)
26,0277,Swellow,Hoenn (ORAS)
27,0278,Wingull,Hoenn (ORAS)
28,0279,Pelipper,Hoenn (ORAS)
29,0280,Ralts,Hoenn (ORAS)
30,0281,Kirlia,Hoenn (ORAS)
31,0282,Gardevoir,Hoenn (ORAS)
32,0475,Gallade,Hoenn (ORAS)
33,0283,Surskit,Hoenn (ORAS)
34,0284,Masquerain,Hoenn (ORAS)
35,0285,Shroomish,Hoenn (ORAS)
36,0286,Breloom,Hoenn (ORAS)
37,0287,Slakoth,Hoenn (ORAS)
38,0288,Vigoroth,Hoenn (ORAS)
39,0289,Slaking,Hoenn (ORAS)
40,0063,Abra,Hoenn (ORAS)
41,0064,Kadabra,Hoenn (ORAS)
42,0065,Alakazam,Hoenn (ORAS)
43,0290,Nincada,Hoenn (ORAS)
44,0291,Ninjask,Hoenn (ORAS)
45,0292,Shedinja,Hoenn (ORAS)
46,0293,Whismur,Hoenn (ORAS)
47,0294,Loudred,Hoenn (ORAS)
48,0295,Exploud,Hoenn (ORAS)
49,0296,Makuhita,Hoenn (ORAS)
50,0297,Hariyama,Hoenn (ORAS)
51,0118,Goldeen,Hoenn (ORAS)
52,0119,Seaking,Hoenn (ORAS)
53,0129,Magikarp,Hoenn (ORAS)
54,0130,Gyarados,Hoenn (ORAS)
55,0298,Azurill,Hoenn (ORAS)
56,0183,Marill,Hoenn (ORAS)
57,0184,Azumarill,Hoenn (ORAS)
58,0074,Geodude,Hoenn (ORAS)
59,0075,Graveler,Hoenn (ORAS)
60,0076,Golem,Hoenn (ORAS)
61,0299,Nosepass,Hoenn (ORAS)
62,0476,Probopass,Hoenn (ORAS)
