Regional Dex #,National_Dex,Pokemon,Dex
1,0079,Slowpoke,Isle_of_Armor
2,0080,Slowbro,Isle_of_Armor
3,0199,Slowking,Isle_of_Armor
4,0427,Buneary,Isle_of_Armor
5,0428,Lopunny,Isle_of_Armor
6,0440,Happiny,Isle_of_Armor
7,0113,Chansey,Isle_of_Armor
8,0242,Blissey,Isle_of_Armor
9,0819,Skwovet,Isle_of_Armor
10,0820,Greedent,Isle_of_Armor
11,0174,Igglybuff,Isle_of_Armor
12,0039,Jigglypuff,Isle_of_Armor
13,0040,Wigglytuff,Isle_of_Armor
14,0824,Blipbug,Isle_of_Armor
15,0825,Dottler,Isle_of_Armor
16,0826,Orbeetle,Isle_of_Armor
17,0753,Fomantis,Isle_of_Armor
18,0754,Lurantis,Isle_of_Armor
19,0840,Applin,Isle_of_Armor
20,0841,Flapple,Isle_of_Armor
21,0842,Appletun,Isle_of_Armor
22,0661,Fletchling,Isle_of_Armor
23,0662,Fletchinder,Isle_of_Armor
24,0663,Talonflame,Isle_of_Armor
25,0403,Shinx,Isle_of_Armor
26,0404,Luxio,Isle_of_Armor
27,0405,Luxray,Isle_of_Armor
28,0707,Klefki,Isle_of_Armor
29,0624,Pawniard,Isle_of_Armor
30,0625,Bisharp,Isle_of_Armor
31,0063,Abra,Isle_of_Armor
32,0064,Kadabra,Isle_of_Armor
33,0065,Alakazam,Isle_of_Armor
34,0280,Ralts,Isle_of_Armor
35,0281,Kirlia,Isle_of_Armor
36,0282,Gardevoir,Isle_of_Armor
37,0475,Gallade,Isle_of_Armor
38,0098,Krabby,Isle_of_Armor
39,0099,Kingler,Isle_of_Armor
40,0072,Tentacool,Isle_of_Armor
41,0073,Tentacruel,Isle_of_Armor
42,0129,Magikarp,Isle_of_Armor
43,0130,Gyarados,Isle_of_Armor
44,0223,Remoraid,Isle_of_Armor
45,0224,Octillery,Isle_of_Armor
46,0458,Mantyke,Isle_of_Armor
47,0226,Mantine,Isle_of_Armor
48,0278,Wingull,Isle_of_Armor
49,0279,Pelipper,Isle_of_Armor
50,0451,Skorupi,Isle_of_Armor
51,0452,Drapion,Isle_of_Armor
52,0206,Dunsparce,Isle_of_Armor
53,0626,Bouffalant,Isle_of_Armor
54,0108,Lickitung,Isle_of_Armor
55,0463,Lickilicky,Isle_of_Armor
56,0833,Chewtle,Isle_of_Armor
57,0834,Drednaw,Isle_of_Armor
58,0194,Wooper,Isle_of_Armor
59,0195,Quagsire,Isle_of_Armor
60,0704,Goomy,Isle_of_Armor
61,0705,Sliggoo,Isle_of_Armor
62,0706,Goodra,Isle_of_Armor
63,0621,Druddigon,Isle_of_Armor
64,0616,Shelmet,Isle_of_Armor
65,0617,Accelgor,Isle_of_Armor
66,0588,Karrablast,Isle_of_Armor
67,0589,Escavalier,Isle_of_Armor
68,0001,Bulbasaur,Isle_of_Armor
69,0002,Ivysaur,Isle_of_Armor
70,0003,Venusaur,Isle_of_Armor
71,0007,Squirtle,Isle_of_Armor
72,0008,Wartortle,Isle_of_Armor
73,0009,Blastoise,Isle_of_Armor
74,0543,Venipede,Isle_of_Armor
75,0544,Whirlipede,Isle_of_Armor
76,0545,Scolipede,Isle_of_Armor
77,0590,Foongus,Isle_of_Armor
78,0591,Amoonguss,Isle_of_Armor
79,0764,Comfey,Isle_of_Armor
80,0114,Tangela,Isle_of_Armor
81,0465,Tangrowth,Isle_of_Armor
82,0453,Croagunk,Isle_of_Armor
83,0454,Toxicroak,Isle_of_Armor
84,0172,Pichu,Isle_of_Armor
85,0025,Pikachu,Isle_of_Armor
86,0026,Raichu,Isle_of_Armor
87,0570,Zorua,Isle_of_Armor
88,0571,Zoroark,Isle_of_Armor
89,0765,Oranguru,Isle_of_Armor
90,0766,Passimian,Isle_of_Armor
91,0341,Corphish,Isle_of_Armor
92,0342,Crawdaunt,Isle_of_Armor
93,0845,Cramorant,Isle_of_Armor
94,0118,Goldeen,Isle_of_Armor
95,0119,Seaking,Isle_of_Armor
96,0846,Arrokuda,Isle_of_Armor
97,0847,Barraskewda,Isle_of_Armor
98,0120,Staryu,Isle_of_Armor
99,0121,Starmie,Isle_of_Armor
100,0891,Kubfu,Isle_of_Armor
101,0892,Urshifu,Isle_of_Armor
102,0587,Emolga,Isle_of_Armor
103,0702,Dedenne,Isle_of_Armor
104,0877,Morpeko,Isle_of_Armor
105,0081,Magnemite,Isle_of_Armor
106,0082,Magneton,Isle_of_Armor
107,0462,Magnezone,Isle_of_Armor
108,0686,Inkay,Isle_of_Armor
109,0687,Malamar,Isle_of_Armor
110,0746,Wishiwashi,Isle_of_Armor
111,0318,Carvanha,Isle_of_Armor
112,0319,Sharpedo,Isle_of_Armor
113,0506,Lillipup,Isle_of_Armor
114,0507,Herdier,Isle_of_Armor
115,0508,Stoutland,Isle_of_Armor
116,0128,Tauros,Isle_of_Armor
117,0241,Miltank,Isle_of_Armor
118,0123,Scyther,Isle_of_Armor
119,0212,Scizor,Isle_of_Armor
120,0127,Pinsir,Isle_of_Armor
121,0214,Heracross,Isle_of_Armor
122,0557,Dwebble,Isle_of_Armor
123,0558,Crustle,Isle_of_Armor
124,0767,Wimpod,Isle_of_Armor
125,0768,Golisopod,Isle_of_Armor
126,0871,Pincurchin,Isle_of_Armor
127,0747,Mareanie,Isle_of_Armor
128,0748,Toxapex,Isle_of_Armor
129,0852,Clobbopus,Isle_of_Armor
130,0853,Grapploct,Isle_of_Armor
131,0090,Shellder,Isle_of_Armor
132,0091,Cloyster,Isle_of_Armor
133,0769,Sandygast,Isle_of_Armor
134,0770,Palossand,Isle_of_Armor
