Regional Dex #,National_Dex,Pokemon,Dex
1,0152,Chikorita,Johto (GSC)
2,0153,Bayleef,Johto (GSC)
3,0154,Meganium,Johto (GSC)
4,0155,Cyndaquil,Johto (GSC)
5,0156,Quilava,Johto (GSC)
6,0157,Typhlosion,Johto (GSC)
7,0158,Totodile,Johto (GSC)
8,0159,Croconaw,Johto (GSC)
9,0160,Feraligatr,Johto (GSC)
10,0016,Pidgey,Johto (GSC)
11,0017,Pidgeotto,Johto (GSC)
12,0018,Pidgeot,Johto (GSC)
13,0021,Spearow,Johto (GSC)
14,0022,Fearow,Johto (GSC)
15,0163,Hoothoot,Johto (GSC)
16,0164,Noctowl,Johto (GSC)
17,0019,Rattata,Johto (GSC)
18,0020,Raticate,Johto (GSC)
19,0161,Sentret,Johto (GSC)
20,0162,Furret,Johto (GSC)
21,0172,Pichu,Johto (GSC)
22,0025,Pikachu,Johto (GSC)
23,0026,Raichu,Johto (GSC)
24,0010,Caterpie,Johto (GSC)
25,0011,Metapod,Johto (GSC)
26,0012,Butterfree,Johto (GSC)
27,0013,Weedle,Johto (GSC)
28,0014,Kakuna,Johto (GSC)
29,0015,Beedrill,Johto (GSC)
30,0165,Ledyba,Johto (GSC)
31,0166,Ledian,Johto (GSC)
32,0167,Spinarak,Johto (GSC)
33,0168,Ariados,Johto (GSC)
34,0074,Geodude,Johto (GSC)
35,0075,Graveler,Johto (GSC)
36,0076,Golem,Johto (GSC)
37,0041,Zubat,Johto (GSC)
38,0042,Golbat,Johto (GSC)
39,0169,Crobat,Johto (GSC)
40,0173,Cleffa,Johto (GSC)
41,0035,Clefairy,Johto (GSC)
42,0036,Clefable,Johto (GSC)
43,0174,Igglybuff,Johto (GSC)
44,0039,Jigglypuff,Johto (GSC)
45,0040,Wigglytuff,Johto (GSC)
46,0175,Togepi,Johto (GSC)
47,0176,Togetic,Johto (GSC)
48,0027,Sandshrew,Johto (GSC)
49,0028,Sandslash,Johto (GSC)
50,0023,Ekans,Johto (GSC)
51,0024,Arbok,Johto (GSC)
52,0206,Dunsparce,Johto (GSC)
53,0179,Mareep,Johto (GSC)
54,0180,Flaaffy,Johto (GSC)
55,0181,Ampharos,Johto (GSC)
56,0194,Wooper,Johto (GSC)
57,0195,Quagsire,Johto (GSC)
58,0092,Gastly,Johto (GSC)
59,0093,Haunter,Johto (GSC)
60,0094,Gengar,Johto (GSC)
61,0201,Unown,Johto (GSC)
62,0095,Onix,Johto (GSC)
63,0208,Steelix,Johto (GSC)
64,0069,Bellsprout,Johto (GSC)
65,0070,Weepinbell,Johto (GSC)
66,0071,Victreebel,Johto (GSC)
67,0187,Hoppip,Johto (GSC)
68,0188,Skiploom,Johto (GSC)
69,0189,Jumpluff,Johto (GSC)
70,0046,Paras,Johto (GSC)
71,0047,Parasect,Johto (GSC)
72,0060,Poliwag,Johto (GSC)
73,0061,Poliwhirl,Johto (GSC)
74,0062,Poliwrath,Johto (GSC)
75,0186,Politoed,Johto (GSC)
76,0129,Magikarp,Johto (GSC)
77,0130,Gyarados,Johto (GSC)
78,0118,Goldeen,Johto (GSC)
79,0119,Seaking,Johto (GSC)
80,0079,Slowpoke,Johto (GSC)
81,0080,Slowbro,Johto (GSC)
82,0199,Slowking,Johto (GSC)
83,0043,Oddish,Johto (GSC)
84,0044,Gloom,Johto (GSC)
85,0045,Vileplume,Johto (GSC)
86,0182,Bellossom,Johto (GSC)
87,0096,Drowzee,Johto (GSC)
88,0097,Hypno,Johto (GSC)
89,0063,Abra,Johto (GSC)
90,0064,Kadabra,Johto (GSC)
91,0065,Alakazam,Johto (GSC)
92,0132,Ditto,Johto (GSC)
93,0204,Pineco,Johto (GSC)
94,0205,Forretress,Johto (GSC)
95,0029,Nidoran♀,Johto (GSC)
96,0030,Nidorina,Johto (GSC)
97,0031,Nidoqueen,Johto (GSC)
98,0032,Nidoran♂,Johto (GSC)
99,0033,Nidorino,Johto (GSC)
100,0034,Nidoking,Johto (GSC)
101,0193,Yanma,Johto (GSC)
102,0191,Sunkern,Johto (GSC)
103,0192,Sunflora,Johto (GSC)
104,0102,Exeggcute,Johto (GSC)
105,0103,Exeggutor,Johto (GSC)
106,0185,Sudowoodo,Johto (GSC)
107,0202,Wobbuffet,Johto (GSC)
108,0048,Venonat,Johto (GSC)
109,0049,Venomoth,Johto (GSC)
110,0123,Scyther,Johto (GSC)
111,0212,Scizor,Johto (GSC)
112,0127,Pinsir,Johto (GSC)
113,0214,Heracross,Johto (GSC)
114,0109,Koffing,Johto (GSC)
115,0110,Weezing,Johto (GSC)
116,0088,Grimer,Johto (GSC)
117,0089,Muk,Johto (GSC)
118,0081,Magnemite,Johto (GSC)
119,0082,Magneton,Johto (GSC)
120,0100,Voltorb,Johto (GSC)
121,0101,Electrode,Johto (GSC)
122,0190,Aipom,Johto (GSC)
123,0209,Snubbull,Johto (GSC)
124,0210,Granbull,Johto (GSC)
125,0037,Vulpix,Johto (GSC)
126,0038,Ninetales,Johto (GSC)
127,0058,Growlithe,Johto (GSC)
128,0059,Arcanine,Johto (GSC)
129,0234,Stantler,Johto (GSC)
130,0183,Marill,Johto (GSC)
131,0184,Azumarill,Johto (GSC)
132,0050,Diglett,Johto (GSC)
133,0051,Dugtrio,Johto (GSC)
134,0056,Mankey,Johto (GSC)
135,0057,Primeape,Johto (GSC)
136,0052,Meowth,Johto (GSC)
137,0053,Persian,Johto (GSC)
138,0054,Psyduck,Johto (GSC)
139,0055,Golduck,Johto (GSC)
140,0066,Machop,Johto (GSC)
141,0067,Machoke,Johto (GSC)
142,0068,Machamp,Johto (GSC)
143,0236,Tyrogue,Johto (GSC)
144,0106,Hitmonlee,Johto (GSC)
145,0107,Hitmonchan,Johto (GSC)
146,0237,Hitmontop,Johto (GSC)
147,0203,Girafarig,Johto (GSC)
148,0128,Tauros,Johto (GSC)
149,0241,Miltank,Johto (GSC)
150,0240,Magby,Johto (GSC)
151,0126,Magmar,Johto (GSC)
152,0238,Smoochum,Johto (GSC)
153,0124,Jynx,Johto (GSC)
154,0239,Elekid,Johto (GSC)
155,0125,Electabuzz,Johto (GSC)
156,0122,Mr. Mime,Johto (GSC)
157,0235,Smeargle,Johto (GSC)
158,0083,Farfetch'd,Johto (GSC)
159,0177,Natu,Johto (GSC)
160,0178,Xatu,Johto (GSC)
161,0211,Qwilfish,Johto (GSC)
162,0072,Tentacool,Johto (GSC)
163,0073,Tentacruel,Johto (GSC)
164,0098,Krabby,Johto (GSC)
165,0099,Kingler,Johto (GSC)
166,0213,Shuckle,Johto (GSC)
167,0120,Staryu,Johto (GSC)
168,0121,Starmie,Johto (GSC)
169,0090,Shellder,Johto (GSC)
170,0091,Cloyster,Johto (GSC)
171,0222,Corsola,Johto (GSC)
172,0223,Remoraid,Johto (GSC)
173,0224,Octillery,Johto (GSC)
174,0170,Chinchou,Johto (GSC)
175,0171,Lanturn,Johto (GSC)
176,0086,Seel,Johto (GSC)
177,0087,Dewgong,Johto (GSC)
178,0108,Lickitung,Johto (GSC)
179,0114,Tangela,Johto (GSC)
180,0133,Eevee,Johto (GSC)
181,0134,Vaporeon,Johto (GSC)
182,0135,Jolteon,Johto (GSC)
183,0136,Flareon,Johto (GSC)
184,0196,Espeon,Johto (GSC)
185,0197,Umbreon,Johto (GSC)
186,0116,Horsea,Johto (GSC)
187,0117,Seadra,Johto (GSC)
188,0230,Kingdra,Johto (GSC)
189,0207,Gligar,Johto (GSC)
190,0225,Delibird,Johto (GSC)
191,0220,Swinub,Johto (GSC)
192,0221,Piloswine,Johto (GSC)
193,0216,Teddiursa,Johto (GSC)
194,0217,Ursaring,Johto (GSC)
195,0231,Phanpy,Johto (GSC)
196,0232,Donphan,Johto (GSC)
197,0226,Mantine,Johto (GSC)
198,0227,Skarmory,Johto (GSC)
199,0084,Doduo,Johto (GSC)
200,0085,Dodrio,Johto (GSC)
201,0077,Ponyta,Johto (GSC)
202,0078,Rapidash,Johto (GSC)
203,0104,Cubone,Johto (GSC)
204,0105,Marowak,Johto (GSC)
205,0115,Kangaskhan,Johto (GSC)
206,0111,Rhyhorn,Johto (GSC)
207,0112,Rhydon,Johto (GSC)
208,0198,Murkrow,Johto (GSC)
209,0228,Houndour,Johto (GSC)
210,0229,Houndoom,Johto (GSC)
211,0218,Slugma,Johto (GSC)
212,0219,Magcargo,Johto (GSC)
213,0215,Sneasel,Johto (GSC)
214,0200,Misdreavus,Johto (GSC)
215,0137,Porygon,Johto (GSC)
216,0233,Porygon2,Johto (GSC)
217,0113,Chansey,Johto (GSC)
218,0242,Blissey,Johto (GSC)
219,0131,Lapras,Johto (GSC)
220,0138,Omanyte,Johto (GSC)
221,0139,Omastar,Johto (GSC)
222,0140,Kabuto,Johto (GSC)
223,0141,Kabutops,Johto (GSC)
224,0142,Aerodactyl,Johto (GSC)
225,0143,Snorlax,Johto (GSC)
226,0001,Bulbasaur,Johto (GSC)
227,0002,Ivysaur,Johto (GSC)
228,0003,Venusaur,Johto (GSC)
229,0004,Charmander,Johto (GSC)
230,0005,Charmeleon,Johto (GSC)
231,0006,Charizard,Johto (GSC)
232,0007,Squirtle,Johto (GSC)
233,0008,Wartortle,Johto (GSC)
234,0009,Blastoise,Johto (GSC)
235,0144,Articuno,Johto (GSC)
236,0145,Zapdos,Johto (GSC)
237,0146,Moltres,Johto (GSC)
238,0243,Raikou,Johto (GSC)
239,0244,Entei,Johto (GSC)
240,0245,Suicune,Johto (GSC)
241,0147,Dratini,Johto (GSC)
242,0148,Dragonair,Johto (GSC)
243,0149,Dragonite,Johto (GSC)
244,0246,Larvitar,Johto (GSC)
245,0247,Pupitar,Johto (GSC)
246,0248,Tyranitar,Johto (GSC)
247,0249,Lugia,Johto (GSC)
248,0250,Ho-Oh,Johto (GSC)
249,0150,Mewtwo,Johto (GSC)
250,0151,Mew,Johto (GSC)
251,0251,Celebi,Johto (GSC)
