Regional Dex #,National_Dex,Pokemon,Dex
1,0152,Chikorita,Johto (HgSs)
2,0153,Bayleef,Johto (HgSs)
3,0154,Meganium,Johto (HgSs)
4,0155,Cyndaquil,Johto (HgSs)
5,0156,Quilava,Johto (HgSs)
6,0157,Typhlosion,Johto (HgSs)
7,0158,Totodile,Johto (HgSs)
8,0159,Croconaw,Johto (HgSs)
9,0160,Feraligatr,Johto (HgSs)
10,0016,Pidgey,Johto (HgSs)
11,0017,Pidgeotto,Johto (HgSs)
12,0018,Pidgeot,Johto (HgSs)
13,0021,Spearow,Johto (HgSs)
14,0022,Fearow,Johto (HgSs)
15,0163,Hoothoot,Johto (HgSs)
16,0164,Noctowl,Johto (HgSs)
17,0019,Rattata,Johto (HgSs)
18,0020,Raticate,Johto (HgSs)
19,0161,Sentret,Johto (HgSs)
20,0162,Furret,Johto (HgSs)
21,0172,Pichu,Johto (HgSs)
22,0025,Pikachu,Johto (HgSs)
23,0026,Raichu,Johto (HgSs)
24,0010,Caterpie,Johto (HgSs)
25,0011,Metapod,Johto (HgSs)
26,0012,Butterfree,Johto (HgSs)
27,0013,Weedle,Johto (HgSs)
28,0014,Kakuna,Johto (HgSs)
29,0015,Beedrill,Johto (HgSs)
30,0165,Ledyba,Johto (HgSs)
31,0166,Ledian,Johto (HgSs)
32,0167,Spinarak,Johto (HgSs)
33,0168,Ariados,Johto (HgSs)
34,0074,Geodude,Johto (HgSs)
35,0075,Graveler,Johto (HgSs)
36,0076,Golem,Johto (HgSs)
37,0041,Zubat,Johto (HgSs)
38,0042,Golbat,Johto (HgSs)
39,0169,Crobat,Johto (HgSs)
40,0173,Cleffa,Johto (HgSs)
41,0035,Clefairy,Johto (HgSs)
42,0036,Clefable,Johto (HgSs)
43,0174,Igglybuff,Johto (HgSs)
44,0039,Jigglypuff,Johto (HgSs)
45,0040,Wigglytuff,Johto (HgSs)
46,0175,Togepi,Johto (HgSs)
47,0176,Togetic,Johto (HgSs)
48,0027,Sandshrew,Johto (HgSs)
49,0028,Sandslash,Johto (HgSs)
