Regional Dex #,National_Dex,Pokemon,Dex
1,0001,Bulbasaur,Kanto (RGBY and FrLg)
2,0002,Ivysaur,Kanto (RGBY and FrLg)
3,0003,Venusaur,Kanto (RGBY and FrLg)
4,0004,Charmander,Kanto (RGBY and FrLg)
5,0005,Charmeleon,Kanto (RGBY and FrLg)
6,0006,Charizard,Kanto (RGBY and FrLg)
7,0007,Squirtle,Kanto (RGBY and FrLg)
8,0008,Wartortle,Kanto (RGBY and FrLg)
9,0009,Blastoise,Kanto (RGBY and FrLg)
10,0010,Caterpie,Kanto (RGBY and FrLg)
11,0011,Metapod,Kanto (RGBY and FrLg)
12,0012,Butterfree,Kanto (RGBY and FrLg)
13,0013,Weedle,Kanto (RGBY and FrLg)
14,0014,Kakuna,Kanto (RGBY and FrLg)
15,0015,Beedrill,Kanto (RGBY and FrLg)
16,0016,Pidgey,Kanto (RGBY and FrLg)
17,0017,Pidgeotto,Kanto (RGBY and FrLg)
18,0018,Pidgeot,Kanto (RGBY and FrLg)
19,0019,Rattata,Kanto (RGBY and FrLg)
20,0020,Raticate,Kanto (RGBY and FrLg)
21,0021,Spearow,Kanto (RGBY and FrLg)
22,0022,Fearow,Kanto (RGBY and FrLg)
23,0023,Ekans,Kanto (RGBY and FrLg)
24,0024,Arbok,Kanto (RGBY and FrLg)
25,0025,Pikachu,Kanto (RGBY and FrLg)
26,0026,Raichu,Kanto (RGBY and FrLg)
27,0027,Sandshrew,Kanto (RGBY and FrLg)
28,0028,Sandslash,Kanto (RGBY and FrLg)
29,0029,Nidoran♀,Kanto (RGBY and FrLg)
30,0030,Nidorina,Kanto (RGBY and FrLg)
31,0031,Nidoqueen,Kanto (RGBY and FrLg)
32,0032,Nidoran♂,Kanto (RGBY and FrLg)
33,0033,Nidorino,Kanto (RGBY and FrLg)
34,0034,Nidoking,Kanto (RGBY and FrLg)
35,0035,Clefairy,Kanto (RGBY and FrLg)
36,0036,Clefable,Kanto (RGBY and FrLg)
37,0037,Vulpix,Kanto (RGBY and FrLg)
38,0038,Ninetales,Kanto (RGBY and FrLg)
39,0039,Jigglypuff,Kanto (RGBY and FrLg)
40,0040,Wigglytuff,Kanto (RGBY and FrLg)
41,0041,Zubat,Kanto (RGBY and FrLg)
42,0042,Golbat,Kanto (RGBY and FrLg)
43,0043,Oddish,Kanto (RGBY and FrLg)
44,0044,Gloom,Kanto (RGBY and FrLg)
45,0045,Vileplume,Kanto (RGBY and FrLg)
46,0046,Paras,Kanto (RGBY and FrLg)
47,0047,Parasect,Kanto (RGBY and FrLg)
48,0048,Venonat,Kanto (RGBY and FrLg)
49,0049,Venomoth,Kanto (RGBY and FrLg)
50,0050,Diglett,Kanto (RGBY and FrLg)
51,0051,Dugtrio,Kanto (RGBY and FrLg)
52,0052,Meowth,Kanto (RGBY and FrLg)
53,0053,Persian,Kanto (RGBY and FrLg)
54,0054,Psyduck,Kanto (RGBY and FrLg)
55,0055,Golduck,Kanto (RGBY and FrLg)
56,0056,Mankey,Kanto (RGBY and FrLg)
57,0057,Primeape,Kanto (RGBY and FrLg)
58,0058,Growlithe,Kanto (RGBY and FrLg)
59,0059,Arcanine,Kanto (RGBY and FrLg)
60,0060,Poliwag,Kanto (RGBY and FrLg)
61,0061,Poliwhirl,Kanto (RGBY and FrLg)
62,0062,Poliwrath,Kanto (RGBY and FrLg)
63,0063,Abra,Kanto (RGBY and FrLg)
64,0064,Kadabra,Kanto (RGBY and FrLg)
65,0065,Alakazam,Kanto (RGBY and FrLg)
66,0066,Machop,Kanto (RGBY and FrLg)
67,0067,Machoke,Kanto (RGBY and FrLg)
68,0068,Machamp,Kanto (RGBY and FrLg)
69,0069,Bellsprout,Kanto (RGBY and FrLg)
70,0070,Weepinbell,Kanto (RGBY and FrLg)
71,0071,Victreebel,Kanto (RGBY and FrLg)
72,0072,Tentacool,Kanto (RGBY and FrLg)
73,0073,Tentacruel,Kanto (RGBY and FrLg)
74,0074,Geodude,Kanto (RGBY and FrLg)
75,0075,Graveler,Kanto (RGBY and FrLg)
76,0076,Golem,Kanto (RGBY and FrLg)
77,0077,Ponyta,Kanto (RGBY and FrLg)
78,0078,Rapidash,Kanto (RGBY and FrLg)
79,0079,Slowpoke,Kanto (RGBY and FrLg)
80,0080,Slowbro,Kanto (RGBY and FrLg)
81,0081,Magnemite,Kanto (RGBY and FrLg)
82,0082,Magneton,Kanto (RGBY and FrLg)
83,0083,Farfetch'd,Kanto (RGBY and FrLg)
84,0084,Doduo,Kanto (RGBY and FrLg)
85,0085,Dodrio,Kanto (RGBY and FrLg)
86,0086,Seel,Kanto (RGBY and FrLg)
87,0087,Dewgong,Kanto (RGBY and FrLg)
88,0088,Grimer,Kanto (RGBY and FrLg)
89,0089,Muk,Kanto (RGBY and FrLg)
90,0090,Shellder,Kanto (RGBY and FrLg)
91,0091,Cloyster,Kanto (RGBY and FrLg)
92,0092,Gastly,Kanto (RGBY and FrLg)
93,0093,Haunter,Kanto (RGBY and FrLg)
94,0094,Gengar,Kanto (RGBY and FrLg)
95,0095,Onix,Kanto (RGBY and FrLg)
96,0096,Drowzee,Kanto (RGBY and FrLg)
97,0097,Hypno,Kanto (RGBY and FrLg)
98,0098,Krabby,Kanto (RGBY and FrLg)
99,0099,Kingler,Kanto (RGBY and FrLg)
100,0100,Voltorb,Kanto (RGBY and FrLg)
101,0101,Electrode,Kanto (RGBY and FrLg)
102,0102,Exeggcute,Kanto (RGBY and FrLg)
103,0103,Exeggutor,Kanto (RGBY and FrLg)
104,0104,Cubone,Kanto (RGBY and FrLg)
105,0105,Marowak,Kanto (RGBY and FrLg)
106,0106,Hitmonlee,Kanto (RGBY and FrLg)
107,0107,Hitmonchan,Kanto (RGBY and FrLg)
108,0108,Lickitung,Kanto (RGBY and FrLg)
109,0109,Koffing,Kanto (RGBY and FrLg)
110,0110,Weezing,Kanto (RGBY and FrLg)
111,0111,Rhyhorn,Kanto (RGBY and FrLg)
112,0112,Rhydon,Kanto (RGBY and FrLg)
113,0113,Chansey,Kanto (RGBY and FrLg)
114,0114,Tangela,Kanto (RGBY and FrLg)
115,0115,Kangaskhan,Kanto (RGBY and FrLg)
116,0116,Horsea,Kanto (RGBY and FrLg)
117,0117,Seadra,Kanto (RGBY and FrLg)
118,0118,Goldeen,Kanto (RGBY and FrLg)
119,0119,Seaking,Kanto (RGBY and FrLg)
120,0120,Staryu,Kanto (RGBY and FrLg)
121,0121,Starmie,Kanto (RGBY and FrLg)
122,0122,Mr. Mime,Kanto (RGBY and FrLg)
123,0123,Scyther,Kanto (RGBY and FrLg)
124,0124,Jynx,Kanto (RGBY and FrLg)
125,0125,Electabuzz,Kanto (RGBY and FrLg)
126,0126,Magmar,Kanto (RGBY and FrLg)
127,0127,Pinsir,Kanto (RGBY and FrLg)
128,0128,Tauros,Kanto (RGBY and FrLg)
129,0129,Magikarp,Kanto (RGBY and FrLg)
130,0130,Gyarados,Kanto (RGBY and FrLg)
131,0131,Lapras,Kanto (RGBY and FrLg)
132,0132,Ditto,Kanto (RGBY and FrLg)
133,0133,Eevee,Kanto (RGBY and FrLg)
134,0134,Vaporeon,Kanto (RGBY and FrLg)
135,0135,Jolteon,Kanto (RGBY and FrLg)
136,0136,Flareon,Kanto (RGBY and FrLg)
137,0137,Porygon,Kanto (RGBY and FrLg)
138,0138,Omanyte,Kanto (RGBY and FrLg)
139,0139,Omastar,Kanto (RGBY and FrLg)
140,0140,Kabuto,Kanto (RGBY and FrLg)
141,0141,Kabutops,Kanto (RGBY and FrLg)
142,0142,Aerodactyl,Kanto (RGBY and FrLg)
143,0143,Snorlax,Kanto (RGBY and FrLg)
144,0144,Articuno,Kanto (RGBY and FrLg)
