National_Dex,Pokemon,Form,Series
1,Bulbasaur,,"['RGBY', 'FrLg', 'PE', 'HgSs', 'XY', 'UsUm', 'BdSp', 'SwSh', 'ZA', 'SV']"
2,Ivysaur,,"['RGBY', 'FrLg', 'PE', 'HgSs', 'XY', 'UsUm', 'BdSp', 'SwSh', 'ZA', 'SV']"
3,Venusaur,,"['RGBY', 'FrLg', 'PE', 'HgSs', 'XY', 'UsUm', 'BdSp', 'SwSh', 'ZA', 'SV']"
4,Charmander,,"['RGBY', 'FrLg', 'PE', 'HgSs', 'XY', 'UsUm', 'BdSp', 'SwSh', 'ZA', 'SV']"
5,Charmeleon,,"['RGBY', 'FrLg', 'PE', 'HgSs', 'XY', 'UsUm', 'BdSp', 'SwSh', 'ZA', 'SV']"
6,Charizard,,"['RGBY', 'FrLg', 'PE', 'HgSs', 'XY', 'UsUm', 'BdSp', 'SwSh', 'ZA', 'SV']"
7,Squirtle,,"['RGBY', 'FrLg', 'PE', 'HgSs', 'XY', 'UsUm', 'BdSp', 'SwSh', 'ZA', 'SV']"
8,Wartortle,,"['RGBY', 'FrLg', 'PE', 'HgSs', 'XY', 'UsUm', 'BdSp', 'SwSh', 'ZA', 'SV']"
9,Blastoise,,"['RGBY', 'FrLg', 'PE', 'HgSs', 'XY', 'UsUm', 'BdSp', 'SwSh', 'ZA', 'SV']"
10,Caterpie,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'SM', 'UsUm', 'BdSp', 'SwSh']"
11,Metapod,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'SM', 'UsUm', 'BdSp', 'SwSh']"
12,Butterfree,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'SM', 'UsUm', 'BdSp', 'SwSh']"
13,Weedle,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'UsUm', 'BdSp', 'ZA']"
14,Kakuna,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'UsUm', 'BdSp', 'ZA']"
15,Beedrill,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'UsUm', 'BdSp', 'ZA']"
16,Pidgey,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'BW', 'XY', 'OrAs', 'UsUm', 'BdSp', 'ZA']"
17,Pidgeotto,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'BW', 'XY', 'OrAs', 'UsUm', 'BdSp', 'ZA']"
18,Pidgeot,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'BW', 'XY', 'OrAs', 'UsUm', 'BdSp', 'ZA']"
