National_Dex,Pokemon,Obtainability
1,Bulbasaur,False
2,Ivysaur,False
3,Venusaur,False
4,Charmander,False
5,Charmeleon,False
6,Charizard,False
7,Squirtle,False
8,Wartortle,False
9,Blastoise,False
10,Caterpie,False
11,Metapod,False
12,Butterfree,False
21,Spearow,False
22,Fearow,False
23,Ekans,False
24,Arbok,False
29,Nidoran♀,False
30,Nidorina,False
31,Nidoqueen,False
32,Nidoran♂,False
33,Nidorino,False
34,Nidoking,False
60,Poliwag,False
61,Poliwhirl,False
62,Poliwrath,False
69,Bellsprout,False
70,Weepinbell,False
71,Victreebel,False
83,Farfetch'd,False
90,Shellder,False
91,Cloyster,False
92,Gastly,False
93,Haunter,False
94,Gengar,False
102,Exeggcute,False
103,Exeggutor,False
104,Cubone,False
105,Marowak,False
108,Lickitung,False
115,Kangaskhan,False
122,Mr. Mime,False
123,Scyther,False
124,Jynx,False
128,Tauros,False
131,Lapras,False
143,Snorlax,False
144,Articuno,False
145,Zapdos,False
146,Moltres,False
147,Dratini,False
148,Dragonair,False
149,Dragonite,False
161,Sentret,False
162,Furret,False
163,Hoothoot,False
164,Noctowl,False
165,Ledyba,False
166,Ledian,False
179,Mareep,False
180,Flaaffy,False
181,Ampharos,False
185,Sudowoodo,False
186,Politoed,False
187,Hoppip,False
188,Skiploom,False
189,Jumpluff,False
193,Yanma,False
194,Wooper,False
195,Quagsire,False
206,Dunsparce,False
207,Gligar,False
209,Snubbull,False
210,Granbull,False
211,Qwilfish,False
212,Scizor,False
213,Shuckle,False
215,Sneasel,False
216,Teddiursa,False
217,Ursaring,False
220,Swinub,False
221,Piloswine,False
228,Houndour,False
229,Houndoom,False
235,Smeargle,False
238,Smoochum,False
241,Miltank,False
246,Larvitar,False
247,Pupitar,False
248,Tyranitar,False
396,Starly,False
397,Staravia,False
398,Staraptor,False
399,Bidoof,False
400,Bibarel,False
412,Burmy,False
413,Wormadam,False
414,Mothim,False
415,Combee,False
416,Vespiquen,False
417,Pachirisu,False
418,Buizel,False
419,Floatzel,False
434,Stunky,False
435,Skuntank,False
438,Bonsly,False
439,Mime Jr.,False
446,Munchlax,False
447,Riolu,False
448,Lucario,False
449,Hippopotas,False
450,Hippowdon,False
453,Croagunk,False
454,Toxicroak,False
455,Carnivine,False
459,Snover,False
460,Abomasnow,False
461,Weavile,False
463,Lickilicky,False
469,Yanmega,False
472,Gliscor,False
473,Mamoswine,False
479,Rotom,False
504,Patrat,False
505,Watchog,False
509,Purrloin,False
510,Liepard,False
511,Pansage,False
512,Simisage,False
513,Pansear,False
514,Simisear,False
515,Panpour,False
516,Simipour,False
527,Woobat,False
528,Swoobat,False
543,Venipede,False
544,Whirlipede,False
545,Scolipede,False
550,Basculin,False
561,Sigilyph,False
577,Solosis,False
578,Duosion,False
579,Reuniclus,False
580,Ducklett,False
581,Swanna,False
582,Vanillite,False
583,Vanillish,False
584,Vanilluxe,False
587,Emolga,False
588,Karrablast,False
589,Escavalier,False
590,Foongus,False
591,Amoonguss,False
597,Ferroseed,False
598,Ferrothorn,False
607,Litwick,False
608,Lampent,False
609,Chandelure,False
615,Cryogonal,False
616,Shelmet,False
617,Accelgor,False
618,Stunfisk,False
619,Mienfoo,False
620,Mienshao,False
622,Golett,False
623,Golurk,False
624,Pawniard,False
625,Bisharp,False
631,Heatmor,False
632,Durant,False
650,Chespin,False
651,Quilladin,False
652,Chesnaught,False
653,Fennekin,False
654,Braixen,False
655,Delphox,False
656,Froakie,False
657,Frogadier,False
658,Greninja,False
659,Bunnelby,False
660,Diggersby,False
661,Fletchling,False
662,Fletchinder,False
663,Talonflame,False
664,Scatterbug,False
665,Spewpa,False
666,Vivillon,False
667,Litleo,False
668,Pyroar,False
669,Flabébé,False
670,Floette,False
671,Florges,False
672,Skiddo,False
673,Gogoat,False
674,Pancham,False
675,Pangoro,False
676,Furfrou,False
677,Espurr,False
678,Meowstic,False
679,Honedge,False
680,Doublade,False
681,Aegislash,False
682,Spritzee,False
683,Aromatisse,False
684,Swirlix,False
685,Slurpuff,False
686,Inkay,False
687,Malamar,False
694,Helioptile,False
695,Heliolisk,False
696,Tyrunt,False
697,Tyrantrum,False
698,Amaura,False
699,Aurorus,False
701,Hawlucha,False
702,Dedenne,False
703,Carbink,False
704,Goomy,False
705,Sliggoo,False
706,Goodra,False
710,Pumpkaboo,False
711,Gourgeist,False
712,Bergmite,False
713,Avalugg,False
714,Noibat,False
715,Noivern,False
