Regional Dex #,National_Dex,Pokemon,Dex
1,0906,Sprigatito,Paldea
2,0907,Floragato,Paldea
3,0908,Meowscarada,Paldea
4,0909,Fuecoco,Paldea
5,0910,Crocalor,Paldea
6,0911,Skeledirge,Paldea
7,0912,Quaxly,Paldea
8,0913,Quaxwell,Paldea
9,0914,Quaquaval,Paldea
10,0915,Lechonk,Paldea
11,0916,Oinkologne,Paldea
12,0917,Tarountula,Paldea
13,0918,Spidops,Paldea
14,0919,Nymble,Paldea
15,0920,Lokix,Paldea
16,0187,Hoppip,Paldea
17,0188,Skiploom,Paldea
18,0189,Jumpluff,Paldea
19,0661,Fletchling,Paldea
20,0662,Fletchinder,Paldea
21,0663,Talonflame,Paldea
22,0921,Pawmi,Paldea
23,0922,Pawmo,Paldea
24,0923,Pawmot,Paldea
25,0228,Houndour,Paldea
26,0229,Houndoom,Paldea
27,0734,Yungoos,Paldea
28,0735,Gumshoos,Paldea
29,0819,Skwovet,Paldea
30,0820,Greedent,Paldea
31,0191,Sunkern,Paldea
32,0192,Sunflora,Paldea
33,0401,Kricketot,Paldea
34,0402,Kricketune,Paldea
35,0664,Scatterbug,Paldea
36,0665,Spewpa,Paldea
37,0666,Vivillon,Paldea
38,0415,Combee,Paldea
39,0416,Vespiquen,Paldea
40,0821,Rookidee,Paldea
41,0822,Corvisquire,Paldea
42,0823,Corviknight,Paldea
43,0440,Happiny,Paldea
44,0113,Chansey,Paldea
45,0242,Blissey,Paldea
46,0298,Azurill,Paldea
47,0183,Marill,Paldea
48,0184,Azumarill,Paldea
49,0283,Surskit,Paldea
50,0284,Masquerain,Paldea
51,0418,Buizel,Paldea
52,0419,Floatzel,Paldea
53,0194,Wooper,Paldea
54,0980,Clodsire,Paldea
55,0054,Psyduck,Paldea
56,0055,Golduck,Paldea
57,0833,Chewtle,Paldea
58,0834,Drednaw,Paldea
59,0174,Igglybuff,Paldea
60,0039,Jigglypuff,Paldea
61,0040,Wigglytuff,Paldea
