National_Dex, Pokemon                     , Form               , Obtainability, Series
         001, Bulbasaur                   ,                    , True         , SV
         002, Ivysaur                     ,                    , True         , SV
         003, Venusaur                    ,                    , True         , SV
         004, Charmander                  ,                    , True         , SV
         005, Charmeleon                  ,                    , True         , SV
         006, Charizard                   ,                    , True         , SV
         007, Squirtle                    ,                    , True         , SV
         008, Wartortle                   ,                    , True         , SV
         009, Blastoise                   ,                    , True         , SV
         023, Ekans                       ,                    , True         , SV
         024, Arbok                       ,                    , True         , SV
         025, Pikachu                     ,                    , True         , SV
         026, Raichu                      ,                    , True         , SV
          26, Raichu                      , Alolan             , True         , SV
         027, Sandshrew                   ,                    , True         , SV
          27, Sandshrew                   , Alolan             , True         , SV
         028, Sandslash                   ,                    , True         , SV
          28, Sandslash                   , Alolan             , True         , SV
         035, Clefairy                    ,                    , True         , SV
         036, Clefable                    ,                    , True         , SV
         037, Vulpix                      ,                    , True         , SV
          37, Vulpix                      , Alolan             , True         , SV
         038, Ninetales                   ,                    , True         , SV
          38, Ninetales                   , Alolan             , True         , SV
         039, Jigglypuff                  ,                    , True         , SV
         040, Wigglytuff                  ,                    , True         , SV
         043, Oddish                      ,                    , True         , SV
         044, Gloom                       ,                    , True         , SV
         045, Vileplume                   ,                    , True         , SV
         048, Venonat                     ,                    , True         , SV
         049, Venomoth                    ,                    , True         , SV
         050, Diglett                     ,                    , True         , SV
          50, Diglett                     , Alolan             , True         , SV
         051, Dugtrio                     ,                    , True         , SV
          51, Dugtrio                     , Alolan             , True         , SV
         052, Meowth                      ,                    , True         , SV
          52, Meowth                      , Alolan             , True         , SV
          52, Meowth                      , Galarian           , True         , SV
         053, Persian                     ,                    , True         , SV
          53, Persian                     , Alolan             , True         , SV
         054, Psyduck                     ,                    , True         , SV
         055, Golduck                     ,                    , True         , SV
         056, Mankey                      ,                    , True         , SV
         057, Primeape                    ,                    , True         , SV
         058, Growlithe                   ,                    , True         , SV
          58, Growlithe                   , Hisuian            , True         , SV
         059, Arcanine                    ,                    , True         , SV
          59, Arcanine                    , Hisuian            , True         , SV
         060, Poliwag                     ,                    , True         , SV
         061, Poliwhirl                   ,                    , True         , SV
         062, Poliwrath                   ,                    , True         , SV
         069, Bellsprout                  ,                    , True         , SV
         070, Weepinbell                  ,                    , True         , SV
         071, Victreebel                  ,                    , True         , SV
         072, Tentacool                   ,                    , True         , SV
         073, Tentacruel                  ,                    , True         , SV
         074, Geodude                     ,                    , True         , SV
          74, Geodude                     , Alolan             , True         , SV
         075, Graveler                    ,                    , True         , SV
          75, Graveler                    , Alolan             , True         , SV
         076, Golem                       ,                    , True         , SV
          76, Golem                       , Alolan             , True         , SV
         079, Slowpoke                    ,                    , True         , SV
          79, Slowpoke                    , Galarian           , True         , SV
         080, Slowbro                     ,                    , True         , SV
          80, Slowbro                     , Galarian           , True         , SV
         081, Magnemite                   ,                    , True         , SV
         082, Magneton                    ,                    , True         , SV
         084, Doduo                       ,                    , True         , SV
         085, Dodrio                      ,                    , True         , SV
         086, Seel                        ,                    , True         , SV
         087, Dewgong                     ,                    , True         , SV
         088, Grimer                      ,                    , True         , SV
          88, Grimer                      , Alolan             , True         , SV
         089, Muk                         ,                    , True         , SV
          89, Muk                         , Alolan             , True         , SV
         090, Shellder                    ,                    , True         , SV
         091, Cloyster                    ,                    , True         , SV
         092, Gastly                      ,                    , True         , SV
         093, Haunter                     ,                    , True         , SV
         094, Gengar                      ,                    , True         , SV
         096, Drowzee                     ,                    , True         , SV
         097, Hypno                       ,                    , True         , SV
         100, Voltorb                     ,                    , True         , SV
         100, Voltorb                     , Hisuian            , True         , SV
         101, Electrode                   ,                    , True         , SV
         101, Electrode                   , Hisuian            , True         , SV
         102, Exeggcute                   ,                    , True         , SV
         103, Exeggutor                   ,                    , True         , SV
         103, Exeggutor                   , Alolan             , True         , SV
         106, Hitmonlee                   ,                    , True         , SV
         107, Hitmonchan                  ,                    , True         , SV
         109, Koffing                     ,                    , True         , SV
         110, Weezing                     ,                    , True         , SV
         110, Weezing                     , Galarian           , True         , SV
         111, Rhyhorn                     ,                    , True         , SV
         112, Rhydon                      ,                    , True         , SV
         113, Chansey                     ,                    , True         , SV
         116, Horsea                      ,                    , True         , SV
         117, Seadra                      ,                    , True         , SV
         123, Scyther                     ,                    , True         , SV
         125, Electabuzz                  ,                    , True         , SV
         126, Magmar                      ,                    , True         , SV
         128, Tauros                      ,                    , True         , SV
         128, Tauros      , Paldean            , True         , SV
         128, Tauros, Blaze Breed, True         , SV
         128, Tauros, Aqua Breed            , True         , SV
         129, Magikarp                    ,                    , True         , SV
         130, Gyarados                    ,                    , True         , SV
         131, Lapras                      ,                    , True         , SV
         132, Ditto                       ,                    , True         , SV
         133, Eevee                       ,                    , True         , SV
         134, Vaporeon                    ,                    , True         , SV
         135, Jolteon                     ,                    , True         , SV
         136, Flareon                     ,                    , True         , SV
         137, Porygon                     ,                    , True         , SV
         143, Snorlax                     ,                    , True         , SV
         144, Articuno                    ,                    , True         , SV
         144, Articuno                    , Galarian           , True         , SV
         145, Zapdos                      ,                    , True         , SV
         145, Zapdos                      , Galarian           , True         , SV
         146, Moltres                     ,                    , True         , SV
         146, Moltres                     , Galarian           , True         , SV
         147, Dratini                     ,                    , True         , SV
         148, Dragonair                   ,                    , True         , SV
         149, Dragonite                   ,                    , True         , SV
         150, Mewtwo                      ,                    , True         , SV
         151, Mew                         ,                    , True         , SV
         152, Chikorita                   ,                    , True         , SV
         153, Bayleef                     ,                    , True         , SV
         154, Meganium                    ,                    , True         , SV
         155, Cyndaquil                   ,                    , True         , SV
         156, Quilava                     ,                    , True         , SV
         157, Typhlosion                  ,                    , True         , SV
         157, Typhlosion                  , Hisuian            , True         , SV
         158, Totodile                    ,                    , True         , SV
         159, Croconaw                    ,                    , True         , SV
         160, Feraligatr                  ,                    , True         , SV
         161, Sentret                     ,                    , True         , SV
         162, Furret                      ,                    , True         , SV
         163, Hoothoot                    ,                    , True         , SV
         164, Noctowl                     ,                    , True         , SV
         167, Spinarak                    ,                    , True         , SV
         168, Ariados                     ,                    , True         , SV
         170, Chinchou                    ,                    , True         , SV
         171, Lanturn                     ,                    , True         , SV
         172, Pichu                       ,                    , True         , SV
         173, Cleffa                      ,                    , True         , SV
         174, Igglybuff                   ,                    , True         , SV
         179, Mareep                      ,                    , True         , SV
         180, Flaaffy                     ,                    , True         , SV
         181, Ampharos                    ,                    , True         , SV
         182, Bellossom                   ,                    , True         , SV
         183, Marill                      ,                    , True         , SV
         184, Azumarill                   ,                    , True         , SV
         185, Sudowoodo                   ,                    , True         , SV
         186, Politoed                    ,                    , True         , SV
         187, Hoppip                      ,                    , True         , SV
         188, Skiploom                    ,                    , True         , SV
         189, Jumpluff                    ,                    , True         , SV
         190, Aipom                       ,                    , True         , SV
         191, Sunkern                     ,                    , True         , SV
         192, Sunflora                    ,                    , True         , SV
         193, Yanma                       ,                    , True         , SV
         194, Wooper                      ,                    , True         , SV
         194, Wooper                      , Paldean            , True         , SV
         195, Quagsire                    ,                    , True         , SV
         196, Espeon                      ,                    , True         , SV
         197, Umbreon                     ,                    , True         , SV
         198, Murkrow                     ,                    , True         , SV
         199, Slowking                    ,                    , True         , SV
         199, Slowking                    , Galarian           , True         , SV
         200, Misdreavus                  ,                    , True         , SV
         203, Girafarig                   ,                    , True         , SV
         204, Pineco                      ,                    , True         , SV
         205, Forretress                  ,                    , True         , SV
         206, Dunsparce                   ,                    , True         , SV
         207, Gligar                      ,                    , True         , SV
         209, Snubbull                    ,                    , True         , SV
         210, Granbull                    ,                    , True         , SV
         211, Qwilfish                    ,                    , True         , SV
         211, Qwilfish                    , Hisuian            , True         , SV
         212, Scizor                      ,                    , True         , SV
         214, Heracross                   ,                    , True         , SV
         215, Sneasel                     ,                    , True         , SV
         215, Sneasel                     , Hisuian            , True         , SV
         216, Teddiursa                   ,                    , True         , SV
         217, Ursaring                    ,                    , True         , SV
         218, Slugma                      ,                    , True         , SV
         219, Magcargo                    ,                    , True         , SV
         220, Swinub                      ,                    , True         , SV
         221, Piloswine                   ,                    , True         , SV
         225, Delibird                    ,                    , True         , SV
         227, Skarmory                    ,                    , True         , SV
         228, Houndour                    ,                    , True         , SV
         229, Houndoom                    ,                    , True         , SV
         230, Kingdra                     ,                    , True         , SV
         231, Phanpy                      ,                    , True         , SV
         232, Donphan                     ,                    , True         , SV
