Regional Dex #,National_Dex,Pokemon,Dex
1,0387,Turtwig,Sinnoh (BdSp)
2,0388,Grotle,Sinnoh (BdSp)
3,0389,Torterra,Sinnoh (BdSp)
4,0390,Chimchar,Sinnoh (BdSp)
5,0391,Monferno,Sinnoh (BdSp)
6,0392,Infernape,Sinnoh (BdSp)
7,0393,Piplup,Sinnoh (BdSp)
8,0394,Prinplup,Sinnoh (BdSp)
9,0395,Empoleon,Sinnoh (BdSp)
10,0396,Starly,Sinnoh (BdSp)
11,0397,Staravia,Sinnoh (BdSp)
12,0398,Staraptor,Sinnoh (BdSp)
13,0399,Bidoof,Sinnoh (BdSp)
14,0400,Bibarel,Sinnoh (BdSp)
15,0401,Kricketot,Sinnoh (BdSp)
16,0402,Kricketune,Sinnoh (BdSp)
17,0403,Shinx,Sinnoh (BdSp)
18,0404,Luxio,Sinnoh (BdSp)
19,0405,Luxray,Sinnoh (BdSp)
20,0063,Abra,Sinnoh (BdSp)
21,0064,Kadabra,Sinnoh (BdSp)
22,0065,Alakazam,Sinnoh (BdSp)
23,0129,Magikarp,Sinnoh (BdSp)
24,0130,Gyarados,Sinnoh (BdSp)
25,0406,Budew,Sinnoh (BdSp)
26,0315,Roselia,Sinnoh (BdSp)
27,0407,Roserade,Sinnoh (BdSp)
28,0041,Zubat,Sinnoh (BdSp)
29,0042,Golbat,Sinnoh (BdSp)
30,0169,Crobat,Sinnoh (BdSp)
31,0074,Geodude,Sinnoh (BdSp)
32,0075,Graveler,Sinnoh (BdSp)
33,0076,Golem,Sinnoh (BdSp)
34,0095,Onix,Sinnoh (BdSp)
35,0208,Steelix,Sinnoh (BdSp)
36,0408,Cranidos,Sinnoh (BdSp)
37,0409,Rampardos,Sinnoh (BdSp)
38,0410,Shieldon,Sinnoh (BdSp)
39,0411,Bastiodon,Sinnoh (BdSp)
40,0066,Machop,Sinnoh (BdSp)
41,0067,Machoke,Sinnoh (BdSp)
42,0068,Machamp,Sinnoh (BdSp)
43,0054,Psyduck,Sinnoh (BdSp)
44,0055,Golduck,Sinnoh (BdSp)
45,0412,Burmy,Sinnoh (BdSp)
46,0413,Wormadam,Sinnoh (BdSp)
47,0414,Mothim,Sinnoh (BdSp)
48,0265,Wurmple,Sinnoh (BdSp)
49,0266,Silcoon,Sinnoh (BdSp)
50,0267,Beautifly,Sinnoh (BdSp)
51,0268,Cascoon,Sinnoh (BdSp)
52,0269,Dustox,Sinnoh (BdSp)
53,0415,Combee,Sinnoh (BdSp)
54,0416,Vespiquen,Sinnoh (BdSp)
55,0417,Pachirisu,Sinnoh (BdSp)
56,0418,Buizel,Sinnoh (BdSp)
57,0419,Floatzel,Sinnoh (BdSp)
58,0420,Cherubi,Sinnoh (BdSp)
59,0421,Cherrim,Sinnoh (BdSp)
60,0422,Shellos,Sinnoh (BdSp)
61,0423,Gastrodon,Sinnoh (BdSp)
62,0214,Heracross,Sinnoh (BdSp)
63,0190,Aipom,Sinnoh (BdSp)
64,0424,Ambipom,Sinnoh (BdSp)
65,0425,Drifloon,Sinnoh (BdSp)
66,0426,Drifblim,Sinnoh (BdSp)
67,0427,Buneary,Sinnoh (BdSp)
68,0428,Lopunny,Sinnoh (BdSp)
69,0092,Gastly,Sinnoh (BdSp)
70,0093,Haunter,Sinnoh (BdSp)
71,0094,Gengar,Sinnoh (BdSp)
72,0200,Misdreavus,Sinnoh (BdSp)
73,0429,Mismagius,Sinnoh (BdSp)
74,0198,Murkrow,Sinnoh (BdSp)
75,0430,Honchkrow,Sinnoh (BdSp)
76,0431,Glameow,Sinnoh (BdSp)
77,0432,Purugly,Sinnoh (BdSp)
78,0118,Goldeen,Sinnoh (BdSp)
79,0119,Seaking,Sinnoh (BdSp)
80,0339,Barboach,Sinnoh (BdSp)
81,0340,Whiscash,Sinnoh (BdSp)
82,0433,Chingling,Sinnoh (BdSp)
83,0358,Chimecho,Sinnoh (BdSp)
84,0434,Stunky,Sinnoh (BdSp)
85,0435,Skuntank,Sinnoh (BdSp)
86,0307,Meditite,Sinnoh (BdSp)
87,0308,Medicham,Sinnoh (BdSp)
88,0436,Bronzor,Sinnoh (BdSp)
89,0437,Bronzong,Sinnoh (BdSp)
90,0077,Ponyta,Sinnoh (BdSp)
91,0078,Rapidash,Sinnoh (BdSp)
92,0438,Bonsly,Sinnoh (BdSp)
93,0185,Sudowoodo,Sinnoh (BdSp)
94,0439,Mime Jr.,Sinnoh (BdSp)
95,0122,Mr. Mime,Sinnoh (BdSp)
96,0440,Happiny,Sinnoh (BdSp)
97,0113,Chansey,Sinnoh (BdSp)
98,0242,Blissey,Sinnoh (BdSp)
99,0173,Cleffa,Sinnoh (BdSp)
100,0035,Clefairy,Sinnoh (BdSp)
101,0036,Clefable,Sinnoh (BdSp)
102,0441,Chatot,Sinnoh (BdSp)
103,0172,Pichu,Sinnoh (BdSp)
104,0025,Pikachu,Sinnoh (BdSp)
105,0026,Raichu,Sinnoh (BdSp)
106,0163,Hoothoot,Sinnoh (BdSp)
107,0164,Noctowl,Sinnoh (BdSp)
108,0442,Spiritomb,Sinnoh (BdSp)
109,0443,Gible,Sinnoh (BdSp)
110,0444,Gabite,Sinnoh (BdSp)
111,0445,Garchomp,Sinnoh (BdSp)
112,0446,Munchlax,Sinnoh (BdSp)
113,0143,Snorlax,Sinnoh (BdSp)
114,0201,Unown,Sinnoh (BdSp)
115,0447,Riolu,Sinnoh (BdSp)
116,0448,Lucario,Sinnoh (BdSp)
117,0194,Wooper,Sinnoh (BdSp)
118,0195,Quagsire,Sinnoh (BdSp)
119,0278,Wingull,Sinnoh (BdSp)
120,0279,Pelipper,Sinnoh (BdSp)
121,0203,Girafarig,Sinnoh (BdSp)
122,0449,Hippopotas,Sinnoh (BdSp)
123,0450,Hippowdon,Sinnoh (BdSp)
124,0298,Azurill,Sinnoh (BdSp)
125,0183,Marill,Sinnoh (BdSp)
126,0184,Azumarill,Sinnoh (BdSp)
127,0451,Skorupi,Sinnoh (BdSp)
128,0452,Drapion,Sinnoh (BdSp)
129,0453,Croagunk,Sinnoh (BdSp)
130,0454,Toxicroak,Sinnoh (BdSp)
131,0455,Carnivine,Sinnoh (BdSp)
132,0223,Remoraid,Sinnoh (BdSp)
133,0224,Octillery,Sinnoh (BdSp)
134,0456,Finneon,Sinnoh (BdSp)
135,0457,Lumineon,Sinnoh (BdSp)
136,0072,Tentacool,Sinnoh (BdSp)
137,0073,Tentacruel,Sinnoh (BdSp)
138,0349,Feebas,Sinnoh (BdSp)
139,0350,Milotic,Sinnoh (BdSp)
140,0458,Mantyke,Sinnoh (BdSp)
141,0226,Mantine,Sinnoh (BdSp)
142,0459,Snover,Sinnoh (BdSp)
143,0460,Abomasnow,Sinnoh (BdSp)
144,0215,Sneasel,Sinnoh (BdSp)
145,0461,Weavile,Sinnoh (BdSp)
146,0480,Uxie,Sinnoh (BdSp)
147,0481,Mesprit,Sinnoh (BdSp)
148,0482,Azelf,Sinnoh (BdSp)
149,0483,Dialga,Sinnoh (BdSp)
150,0484,Palkia,Sinnoh (BdSp)
151,0490,Manaphy,Sinnoh (BdSp)
