Regional Dex #,National_Dex,Pokemon,Dex
1,0387,Turtwig,Sinnoh (DP)
2,0388,Grotle,Sinnoh (DP)
3,0389,Torterra,Sinnoh (DP)
4,0390,Chimchar,Sinnoh (DP)
5,0391,Monferno,Sinnoh (DP)
6,0392,Infernape,Sinnoh (DP)
7,0393,Piplup,Sinnoh (DP)
8,0394,Prinplup,Sinnoh (DP)
9,0395,Empoleon,Sinnoh (DP)
10,0396,Starly,Sinnoh (DP)
11,0397,Staravia,Sinnoh (DP)
12,0398,Staraptor,Sinnoh (DP)
13,0399,Bidoof,Sinnoh (DP)
14,0400,Bibarel,Sinnoh (DP)
15,0401,Kricketot,Sinnoh (DP)
16,0402,Kricketune,Sinnoh (DP)
17,0403,Shinx,Sinnoh (DP)
18,0404,Luxio,Sinnoh (DP)
19,0405,Luxray,Sinnoh (DP)
20,0063,Abra,Sinnoh (DP)
21,0064,Kadabra,Sinnoh (DP)
22,0065,Alakazam,Sinnoh (DP)
23,0129,Magikarp,Sinnoh (DP)
24,0130,Gyarados,Sinnoh (DP)
25,0406,Budew,Sinnoh (DP)
26,0315,Roselia,Sinnoh (DP)
27,0407,Roserade,Sinnoh (DP)
28,0041,Zubat,Sinnoh (DP)
29,0042,Golbat,Sinnoh (DP)
30,0169,Crobat,Sinnoh (DP)
31,0074,Geodude,Sinnoh (DP)
32,0075,Graveler,Sinnoh (DP)
33,0076,Golem,Sinnoh (DP)
34,0095,Onix,Sinnoh (DP)
35,0208,Steelix,Sinnoh (DP)
36,0408,Cranidos,Sinnoh (DP)
37,0409,Rampardos,Sinnoh (DP)
38,0410,Shieldon,Sinnoh (DP)
39,0411,Bastiodon,Sinnoh (DP)
40,0066,Machop,Sinnoh (DP)
41,0067,Machoke,Sinnoh (DP)
42,0068,Machamp,Sinnoh (DP)
43,0054,Psyduck,Sinnoh (DP)
44,0055,Golduck,Sinnoh (DP)
45,0412,Burmy,Sinnoh (DP)
46,0413,Wormadam,Sinnoh (DP)
47,0414,Mothim,Sinnoh (DP)
48,0265,Wurmple,Sinnoh (DP)
49,0266,Silcoon,Sinnoh (DP)
50,0267,Beautifly,Sinnoh (DP)
51,0268,Cascoon,Sinnoh (DP)
52,0269,Dustox,Sinnoh (DP)
53,0415,Combee,Sinnoh (DP)
54,0416,Vespiquen,Sinnoh (DP)
55,0417,Pachirisu,Sinnoh (DP)
56,0418,Buizel,Sinnoh (DP)
57,0419,Floatzel,Sinnoh (DP)
58,0420,Cherubi,Sinnoh (DP)
59,0421,Cherrim,Sinnoh (DP)
60,0422,Shellos,Sinnoh (DP)
61,0423,Gastrodon,Sinnoh (DP)
62,0214,Heracross,Sinnoh (DP)
63,0190,Aipom,Sinnoh (DP)
64,0424,Ambipom,Sinnoh (DP)
65,0425,Drifloon,Sinnoh (DP)
66,0426,Drifblim,Sinnoh (DP)
67,0427,Buneary,Sinnoh (DP)
68,0428,Lopunny,Sinnoh (DP)
69,0092,Gastly,Sinnoh (DP)
70,0093,Haunter,Sinnoh (DP)
71,0094,Gengar,Sinnoh (DP)
72,0200,Misdreavus,Sinnoh (DP)
73,0429,Mismagius,Sinnoh (DP)
74,0198,Murkrow,Sinnoh (DP)
75,0430,Honchkrow,Sinnoh (DP)
76,0431,Glameow,Sinnoh (DP)
77,0432,Purugly,Sinnoh (DP)
78,0118,Goldeen,Sinnoh (DP)
79,0119,Seaking,Sinnoh (DP)
80,0339,Barboach,Sinnoh (DP)
81,0340,Whiscash,Sinnoh (DP)
82,0433,Chingling,Sinnoh (DP)
83,0358,Chimecho,Sinnoh (DP)
84,0434,Stunky,Sinnoh (DP)
85,0435,Skuntank,Sinnoh (DP)
86,0307,Meditite,Sinnoh (DP)
87,0308,Medicham,Sinnoh (DP)
88,0436,Bronzor,Sinnoh (DP)
89,0437,Bronzong,Sinnoh (DP)
90,0077,Ponyta,Sinnoh (DP)
91,0078,Rapidash,Sinnoh (DP)
92,0438,Bonsly,Sinnoh (DP)
93,0185,Sudowoodo,Sinnoh (DP)
94,0439,Mime Jr.,Sinnoh (DP)
95,0122,Mr. Mime,Sinnoh (DP)
96,0440,Happiny,Sinnoh (DP)
97,0113,Chansey,Sinnoh (DP)
98,0242,Blissey,Sinnoh (DP)
99,0173,Cleffa,Sinnoh (DP)
100,0035,Clefairy,Sinnoh (DP)
101,0036,Clefable,Sinnoh (DP)
102,0441,Chatot,Sinnoh (DP)
103,0172,Pichu,Sinnoh (DP)
104,0025,Pikachu,Sinnoh (DP)
105,0026,Raichu,Sinnoh (DP)
