Regional Dex #,National_Dex,Pokemon,Dex
0,0494,Victini,Unova (BW)
1,0495,Snivy,Unova (BW)
2,0496,Servine,Unova (BW)
3,0497,Serperior,Unova (BW)
4,0498,Tepig,Unova (BW)
5,0499,Pignite,Unova (BW)
6,0500,Emboar,Unova (BW)
7,0501,Oshawott,Unova (BW)
8,0502,Dewott,Unova (BW)
9,0503,Samurott,Unova (BW)
10,0504,Patrat,Unova (BW)
11,0505,Watchog,Unova (BW)
12,0506,Lillipup,Unova (BW)
13,0507,Herdier,Unova (BW)
14,0508,Stoutland,Unova (BW)
15,0509,Purrloin,Unova (BW)
16,0510,Liepard,Unova (BW)
17,0511,Pansage,Unova (BW)
18,0512,Simisage,Unova (BW)
19,0513,Pansear,Unova (BW)
20,0514,Simisear,Unova (BW)
21,0515,Panpour,Unova (BW)
22,0516,Simipour,Unova (BW)
23,0517,Munna,Unova (BW)
24,0518,Musharna,Unova (BW)
25,0519,Pidove,Unova (BW)
26,0520,Tranquill,Unova (BW)
27,0521,Unfezant,Unova (BW)
28,0522,Blitzle,Unova (BW)
29,0523,Zebstrika,Unova (BW)
30,0524,Roggenrola,Unova (BW)
31,0525,Boldore,Unova (BW)
32,0526,Gigalith,Unova (BW)
33,0527,Woobat,Unova (BW)
34,0528,Swoobat,Unova (BW)
35,0529,Drilbur,Unova (BW)
36,0530,Excadrill,Unova (BW)
37,0531,Audino,Unova (BW)
38,0532,Timburr,Unova (BW)
39,0533,Gurdurr,Unova (BW)
40,0534,Conkeldurr,Unova (BW)
41,0535,Tympole,Unova (BW)
42,0536,Palpitoad,Unova (BW)
43,0537,Seismitoad,Unova (BW)
44,0538,Throh,Unova (BW)
45,0539,Sawk,Unova (BW)
46,0540,Sewaddle,Unova (BW)
47,0541,Swadloon,Unova (BW)
48,0542,Leavanny,Unova (BW)
49,0543,Venipede,Unova (BW)
50,0544,Whirlipede,Unova (BW)
51,0545,Scolipede,Unova (BW)
52,0546,Cottonee,Unova (BW)
53,0547,Whimsicott,Unova (BW)
54,0548,Petilil,Unova (BW)
55,0549,Lilligant,Unova (BW)
56,0550,Basculin,Unova (BW)
57,0551,Sandile,Unova (BW)
58,0552,Krokorok,Unova (BW)
59,0553,Krookodile,Unova (BW)
60,0554,Darumaka,Unova (BW)
61,0555,Darmanitan,Unova (BW)
62,0556,Maractus,Unova (BW)
63,0557,Dwebble,Unova (BW)
64,0558,Crustle,Unova (BW)
65,0559,Scraggy,Unova (BW)
66,0560,Scrafty,Unova (BW)
67,0561,Sigilyph,Unova (BW)
68,0562,Yamask,Unova (BW)
69,0563,Cofagrigus,Unova (BW)
70,0564,Tirtouga,Unova (BW)
71,0565,Carracosta,Unova (BW)
72,0566,Archen,Unova (BW)
73,0567,Archeops,Unova (BW)
74,0568,Trubbish,Unova (BW)
75,0569,Garbodor,Unova (BW)
76,0570,Zorua,Unova (BW)
77,0571,Zoroark,Unova (BW)
78,0572,Minccino,Unova (BW)
79,0573,Cinccino,Unova (BW)
80,0574,Gothita,Unova (BW)
81,0575,Gothorita,Unova (BW)
82,0576,Gothitelle,Unova (BW)
83,0577,Solosis,Unova (BW)
84,0578,Duosion,Unova (BW)
85,0579,Reuniclus,Unova (BW)
86,0580,Ducklett,Unova (BW)
87,0581,Swanna,Unova (BW)
88,0582,Vanillite,Unova (BW)
89,0583,Vanillish,Unova (BW)
90,0584,Vanilluxe,Unova (BW)
91,0585,Deerling,Unova (BW)
92,0586,Sawsbuck,Unova (BW)
93,0587,Emolga,Unova (BW)
94,0588,Karrablast,Unova (BW)
95,0589,Escavalier,Unova (BW)
96,0590,Foongus,Unova (BW)
97,0591,Amoonguss,Unova (BW)
98,0592,Frillish,Unova (BW)
99,0593,Jellicent,Unova (BW)
100,0594,Alomomola,Unova (BW)
101,0595,Joltik,Unova (BW)
102,0596,Galvantula,Unova (BW)
103,0597,Ferroseed,Unova (BW)
104,0598,Ferrothorn,Unova (BW)
105,0599,Klink,Unova (BW)
106,0600,Klang,Unova (BW)
107,0601,Klinklang,Unova (BW)
108,0602,Tynamo,Unova (BW)
109,0603,Eelektrik,Unova (BW)
110,0604,Eelektross,Unova (BW)
111,0605,Elgyem,Unova (BW)
112,0606,Beheeyem,Unova (BW)
113,0607,Litwick,Unova (BW)
114,0608,Lampent,Unova (BW)
115,0609,Chandelure,Unova (BW)
116,0610,Axew,Unova (BW)
117,0611,Fraxure,Unova (BW)
118,0612,Haxorus,Unova (BW)
119,0613,Cubchoo,Unova (BW)
120,0614,Beartic,Unova (BW)
121,0615,Cryogonal,Unova (BW)
122,0616,Shelmet,Unova (BW)
123,0617,Accelgor,Unova (BW)
124,0618,Stunfisk,Unova (BW)
125,0619,Mienfoo,Unova (BW)
126,0620,Mienshao,Unova (BW)
127,0621,Druddigon,Unova (BW)
128,0622,Golett,Unova (BW)
129,0623,Golurk,Unova (BW)
130,0624,Pawniard,Unova (BW)
131,0625,Bisharp,Unova (BW)
132,0626,Bouffalant,Unova (BW)
133,0627,Rufflet,Unova (BW)
134,0628,Braviary,Unova (BW)
135,0629,Vullaby,Unova (BW)
136,0630,Mandibuzz,Unova (BW)
137,0631,Heatmor,Unova (BW)
138,0632,Durant,Unova (BW)
139,0633,Deino,Unova (BW)
140,0634,Zweilous,Unova (BW)
141,0635,Hydreigon,Unova (BW)
142,0636,Larvesta,Unova (BW)
143,0637,Volcarona,Unova (BW)
144,0638,Cobalion,Unova (BW)
145,0639,Terrakion,Unova (BW)
146,0640,Virizion,Unova (BW)
147,0641,Tornadus,Unova (BW)
148,0642,Thundurus,Unova (BW)
149,0643,Reshiram,Unova (BW)
150,0644,Zekrom,Unova (BW)
151,0645,Landorus,Unova (BW)
152,0646,Kyurem,Unova (BW)
153,0647,Keldeo,Unova (BW)
154,0648,Meloetta,Unova (BW)
155,0649,Genesect,Unova (BW)
