National_Dex,Pokemon,Series
1,Bulbasaur,UsUm
2,Ivysaur,UsUm
3,Venusaur,UsUm
4,Charmander,UsUm
5,Charmeleon,UsUm
6,Charizard,UsUm
7,Squirtle,UsUm
8,Wartortle,UsUm
9,Blastoise,UsUm
10,Caterpie,UsUm
11,Metapod,UsUm
12,Butterfree,UsUm
13,Weedle,UsUm
14,Kakuna,UsUm
15,Beedrill,UsUm
16,Pidgey,UsUm
17,Pidgeotto,UsUm
18,Pidgeot,UsUm
19,Rattata,UsUm
20,Raticate,UsUm
21,Spearow,UsUm
22,Fearow,UsUm
23,Ekans,UsUm
24,Arbok,UsUm
25,Pikachu,UsUm
26,Raichu,UsUm
27,Sandshrew,UsUm
28,Sandslash,UsUm
29,Nidoran-F,UsUm
32,Nidoran-M,UsUm
35,Clefairy,UsUm
36,Clefable,UsUm
37,Vulpix,UsUm
38,Ninetales,UsUm
39,Jigglypuff,UsUm
40,Wigglytuff,UsUm
41,Zubat,UsUm
42,Golbat,UsUm
46,Paras,UsUm
47,Parasect,UsUm
50,Diglett,UsUm
51,Dugtrio,UsUm
52,Meowth,UsUm
53,Persian,UsUm
54,Psyduck,UsUm
55,Golduck,UsUm
56,Mankey,UsUm
57,Primeape,UsUm
58,Growlithe,UsUm
59,Arcanine,UsUm
60,Poliwag,UsUm
61,Poliwhirl,UsUm
62,Poliwrath,UsUm
63,Abra,UsUm
64,Kadabra,UsUm
65,Alakazam,UsUm
66,Machop,UsUm
67,Machoke,UsUm
68,Machamp,UsUm
72,Tentacool,UsUm
73,Tentacruel,UsUm
74,Geodude,UsUm
75,Graveler,UsUm
76,Golem,UsUm
79,Slowpoke,UsUm
80,Slowbro,UsUm
81,Magnemite,UsUm
82,Magneton,UsUm
86,Seel,UsUm
87,Dewgong,UsUm
88,Grimer,UsUm
89,Muk,UsUm
90,Shellder,UsUm
91,Cloyster,UsUm
92,Gastly,UsUm
93,Haunter,UsUm
94,Gengar,UsUm
95,Onix,UsUm
96,Drowzee,UsUm
97,Hypno,UsUm
100,Voltorb,UsUm
101,Electrode,UsUm
102,Exeggcute,UsUm
103,Exeggutor,UsUm
104,Cubone,UsUm
105,Marowak,UsUm
108,Lickitung,UsUm
111,Rhyhorn,UsUm
112,Rhydon,UsUm
113,Chansey,UsUm
115,Kangaskhan,UsUm
116,Horsea,UsUm
117,Seadra,UsUm
118,Goldeen,UsUm
119,Seaking,UsUm
120,Staryu,UsUm
121,Starmie,UsUm
122,Mr. Mime,UsUm
123,Scyther,UsUm
124,Jynx,UsUm
125,Electabuzz,UsUm
126,Magmar,UsUm
127,Pinsir,UsUm
128,Tauros,UsUm
129,Magikarp,UsUm
130,Gyarados,UsUm
131,Lapras,UsUm
132,Ditto,UsUm
133,Eevee,UsUm
134,Vaporeon,UsUm
135,Jolteon,UsUm
136,Flareon,UsUm
137,Porygon,UsUm
138,Omanyte,UsUm
139,Omastar,UsUm
140,Kabuto,UsUm
141,Kabutops,UsUm
142,Aerodactyl,UsUm
