National_Dex,Pokemon,Series
1,Bulbasaur,XY
2,Ivysaur,XY
3,Venusaur,XY
4,Charmander,XY
5,Charmeleon,XY
6,Charizard,XY
7,Squirtle,XY
8,Wartortle,XY
9,Blastoise,XY
10,Caterpie,XY
11,Metapod,XY
12,Butterfree,XY
13,Weedle,XY
14,Kakuna,XY
15,Beedrill,XY
16,Pidgey,XY
17,Pidgeotto,XY
18,Pidgeot,XY
21,Spearow,XY
22,Fearow,XY
23,Ekans,XY
24,Arbok,XY
25,Pikachu,XY
26,Raichu,XY
27,Sandshrew,XY
28,Sandslash,XY
29,Nidoran-F,XY
30,Nidorina,XY
31,Nidoqueen,XY
32,Nidoran-M,XY
33,Nidorino,XY
34,Nidoking,XY
35,Clefairy,XY
36,Clefable,XY
37,Vulpix,XY
38,Ninetales,XY
39,Jigglypuff,XY
40,Wigglytuff,XY
41,Zubat,XY
42,Golbat,XY
43,Oddish,XY
44,Gloom,XY
45,Vileplume,XY
46,Paras,XY
47,Parasect,XY
48,Venonat,XY
49,Venomoth,XY
50,Diglett,XY
51,Dugtrio,XY
54,Psyduck,XY
55,Golduck,XY
56,Mankey,XY
57,Primeape,XY
58,Growlithe,XY
59,Arcanine,XY
60,Poliwag,XY
61,Poliwhirl,XY
62,Poliwrath,XY
63,Abra,XY
64,Kadabra,XY
65,Alakazam,XY
66,Machop,XY
67,Machoke,XY
68,Machamp,XY
69,Bellsprout,XY
70,Weepinbell,XY
71,Victreebel,XY
72,Tentacool,XY
73,Tentacruel,XY
74,Geodude,XY
75,Graveler,XY
76,Golem,XY
77,Ponyta,XY
78,Rapidash,XY
79,Slowpoke,XY
80,Slowbro,XY
81,Magnemite,XY
82,Magneton,XY
83,Farfetch'd,XY
84,Doduo,XY
85,Dodrio,XY
86,Seel,XY
87,Dewgong,XY
88,Grimer,XY
89,Muk,XY
90,Shellder,XY
91,Cloyster,XY
92,Gastly,XY
93,Haunter,XY
94,Gengar,XY
95,Onix,XY
96,Drowzee,XY
97,Hypno,XY
98,Krabby,XY
99,Kingler,XY
100,Voltorb,XY
101,Electrode,XY
102,Exeggcute,XY
103,Exeggutor,XY
104,Cubone,XY
105,Marowak,XY
106,Hitmonlee,XY
107,Hitmonchan,XY
108,Lickitung,XY
111,Rhyhorn,XY
112,Rhydon,XY
113,Chansey,XY
114,Tangela,XY
115,Kangaskhan,XY
116,Horsea,XY
117,Seadra,XY
118,Goldeen,XY
119,Seaking,XY
120,Staryu,XY
121,Starmie,XY
122,Mr. Mime,XY
123,Scyther,XY
124,Jynx,XY
125,Electabuzz,XY
126,Magmar,XY
127,Pinsir,XY
128,Tauros,XY
129,Magikarp,XY
130,Gyarados,XY
131,Lapras,XY
132,Ditto,XY
133,Eevee,XY
134,Vaporeon,XY
135,Jolteon,XY
136,Flareon,XY
138,Omanyte,XY
139,Omastar,XY
140,Kabuto,XY
141,Kabutops,XY
142,Aerodactyl,XY
143,Snorlax,XY
144,Articuno,XY
145,Zapdos,XY
146,Moltres,XY
147,Dratini,XY
148,Dragonair,XY
149,Dragonite,XY
150,Mewtwo,XY
151,Mew,XY
161,Sentret,XY
162,Furret,XY
163,Hoothoot,XY
164,Noctowl,XY
165,Ledyba,XY
166,Ledian,XY
167,Spinarak,XY
168,Ariados,XY
169,Crobat,XY
170,Chinchou,XY
171,Lanturn,XY
172,Pichu,XY
173,Cleffa,XY
174,Igglybuff,XY
175,Togepi,XY
176,Togetic,XY
177,Natu,XY
178,Xatu,XY
179,Mareep,XY
180,Flaaffy,XY
181,Ampharos,XY
182,Bellossom,XY
183,Marill,XY
184,Azumarill,XY
185,Sudowoodo,XY
186,Politoed,XY
187,Hoppip,XY
188,Skiploom,XY
189,Jumpluff,XY
190,Aipom,XY
191,Sunkern,XY
192,Sunflora,XY
193,Yanma,XY
194,Wooper,XY
195,Quagsire,XY
196,Espeon,XY
197,Umbreon,XY
198,Murkrow,XY
199,Slowking,XY
202,Wobbuffet,XY
203,Girafarig,XY
204,Pineco,XY
205,Forretress,XY
206,Dunsparce,XY
207,Gligar,XY
208,Steelix,XY
209,Snubbull,XY
210,Granbull,XY
211,Qwilfish,XY
212,Scizor,XY
213,Shuckle,XY
214,Heracross,XY
215,Sneasel,XY
216,Teddiursa,XY
217,Ursaring,XY
218,Slugma,XY
219,Magcargo,XY
220,Swinub,XY
221,Piloswine,XY
222,Corsola,XY
223,Remoraid,XY
224,Octillery,XY
225,Delibird,XY
226,Mantine,XY
227,Skarmory,XY
228,Houndour,XY
229,Houndoom,XY
230,Kingdra,XY
231,Phanpy,XY
232,Donphan,XY
235,Smeargle,XY
236,Tyrogue,XY
237,Hitmontop,XY
238,Smoochum,XY
239,Elekid,XY
240,Magby,XY
241,Miltank,XY
242,Blissey,XY
246,Larvitar,XY
247,Pupitar,XY
248,Tyranitar,XY
249,Lugia,XY
261,Poochyena,XY
262,Mightyena,XY
263,Zigzagoon,XY
264,Linoone,XY
265,Wurmple,XY
266,Silcoon,XY
267,Beautifly,XY
268,Cascoon,XY
269,Dustox,XY
270,Lotad,XY
271,Lombre,XY
272,Ludicolo,XY
273,Seedot,XY
274,Nuzleaf,XY
275,Shiftry,XY
276,Taillow,XY
277,Swellow,XY
278,Wingull,XY
279,Pelipper,XY
280,Ralts,XY
281,Kirlia,XY
282,Gardevoir,XY
283,Surskit,XY
284,Masquerain,XY
285,Shroomish,XY
286,Breloom,XY
290,Nincada,XY
291,Ninjask,XY
292,Shedinja,XY
293,Whismur,XY
294,Loudred,XY
295,Exploud,XY
296,Makuhita,XY
297,Hariyama,XY
298,Azurill,XY
299,Nosepass,XY
300,Skitty,XY
301,Delcatty,XY
302,Sableye,XY
303,Mawile,XY
304,Aron,XY
305,Lairon,XY
306,Aggron,XY
307,Meditite,XY
308,Medicham,XY
309,Electrike,XY
310,Manectric,XY
311,Plusle,XY
312,Minun,XY
313,Volbeat,XY
314,Illumise,XY
