National_Dex, Pokemon   , Form   , Obtainability, Series
No.001      , Bulbasaur ,        , True         , FrLg
No.002      , Ivysaur   ,        , True         , FrLg
No.003      , Venusaur  ,        , True         , FrLg
No.004      , Charmander,        , True         , FrLg
No.005      , Charmeleon,        , True         , FrLg
No.006      , Charizard ,        , True         , FrLg
No.007      , Squirtle  ,        , True         , FrLg
No.008      , Wartortle ,        , True         , FrLg
No.009      , Blastoise ,        , True         , FrLg
No.010      , Caterpie  ,        , True         , FrLg
No.011      , Metapod   ,        , True         , FrLg
No.012      , Butterfree,        , True         , FrLg
No.013      , Weedle    ,        , True         , FrLg
No.014      , Kakuna    ,        , True         , FrLg
No.015      , Beedrill  ,        , True         , FrLg
No.016      , Pidgey    ,        , True         , FrLg
No.017      , Pidgeotto ,        , True         , FrLg
No.018      , Pidgeot   ,        , True         , FrLg
No.019      , Rattata   ,        , True         , FrLg
No.020      , Raticate  ,        , True         , FrLg
No.021      , Spearow   ,        , True         , FrLg
No.022      , Fearow    ,        , True         , FrLg
No.023      , Ekans     ,        , True         , FrLg
No.024      , Arbok     ,        , True         , FrLg
No.025      , Pikachu   ,        , True         , FrLg
No.026      , Raichu    ,        , True         , FrLg
No.027      , Sandshrew ,        , True         , FrLg
No.028      , Sandslash ,        , True         , FrLg
No.029      , Nidoran-F ,        , True         , FrLg
No.030      , Nidorina  ,        , True         , FrLg
No.031      , Nidoqueen ,        , True         , FrLg
No.032      , Nidoran-M ,        , True         , FrLg
No.033      , Nidorino  ,        , True         , FrLg
No.034      , Nidoking  ,        , True         , FrLg
No.035      , Clefairy  ,        , True         , FrLg
No.036      , Clefable  ,        , True         , FrLg
No.037      , Vulpix    ,        , True         , FrLg
No.038      , Ninetales ,        , True         , FrLg
No.039      , Jigglypuff,        , True         , FrLg
No.040      , Wigglytuff,        , True         , FrLg
No.041      , Zubat     ,        , True         , FrLg
No.042      , Golbat    ,        , True         , FrLg
No.043      , Oddish    ,        , True         , FrLg
No.044      , Gloom     ,        , True         , FrLg
No.045      , Vileplume ,        , True         , FrLg
No.046      , Paras     ,        , True         , FrLg
No.047      , Parasect  ,        , True         , FrLg
No.048      , Venonat   ,        , True         , FrLg
No.049      , Venomoth  ,        , True         , FrLg
No.050      , Diglett   ,        , True         , FrLg
No.051      , Dugtrio   ,        , True         , FrLg
No.052      , Meowth    ,        , True         , FrLg
No.053      , Persian   ,        , True         , FrLg
No.054      , Psyduck   ,        , True         , FrLg
No.055      , Golduck   ,        , True         , FrLg
No.056      , Mankey    ,        , True         , FrLg
No.057      , Primeape  ,        , True         , FrLg
No.058      , Growlithe ,        , True         , FrLg
No.059      , Arcanine  ,        , True         , FrLg
No.060      , Poliwag   ,        , True         , FrLg
No.061      , Poliwhirl ,        , True         , FrLg
No.062      , Poliwrath ,        , True         , FrLg
No.063      , Abra      ,        , True         , FrLg
No.064      , Kadabra   ,        , True         , FrLg
No.065      , Alakazam  ,        , True         , FrLg
No.066      , Machop    ,        , True         , FrLg
No.067      , Machoke   ,        , True         , FrLg
No.068      , Machamp   ,        , True         , FrLg
No.069      , Bellsprout,        , True         , FrLg
No.070      , Weepinbell,        , True         , FrLg
No.071      , Victreebel,        , True         , FrLg
No.072      , Tentacool ,        , True         , FrLg
No.073      , Tentacruel,        , True         , FrLg
No.074      , Geodude   ,        , True         , FrLg
No.075      , Graveler  ,        , True         , FrLg
No.076      , Golem     ,        , True         , FrLg
No.077      , Ponyta    ,        , True         , FrLg
No.078      , Rapidash  ,        , True         , FrLg
No.079      , Slowpoke  ,        , True         , FrLg
No.080      , Slowbro   ,        , True         , FrLg
No.081      , Magnemite ,        , True         , FrLg
No.082      , Magneton  ,        , True         , FrLg
No.083      , Farfetch'd,        , True         , FrLg
No.084      , Doduo     ,        , True         , FrLg
No.085      , Dodrio    ,        , True         , FrLg
No.086      , Seel      ,        , True         , FrLg
No.087      , Dewgong   ,        , True         , FrLg
No.088      , Grimer    ,        , True         , FrLg
No.089      , Muk       ,        , True         , FrLg
No.090      , Shellder  ,        , True         , FrLg
No.091      , Cloyster  ,        , True         , FrLg
No.092      , Gastly    ,        , True         , FrLg
No.093      , Haunter   ,        , True         , FrLg
No.094      , Gengar    ,        , True         , FrLg
No.095      , Onix      ,        , True         , FrLg
No.096      , Drowzee   ,        , True         , FrLg
No.097      , Hypno     ,        , True         , FrLg
No.098      , Krabby    ,        , True         , FrLg
No.099      , Kingler   ,        , True         , FrLg
