Regional Dex #,National_Dex,Pokemon,Dex
1,0252,Treecko,Hoenn (RSE)
2,0253,Grovyle,Hoenn (RSE)
3,0254,Sceptile,Hoenn (RSE)
4,0255,Torchic,Hoenn (RSE)
5,0256,Combusken,Hoenn (RSE)
6,0257,Blaziken,Hoenn (RSE)
7,0258,Mudkip,Hoenn (RSE)
8,0259,Marshtomp,Hoenn (RSE)
9,0260,Swampert,Hoenn (RSE)
10,0261,Poochyena,Hoenn (RSE)
11,0262,Mightyena,Hoenn (RSE)
12,0263,Zigzagoon,Hoenn (RSE)
13,0264,Linoone,Hoenn (RSE)
14,0265,Wurmple,Hoenn (RSE)
15,0266,Silcoon,Hoenn (RSE)
16,0267,Beautifly,Hoenn (RSE)
17,0268,Cascoon,Hoenn (RSE)
18,0269,Dustox,Hoenn (RSE)
19,0270,Lotad,Hoenn (RSE)
20,0271,Lombre,Hoenn (RSE)
21,0272,Ludicolo,Hoenn (RSE)
22,0273,Seedot,Hoenn (RSE)
23,0274,Nuzleaf,Hoenn (RSE)
24,0275,Shiftry,Hoenn (RSE)
25,0276,Taillow,Hoenn (RSE)
26,0277,Swellow,Hoenn (RSE)
27,0278,Wingull,Hoenn (RSE)
28,0279,Pelipper,Hoenn (RSE)
29,0280,Ralts,Hoenn (RSE)
30,0281,Kirlia,Hoenn (RSE)
31,0282,Gardevoir,Hoenn (RSE)
32,0283,Surskit,Hoenn (RSE)
33,0284,Masquerain,Hoenn (RSE)
34,0285,Shroomish,Hoenn (RSE)
35,0286,Breloom,Hoenn (RSE)
36,0287,Slakoth,Hoenn (RSE)
37,0288,Vigoroth,Hoenn (RSE)
38,0289,Slaking,Hoenn (RSE)
39,0063,Abra,Hoenn (RSE)
40,0064,Kadabra,Hoenn (RSE)
41,0065,Alakazam,Hoenn (RSE)
42,0290,Nincada,Hoenn (RSE)
43,0291,Ninjask,Hoenn (RSE)
44,0292,Shedinja,Hoenn (RSE)
45,0293,Whismur,Hoenn (RSE)
46,0294,Loudred,Hoenn (RSE)
47,0295,Exploud,Hoenn (RSE)
48,0296,Makuhita,Hoenn (RSE)
49,0297,Hariyama,Hoenn (RSE)
50,0118,Goldeen,Hoenn (RSE)
51,0119,Seaking,Hoenn (RSE)
52,0129,Magikarp,Hoenn (RSE)
53,0130,Gyarados,Hoenn (RSE)
54,0298,Azurill,Hoenn (RSE)
55,0183,Marill,Hoenn (RSE)
56,0184,Azumarill,Hoenn (RSE)
57,0074,Geodude,Hoenn (RSE)
58,0075,Graveler,Hoenn (RSE)
59,0076,Golem,Hoenn (RSE)
60,0299,Nosepass,Hoenn (RSE)
61,0300,Skitty,Hoenn (RSE)
62,0301,Delcatty,Hoenn (RSE)
63,0041,Zubat,Hoenn (RSE)
64,0042,Golbat,Hoenn (RSE)
65,0169,Crobat,Hoenn (RSE)
66,0072,Tentacool,Hoenn (RSE)
67,0073,Tentacruel,Hoenn (RSE)
68,0302,Sableye,Hoenn (RSE)
69,0303,Mawile,Hoenn (RSE)
