Regional Dex #,National_Dex,Pokemon,Dex
1,0056,Mankey,Hyperspace
2,0057,Primeape,Hyperspace
3,0979,Annihilape,Hyperspace
4,0052,Meowth,Hyperspace
5,0053,Persian,Hyperspace
6,0863,Perrserker,Hyperspace
7,0083,Farfetch'd,Hyperspace
8,0865,Sirfetch'd,Hyperspace
9,0104,Cubone,Hyperspace
10,0105,Marowak,Hyperspace
11,0137,Porygon,Hyperspace
12,0233,Porygon2,Hyperspace
13,0474,Porygon-Z,Hyperspace
14,0951,Capsakid,Hyperspace
15,0952,Scovillain,Hyperspace
16,0957,Tinkatink,Hyperspace
17,0958,Tinkatuff,Hyperspace
18,0959,Tinkaton,Hyperspace
19,0967,Cyclizar,Hyperspace
20,0969,Glimmet,Hyperspace
21,0970,Glimmora,Hyperspace
22,0479,Rotom,Hyperspace
23,0971,Greavard,Hyperspace
24,0972,Houndstone,Hyperspace
25,0769,Sandygast,Hyperspace
26,0770,Palossand,Hyperspace
27,0352,Kecleon,Hyperspace
28,0973,Flamigo,Hyperspace
29,0615,Cryogonal,Hyperspace
30,0977,Dondozo,Hyperspace
31,0978,Tatsugiri,Hyperspace
32,0996,Frigibax,Hyperspace
33,0997,Arctibax,Hyperspace
34,0998,Baxcalibur,Hyperspace
35,0999,Gimmighoul,Hyperspace
36,1000,Gholdengo,Hyperspace
37,0211,Qwilfish,Hyperspace
38,0904,Overqwil,Hyperspace
39,0252,Treecko,Hyperspace
40,0253,Grovyle,Hyperspace
41,0254,Sceptile,Hyperspace
42,0255,Torchic,Hyperspace
43,0256,Combusken,Hyperspace
44,0257,Blaziken,Hyperspace
45,0258,Mudkip,Hyperspace
46,0259,Marshtomp,Hyperspace
47,0260,Swampert,Hyperspace
48,0349,Feebas,Hyperspace
49,0350,Milotic,Hyperspace
50,0433,Chingling,Hyperspace
51,0358,Chimecho,Hyperspace
52,0876,Indeedee,Hyperspace
53,0509,Purrloin,Hyperspace
54,0510,Liepard,Hyperspace
55,0517,Munna,Hyperspace
56,0518,Musharna,Hyperspace
57,0538,Throh,Hyperspace
58,0539,Sawk,Hyperspace
59,0562,Yamask,Hyperspace
60,0563,Cofagrigus,Hyperspace
61,0867,Runerigus,Hyperspace
62,0767,Wimpod,Hyperspace
63,0768,Golisopod,Hyperspace
64,0827,Nickit,Hyperspace
65,0828,Thievul,Hyperspace
66,0852,Clobbopus,Hyperspace
67,0853,Grapploct,Hyperspace
68,0778,Mimikyu,Hyperspace
69,0900,Kleavor,Hyperspace
70,0877,Morpeko,Hyperspace
71,0622,Golett,Hyperspace
72,0623,Golurk,Hyperspace
73,0821,Rookidee,Hyperspace
74,0822,Corvisquire,Hyperspace
75,0823,Corviknight,Hyperspace
76,0174,Igglybuff,Hyperspace
77,0039,Jigglypuff,Hyperspace
78,0040,Wigglytuff,Hyperspace
79,0926,Fidough,Hyperspace
80,0927,Dachsbun,Hyperspace
81,0396,Starly,Hyperspace
82,0397,Staravia,Hyperspace
83,0398,Staraptor,Hyperspace
84,0325,Spoink,Hyperspace
85,0326,Grumpig,Hyperspace
86,0931,Squawkabilly,Hyperspace
87,0739,Crabrawler,Hyperspace
88,0740,Crabominable,Hyperspace
89,0932,Nacli,Hyperspace
90,0933,Naclstack,Hyperspace
91,0934,Garganacl,Hyperspace
92,0316,Gulpin,Hyperspace
93,0317,Swalot,Hyperspace
94,0041,Zubat,Hyperspace
95,0042,Golbat,Hyperspace
96,0169,Crobat,Hyperspace
97,0935,Charcadet,Hyperspace
98,0936,Armarouge,Hyperspace
99,0937,Ceruledge,Hyperspace
100,0942,Maschiff,Hyperspace
101,0943,Mabosstiff,Hyperspace
102,0848,Toxel,Hyperspace
103,0849,Toxtricity,Hyperspace
104,0944,Shroodle,Hyperspace
105,0945,Grafaiai,Hyperspace
106,0335,Zangoose,Hyperspace
107,0336,Seviper,Hyperspace
108,0439,Mime Jr.,Hyperspace
109,0122,Mr. Mime,Hyperspace
110,0866,Mr. Rime,Hyperspace
111,0590,Foongus,Hyperspace
112,0591,Amoonguss,Hyperspace
113,0485,Heatran,Hyperspace
114,0721,Volcanion,Hyperspace
115,0638,Cobalion,Hyperspace
116,0639,Terrakion,Hyperspace
117,0640,Virizion,Hyperspace
118,0647,Keldeo,Hyperspace
119,0648,Meloetta,Hyperspace
120,0649,Genesect,Hyperspace
121,0720,Hoopa,Hyperspace
122,0802,Marshadow,Hyperspace
123,0808,Meltan,Hyperspace
124,0809,Melmetal,Hyperspace
125,0491,Darkrai,Hyperspace
126,0380,Latias,Hyperspace
127,0381,Latios,Hyperspace
128,0382,Kyogre,Hyperspace
129,0383,Groudon,Hyperspace
130,0384,Rayquaza,Hyperspace
131,0801,Magearna,Hyperspace
132,0807,Zeraora,Hyperspace
