Regional Dex #,National_Dex,Pokemon,Dex
1,0650,Chespin,Kalos
2,0651,Quilladin,Kalos
3,0652,Chesnaught,Kalos
4,0653,Fennekin,Kalos
5,0654,Braixen,Kalos
6,0655,Delphox,Kalos
7,0656,Froakie,Kalos
8,0657,Frogadier,Kalos
9,0658,Greninja,Kalos
10,0659,Bunnelby,Kalos
11,0660,Diggersby,Kalos
12,0263,Zigzagoon,Kalos
13,0264,Linoone,Kalos
14,0661,Fletchling,Kalos
15,0662,Fletchinder,Kalos
16,0663,Talonflame,Kalos
17,0016,Pidgey,Kalos
18,0017,Pidgeotto,Kalos
19,0018,Pidgeot,Kalos
20,0664,Scatterbug,Kalos
21,0665,Spewpa,Kalos
22,0666,Vivillon,Kalos
23,0010,Caterpie,Kalos
24,0011,Metapod,Kalos
25,0012,Butterfree,Kalos
26,0013,Weedle,Kalos
27,0014,Kakuna,Kalos
28,0015,Beedrill,Kalos
29,0511,Pansage,Kalos
30,0512,Simisage,Kalos
31,0513,Pansear,Kalos
32,0514,Simisear,Kalos
33,0515,Panpour,Kalos
34,0516,Simipour,Kalos
35,0172,Pichu,Kalos
36,0025,Pikachu,Kalos
37,0026,Raichu,Kalos
38,0399,Bidoof,Kalos
39,0400,Bibarel,Kalos
40,0206,Dunsparce,Kalos
41,0298,Azurill,Kalos
42,0183,Marill,Kalos
43,0184,Azumarill,Kalos
44,0412,Burmy,Kalos
45,0413,Wormadam,Kalos
46,0414,Mothim,Kalos
47,0283,Surskit,Kalos
48,0284,Masquerain,Kalos
49,0129,Magikarp,Kalos
50,0130,Gyarados,Kalos
51,0341,Corphish,Kalos
52,0342,Crawdaunt,Kalos
53,0118,Goldeen,Kalos
54,0119,Seaking,Kalos
55,0318,Carvanha,Kalos
56,0319,Sharpedo,Kalos
57,0667,Litleo,Kalos
58,0668,Pyroar,Kalos
59,0054,Psyduck,Kalos
60,0055,Golduck,Kalos
61,0083,Farfetch'd,Kalos
62,0447,Riolu,Kalos
63,0448,Lucario,Kalos
64,0280,Ralts,Kalos
65,0281,Kirlia,Kalos
66,0282,Gardevoir,Kalos
67,0475,Gallade,Kalos
68,0669,Flabébé,Kalos
69,0670,Floette,Kalos
70,0671,Florges,Kalos
71,0406,Budew,Kalos
72,0315,Roselia,Kalos
73,0407,Roserade,Kalos
74,0165,Ledyba,Kalos
75,0166,Ledian,Kalos
76,0415,Combee,Kalos
77,0416,Vespiquen,Kalos
78,0300,Skitty,Kalos
79,0301,Delcatty,Kalos
80,0001,Bulbasaur,Kalos
81,0002,Ivysaur,Kalos
82,0003,Venusaur,Kalos
83,0004,Charmander,Kalos
84,0005,Charmeleon,Kalos
85,0006,Charizard,Kalos
86,0007,Squirtle,Kalos
87,0008,Wartortle,Kalos
88,0009,Blastoise,Kalos
89,0672,Skiddo,Kalos
90,0673,Gogoat,Kalos
91,0674,Pancham,Kalos
92,0675,Pangoro,Kalos
93,0676,Furfrou,Kalos
94,0084,Doduo,Kalos
95,0085,Dodrio,Kalos
96,0311,Plusle,Kalos
97,0312,Minun,Kalos
98,0316,Gulpin,Kalos
99,0317,Swalot,Kalos
100,0559,Scraggy,Kalos
101,0560,Scrafty,Kalos
102,0063,Abra,Kalos
103,0064,Kadabra,Kalos
104,0065,Alakazam,Kalos
105,0043,Oddish,Kalos
106,0044,Gloom,Kalos
107,0045,Vileplume,Kalos
108,0182,Bellossom,Kalos
109,0161,Sentret,Kalos
110,0162,Furret,Kalos
111,0290,Nincada,Kalos
112,0291,Ninjask,Kalos
113,0292,Shedinja,Kalos
114,0677,Espurr,Kalos
115,0678,Meowstic,Kalos
116,0352,Kecleon,Kalos
117,0679,Honedge,Kalos
118,0680,Doublade,Kalos
119,0681,Aegislash,Kalos
120,0543,Venipede,Kalos
121,0544,Whirlipede,Kalos
122,0545,Scolipede,Kalos
123,0531,Audino,Kalos
124,0235,Smeargle,Kalos
125,0453,Croagunk,Kalos
126,0454,Toxicroak,Kalos
127,0580,Ducklett,Kalos
128,0581,Swanna,Kalos
129,0682,Spritzee,Kalos
130,0683,Aromatisse,Kalos
131,0684,Swirlix,Kalos
132,0685,Slurpuff,Kalos
133,0313,Volbeat,Kalos
134,0314,Illumise,Kalos
135,0187,Hoppip,Kalos
136,0188,Skiploom,Kalos
137,0189,Jumpluff,Kalos
138,0446,Munchlax,Kalos
139,0143,Snorlax,Kalos
140,0293,Whismur,Kalos
141,0294,Loudred,Kalos
142,0295,Exploud,Kalos
143,0307,Meditite,Kalos
144,0308,Medicham,Kalos
145,0041,Zubat,Kalos
146,0042,Golbat,Kalos
147,0169,Crobat,Kalos
148,0610,Axew,Kalos
149,0611,Fraxure,Kalos
150,0612,Haxorus,Kalos
151,0719,Diancie,Kalos
152,0720,Hoopa,Kalos
153,0721,Volcanion,Kalos
1,0425,Drifloon,Kalos
2,0426,Drifblim,Kalos
3,0619,Mienfoo,Kalos
4,0620,Mienshao,Kalos
5,0335,Zangoose,Kalos
6,0336,Seviper,Kalos
7,0325,Spoink,Kalos
8,0326,Grumpig,Kalos
9,0359,Absol,Kalos
10,0686,Inkay,Kalos
11,0687,Malamar,Kalos
12,0337,Lunatone,Kalos
13,0338,Solrock,Kalos
14,0371,Bagon,Kalos
15,0372,Shelgon,Kalos
16,0373,Salamence,Kalos
17,0278,Wingull,Kalos
18,0279,Pelipper,Kalos
19,0276,Taillow,Kalos
20,0277,Swellow,Kalos
21,0688,Binacle,Kalos
22,0689,Barbaracle,Kalos
23,0557,Dwebble,Kalos
24,0558,Crustle,Kalos
25,0072,Tentacool,Kalos
26,0073,Tentacruel,Kalos
27,0320,Wailmer,Kalos
28,0321,Wailord,Kalos
29,0370,Luvdisc,Kalos
30,0690,Skrelp,Kalos
31,0691,Dragalge,Kalos
32,0692,Clauncher,Kalos
33,0693,Clawitzer,Kalos
34,0120,Staryu,Kalos
35,0121,Starmie,Kalos
36,0090,Shellder,Kalos
37,0091,Cloyster,Kalos
38,0211,Qwilfish,Kalos
39,0116,Horsea,Kalos
40,0117,Seadra,Kalos
41,0230,Kingdra,Kalos
42,0369,Relicanth,Kalos
43,0551,Sandile,Kalos
44,0552,Krokorok,Kalos
45,0553,Krookodile,Kalos
46,0694,Helioptile,Kalos
47,0695,Heliolisk,Kalos
48,0449,Hippopotas,Kalos
49,0450,Hippowdon,Kalos
50,0111,Rhyhorn,Kalos
51,0112,Rhydon,Kalos
52,0464,Rhyperior,Kalos
53,0095,Onix,Kalos
54,0208,Steelix,Kalos
55,0527,Woobat,Kalos
56,0528,Swoobat,Kalos
57,0066,Machop,Kalos
58,0067,Machoke,Kalos
59,0068,Machamp,Kalos
60,0104,Cubone,Kalos
61,0105,Marowak,Kalos
62,0115,Kangaskhan,Kalos
63,0303,Mawile,Kalos
64,0696,Tyrunt,Kalos
65,0697,Tyrantrum,Kalos
66,0698,Amaura,Kalos
67,0699,Aurorus,Kalos
68,0142,Aerodactyl,Kalos
69,0597,Ferroseed,Kalos
70,0598,Ferrothorn,Kalos
71,0209,Snubbull,Kalos
72,0210,Granbull,Kalos
73,0309,Electrike,Kalos
74,0310,Manectric,Kalos
75,0228,Houndour,Kalos
76,0229,Houndoom,Kalos
77,0133,Eevee,Kalos
78,0134,Vaporeon,Kalos
79,0135,Jolteon,Kalos
80,0136,Flareon,Kalos
81,0196,Espeon,Kalos
82,0197,Umbreon,Kalos
83,0470,Leafeon,Kalos
84,0471,Glaceon,Kalos
85,0700,Sylveon,Kalos
86,0587,Emolga,Kalos
87,0193,Yanma,Kalos
88,0469,Yanmega,Kalos
89,0701,Hawlucha,Kalos
90,0561,Sigilyph,Kalos
91,0622,Golett,Kalos
92,0623,Golurk,Kalos
93,0299,Nosepass,Kalos
94,0476,Probopass,Kalos
95,0296,Makuhita,Kalos
96,0297,Hariyama,Kalos
97,0538,Throh,Kalos
98,0539,Sawk,Kalos
99,0396,Starly,Kalos
100,0397,Staravia,Kalos
101,0398,Staraptor,Kalos
102,0434,Stunky,Kalos
103,0435,Skuntank,Kalos
104,0029,Nidoran♀,Kalos
105,0030,Nidorina,Kalos
106,0031,Nidoqueen,Kalos
107,0032,Nidoran♂,Kalos
108,0033,Nidorino,Kalos
109,0034,Nidoking,Kalos
110,0702,Dedenne,Kalos
111,0433,Chingling,Kalos
112,0358,Chimecho,Kalos
113,0439,Mime Jr.,Kalos
114,0122,Mr. Mime,Kalos
115,0577,Solosis,Kalos
116,0578,Duosion,Kalos
117,0579,Reuniclus,Kalos
118,0360,Wynaut,Kalos
119,0202,Wobbuffet,Kalos
120,0524,Roggenrola,Kalos
121,0525,Boldore,Kalos
122,0526,Gigalith,Kalos
123,0302,Sableye,Kalos
124,0703,Carbink,Kalos
125,0128,Tauros,Kalos
126,0241,Miltank,Kalos
127,0179,Mareep,Kalos
128,0180,Flaaffy,Kalos
129,0181,Ampharos,Kalos
130,0127,Pinsir,Kalos
131,0214,Heracross,Kalos
132,0417,Pachirisu,Kalos
133,0079,Slowpoke,Kalos
134,0080,Slowbro,Kalos
135,0199,Slowking,Kalos
136,0102,Exeggcute,Kalos
137,0103,Exeggutor,Kalos
138,0441,Chatot,Kalos
139,0458,Mantyke,Kalos
140,0226,Mantine,Kalos
141,0366,Clamperl,Kalos
142,0367,Huntail,Kalos
143,0368,Gorebyss,Kalos
144,0223,Remoraid,Kalos
145,0224,Octillery,Kalos
146,0222,Corsola,Kalos
147,0170,Chinchou,Kalos
148,0171,Lanturn,Kalos
149,0594,Alomomola,Kalos
150,0131,Lapras,Kalos
151,0144,Articuno,Kalos
152,0145,Zapdos,Kalos
153,0146,Moltres,Kalos
1,0050,Diglett,Kalos
2,0051,Dugtrio,Kalos
3,0328,Trapinch,Kalos
4,0329,Vibrava,Kalos
5,0330,Flygon,Kalos
6,0443,Gible,Kalos
7,0444,Gabite,Kalos
8,0445,Garchomp,Kalos
9,0074,Geodude,Kalos
10,0075,Graveler,Kalos
11,0076,Golem,Kalos
12,0218,Slugma,Kalos
13,0219,Magcargo,Kalos
14,0213,Shuckle,Kalos
15,0451,Skorupi,Kalos
16,0452,Drapion,Kalos
17,0194,Wooper,Kalos
18,0195,Quagsire,Kalos
19,0704,Goomy,Kalos
20,0705,Sliggoo,Kalos
21,0706,Goodra,Kalos
22,0588,Karrablast,Kalos
23,0589,Escavalier,Kalos
24,0616,Shelmet,Kalos
25,0617,Accelgor,Kalos
26,0069,Bellsprout,Kalos
27,0070,Weepinbell,Kalos
28,0071,Victreebel,Kalos
29,0455,Carnivine,Kalos
30,0092,Gastly,Kalos
31,0093,Haunter,Kalos
32,0094,Gengar,Kalos
33,0060,Poliwag,Kalos
34,0061,Poliwhirl,Kalos
35,0062,Poliwrath,Kalos
36,0186,Politoed,Kalos
37,0023,Ekans,Kalos
38,0024,Arbok,Kalos
39,0618,Stunfisk,Kalos
40,0339,Barboach,Kalos
41,0340,Whiscash,Kalos
42,0509,Purrloin,Kalos
43,0510,Liepard,Kalos
44,0261,Poochyena,Kalos
45,0262,Mightyena,Kalos
46,0504,Patrat,Kalos
47,0505,Watchog,Kalos
48,0624,Pawniard,Kalos
49,0625,Bisharp,Kalos
50,0707,Klefki,Kalos
51,0198,Murkrow,Kalos
52,0430,Honchkrow,Kalos
53,0590,Foongus,Kalos
54,0591,Amoonguss,Kalos
55,0270,Lotad,Kalos
56,0271,Lombre,Kalos
57,0272,Ludicolo,Kalos
58,0418,Buizel,Kalos
59,0419,Floatzel,Kalos
60,0550,Basculin,Kalos
61,0708,Phantump,Kalos
62,0709,Trevenant,Kalos
63,0710,Pumpkaboo,Kalos
64,0711,Gourgeist,Kalos
65,0607,Litwick,Kalos
66,0608,Lampent,Kalos
67,0609,Chandelure,Kalos
68,0479,Rotom,Kalos
69,0081,Magnemite,Kalos
70,0082,Magneton,Kalos
71,0462,Magnezone,Kalos
72,0100,Voltorb,Kalos
73,0101,Electrode,Kalos
74,0568,Trubbish,Kalos
75,0569,Garbodor,Kalos
76,0220,Swinub,Kalos
77,0221,Piloswine,Kalos
