Regional Dex #,National_Dex,Pokemon,Dex
1,0001,Bulbasaur,Kanto (Lets Go)
2,0002,Ivysaur,Kanto (Lets Go)
3,0003,Venusaur,Kanto (Lets Go)
4,0004,Charmander,Kanto (Lets Go)
5,0005,Charmeleon,Kanto (Lets Go)
6,0006,Charizard,Kanto (Lets Go)
7,0007,Squirtle,Kanto (Lets Go)
8,0008,Wartortle,Kanto (Lets Go)
9,0009,Blastoise,Kanto (Lets Go)
10,0010,Caterpie,Kanto (Lets Go)
11,0011,Metapod,Kanto (Lets Go)
12,0012,Butterfree,Kanto (Lets Go)
13,0013,Weedle,Kanto (Lets Go)
14,0014,Kakuna,Kanto (Lets Go)
15,0015,Beedrill,Kanto (Lets Go)
16,0016,Pidgey,Kanto (Lets Go)
17,0017,Pidgeotto,Kanto (Lets Go)
18,0018,Pidgeot,Kanto (Lets Go)
19,0019,Rattata,Kanto (Lets Go)
20,0020,Raticate,Kanto (Lets Go)
21,0021,Spearow,Kanto (Lets Go)
22,0022,Fearow,Kanto (Lets Go)
23,0023,Ekans,Kanto (Lets Go)
24,0024,Arbok,Kanto (Lets Go)
25,0025,Pikachu,Kanto (Lets Go)
26,0026,Raichu,Kanto (Lets Go)
27,0027,Sandshrew,Kanto (Lets Go)
28,0028,Sandslash,Kanto (Lets Go)
29,0029,Nidoran♀,Kanto (Lets Go)
30,0030,Nidorina,Kanto (Lets Go)
31,0031,Nidoqueen,Kanto (Lets Go)
32,0032,Nidoran♂,Kanto (Lets Go)
33,0033,Nidorino,Kanto (Lets Go)
34,0034,Nidoking,Kanto (Lets Go)
35,0035,Clefairy,Kanto (Lets Go)
36,0036,Clefable,Kanto (Lets Go)
37,0037,Vulpix,Kanto (Lets Go)
38,0038,Ninetales,Kanto (Lets Go)
39,0039,Jigglypuff,Kanto (Lets Go)
40,0040,Wigglytuff,Kanto (Lets Go)
41,0041,Zubat,Kanto (Lets Go)
42,0042,Golbat,Kanto (Lets Go)
43,0043,Oddish,Kanto (Lets Go)
44,0044,Gloom,Kanto (Lets Go)
45,0045,Vileplume,Kanto (Lets Go)
46,0046,Paras,Kanto (Lets Go)
47,0047,Parasect,Kanto (Lets Go)
48,0048,Venonat,Kanto (Lets Go)
49,0049,Venomoth,Kanto (Lets Go)
50,0050,Diglett,Kanto (Lets Go)
51,0051,Dugtrio,Kanto (Lets Go)
52,0052,Meowth,Kanto (Lets Go)
53,0053,Persian,Kanto (Lets Go)
54,0054,Psyduck,Kanto (Lets Go)
55,0055,Golduck,Kanto (Lets Go)
56,0056,Mankey,Kanto (Lets Go)
57,0057,Primeape,Kanto (Lets Go)
58,0058,Growlithe,Kanto (Lets Go)
59,0059,Arcanine,Kanto (Lets Go)
60,0060,Poliwag,Kanto (Lets Go)
61,0061,Poliwhirl,Kanto (Lets Go)
62,0062,Poliwrath,Kanto (Lets Go)
63,0063,Abra,Kanto (Lets Go)
64,0064,Kadabra,Kanto (Lets Go)
65,0065,Alakazam,Kanto (Lets Go)
66,0066,Machop,Kanto (Lets Go)
67,0067,Machoke,Kanto (Lets Go)
68,0068,Machamp,Kanto (Lets Go)
69,0069,Bellsprout,Kanto (Lets Go)
70,0070,Weepinbell,Kanto (Lets Go)
71,0071,Victreebel,Kanto (Lets Go)
72,0072,Tentacool,Kanto (Lets Go)
73,0073,Tentacruel,Kanto (Lets Go)
74,0074,Geodude,Kanto (Lets Go)
75,0075,Graveler,Kanto (Lets Go)
76,0076,Golem,Kanto (Lets Go)
77,0077,Ponyta,Kanto (Lets Go)
78,0078,Rapidash,Kanto (Lets Go)
79,0079,Slowpoke,Kanto (Lets Go)
80,0080,Slowbro,Kanto (Lets Go)
81,0081,Magnemite,Kanto (Lets Go)
82,0082,Magneton,Kanto (Lets Go)
83,0083,Farfetch'd,Kanto (Lets Go)
84,0084,Doduo,Kanto (Lets Go)
85,0085,Dodrio,Kanto (Lets Go)
86,0086,Seel,Kanto (Lets Go)
87,0087,Dewgong,Kanto (Lets Go)
88,0088,Grimer,Kanto (Lets Go)
89,0089,Muk,Kanto (Lets Go)
90,0090,Shellder,Kanto (Lets Go)
91,0091,Cloyster,Kanto (Lets Go)
92,0092,Gastly,Kanto (Lets Go)
93,0093,Haunter,Kanto (Lets Go)
94,0094,Gengar,Kanto (Lets Go)
95,0095,Onix,Kanto (Lets Go)
96,0096,Drowzee,Kanto (Lets Go)
97,0097,Hypno,Kanto (Lets Go)
98,0098,Krabby,Kanto (Lets Go)
99,0099,Kingler,Kanto (Lets Go)
100,0100,Voltorb,Kanto (Lets Go)
101,0101,Electrode,Kanto (Lets Go)
102,0102,Exeggcute,Kanto (Lets Go)
103,0103,Exeggutor,Kanto (Lets Go)
104,0104,Cubone,Kanto (Lets Go)
105,0105,Marowak,Kanto (Lets Go)
106,0106,Hitmonlee,Kanto (Lets Go)
107,0107,Hitmonchan,Kanto (Lets Go)
108,0108,Lickitung,Kanto (Lets Go)
109,0109,Koffing,Kanto (Lets Go)
110,0110,Weezing,Kanto (Lets Go)
111,0111,Rhyhorn,Kanto (Lets Go)
112,0112,Rhydon,Kanto (Lets Go)
113,0113,Chansey,Kanto (Lets Go)
114,0114,Tangela,Kanto (Lets Go)
115,0115,Kangaskhan,Kanto (Lets Go)
116,0116,Horsea,Kanto (Lets Go)
117,0117,Seadra,Kanto (Lets Go)
118,0118,Goldeen,Kanto (Lets Go)
