Regional Dex #,National Dex #,Pokemon,Type 1,Type 2,Games
001,0001,Bulbasaur,Grass,Poison,Generation 1
002,0002,Ivysaur,Grass,Poison,Generation 1
003,0003,Venusaur,Grass,Poison,Generation 1
004,0004,Charmander,Fire,None,Generation 1
005,0005,Charmeleon,Fire,None,Generation 1
006,0006,Charizard,Fire,Flying,Generation 1
007,0007,Squirtle,Water,None,Generation 1
008,0008,Wartortle,Water,None,Generation 1
009,0009,Blastoise,Water,None,Generation 1
010,0010,Caterpie,Bug,None,Generation 1
011,0011,Metapod,Bug,None,Generation 1
012,0012,Butterfree,Bug,Flying,Generation 1
013,0013,Weedle,Bug,Poison,Generation 1
014,0014,Kakuna,Bug,Poison,Generation 1
015,0015,Beedrill,Bug,Poison,Generation 1
016,0016,Pidgey,Normal,Flying,Generation 1
017,0017,Pidgeotto,Normal,Flying,Generation 1
018,0018,Pidgeot,Normal,Flying,Generation 1
019,0019,Rattata,Normal,None,Generation 1
020,0020,Raticate,Normal,None,Generation 1
021,0021,Spearow,Normal,Flying,Generation 1
022,0022,Fearow,Normal,Flying,Generation 1
023,0023,Ekans,Poison,None,Generation 1
024,0024,Arbok,Poison,None,Generation 1
025,0025,Pikachu,Electric,None,Generation 1
026,0026,Raichu,Electric,None,Generation 1
027,0027,Sandshrew,Ground,None,Generation 1
028,0028,Sandslash,Ground,None,Generation 1
029,0029,Nidoran♀,Poison,None,Generation 1
030,0030,Nidorina,Poison,None,Generation 1
031,0031,Nidoqueen,Poison,Ground,Generation 1
032,0032,Nidoran♂,Poison,None,Generation 1
033,0033,Nidorino,Poison,None,Generation 1
034,0034,Nidoking,Poison,Ground,Generation 1
035,0035,Clefairy,Fairy,None,Generation 1
036,0036,Clefable,Fairy,None,Generation 1
037,0037,Vulpix,Fire,None,Generation 1
038,0038,Ninetales,Fire,None,Generation 1
039,0039,Jigglypuff,Normal,Fairy,Generation 1
040,0040,Wigglytuff,Normal,Fairy,Generation 1
041,0041,Zubat,Poison,Flying,Generation 1
042,0042,Golbat,Poison,Flying,Generation 1
043,0043,Oddish,Grass,Poison,Generation 1
044,0044,Gloom,Grass,Poison,Generation 1
045,0045,Vileplume,Grass,Poison,Generation 1
046,0046,Paras,Bug,Grass,Generation 1
047,0047,Parasect,Bug,Grass,Generation 1
048,0048,Venonat,Bug,Poison,Generation 1
049,0049,Venomoth,Bug,Poison,Generation 1
050,0050,Diglett,Ground,None,Generation 1
051,0051,Dugtrio,Ground,None,Generation 1
052,0052,Meowth,Normal,None,Generation 1
053,0053,Persian,Normal,None,Generation 1
054,0054,Psyduck,Water,None,Generation 1
055,0055,Golduck,Water,None,Generation 1
056,0056,Mankey,Fighting,None,Generation 1
057,0057,Primeape,Fighting,None,Generation 1
058,0058,Growlithe,Fire,None,Generation 1
059,0059,Arcanine,Fire,None,Generation 1
060,0060,Poliwag,Water,None,Generation 1
061,0061,Poliwhirl,Water,None,Generation 1
062,0062,Poliwrath,Water,Fighting,Generation 1
063,0063,Abra,Psychic,None,Generation 1
064,0064,Kadabra,Psychic,None,Generation 1
065,0065,Alakazam,Psychic,None,Generation 1
066,0066,Machop,Fighting,None,Generation 1
067,0067,Machoke,Fighting,None,Generation 1
068,0068,Machamp,Fighting,None,Generation 1
069,0069,Bellsprout,Grass,Poison,Generation 1
070,0070,Weepinbell,Grass,Poison,Generation 1
071,0071,Victreebel,Grass,Poison,Generation 1
072,0072,Tentacool,Water,Poison,Generation 1
073,0073,Tentacruel,Water,Poison,Generation 1
074,0074,Geodude,Rock,Ground,Generation 1
075,0075,Graveler,Rock,Ground,Generation 1
076,0076,Golem,Rock,Ground,Generation 1
077,0077,Ponyta,Fire,None,Generation 1
078,0078,Rapidash,Fire,None,Generation 1
079,0079,Slowpoke,Water,Psychic,Generation 1
080,0080,Slowbro,Water,Psychic,Generation 1
081,0081,Magnemite,Electric,Steel,Generation 1
