Regional Dex #,National_Dex,Pokemon,Dex
1,0167,Spinarak,Kitakami
2,0168,Ariados,Kitakami
3,0193,Yanma,Kitakami
4,0469,Yanmega,Kitakami
5,0194,Wooper,Kitakami
6,0195,Quagsire,Kitakami
7,0261,Poochyena,Kitakami
8,0262,Mightyena,Kitakami
9,0313,Volbeat,Kitakami
10,0314,Illumise,Kitakami
11,0341,Corphish,Kitakami
12,0342,Crawdaunt,Kitakami
13,0540,Sewaddle,Kitakami
14,0541,Swadloon,Kitakami
15,0542,Leavanny,Kitakami
16,0742,Cutiefly,Kitakami
17,0743,Ribombee,Kitakami
18,0023,Ekans,Kitakami
19,0024,Arbok,Kitakami
20,0172,Pichu,Kitakami
21,0025,Pikachu,Kitakami
22,0026,Raichu,Kitakami
23,0069,Bellsprout,Kitakami
24,0070,Weepinbell,Kitakami
25,0071,Victreebel,Kitakami
26,0161,Sentret,Kitakami
27,0162,Furret,Kitakami
28,0396,Starly,Kitakami
29,0397,Staravia,Kitakami
30,0398,Staraptor,Kitakami
31,0753,Fomantis,Kitakami
32,0754,Lurantis,Kitakami
33,0840,Applin,Kitakami
34,0841,Flapple,Kitakami
35,0842,Appletun,Kitakami
36,1011,Dipplin,Kitakami
37,0037,Vulpix,Kitakami
38,0038,Ninetales,Kitakami
39,0060,Poliwag,Kitakami
40,0061,Poliwhirl,Kitakami
41,0062,Poliwrath,Kitakami
42,0186,Politoed,Kitakami
43,0129,Magikarp,Kitakami
44,0130,Gyarados,Kitakami
45,0163,Hoothoot,Kitakami
46,0164,Noctowl,Kitakami
47,0190,Aipom,Kitakami
48,0424,Ambipom,Kitakami
49,0214,Heracross,Kitakami
50,0220,Swinub,Kitakami
51,0221,Piloswine,Kitakami
52,0473,Mamoswine,Kitakami
53,0234,Stantler,Kitakami
54,0273,Seedot,Kitakami
55,0274,Nuzleaf,Kitakami
56,0275,Shiftry,Kitakami
57,0280,Ralts,Kitakami
58,0281,Kirlia,Kitakami
59,0282,Gardevoir,Kitakami
60,0475,Gallade,Kitakami
61,0401,Kricketot,Kitakami
62,0402,Kricketune,Kitakami
63,0417,Pachirisu,Kitakami
64,0447,Riolu,Kitakami
65,0448,Lucario,Kitakami
66,0548,Petilil,Kitakami
67,0549,Lilligant,Kitakami
68,0708,Phantump,Kitakami
69,0709,Trevenant,Kitakami
70,0744,Rockruff,Kitakami
71,0745,Lycanroc,Kitakami
72,0819,Skwovet,Kitakami
73,0820,Greedent,Kitakami
74,0948,Toedscool,Kitakami
75,0949,Toedscruel,Kitakami
76,1012,Poltchageist,Kitakami
77,1013,Sinistcha,Kitakami
78,0058,Growlithe,Kitakami
79,0059,Arcanine,Kitakami
80,0074,Geodude,Kitakami
81,0075,Graveler,Kitakami
82,0076,Golem,Kitakami
83,0438,Bonsly,Kitakami
84,0185,Sudowoodo,Kitakami
85,0532,Timburr,Kitakami
86,0533,Gurdurr,Kitakami
87,0534,Conkeldurr,Kitakami
88,0714,Noibat,Kitakami
89,0715,Noivern,Kitakami
90,0846,Arrokuda,Kitakami
91,0847,Barraskewda,Kitakami
92,0856,Hatenna,Kitakami
93,0857,Hattrem,Kitakami
94,0858,Hatterene,Kitakami
95,0877,Morpeko,Kitakami
96,0968,Orthworm,Kitakami
97,0924,Tandemaus,Kitakami
98,0925,Maushold,Kitakami
99,0056,Mankey,Kitakami
100,0057,Primeape,Kitakami
101,0979,Annihilape,Kitakami
102,0446,Munchlax,Kitakami
103,0143,Snorlax,Kitakami
104,0270,Lotad,Kitakami
105,0271,Lombre,Kitakami
106,0272,Ludicolo,Kitakami
107,0299,Nosepass,Kitakami
108,0476,Probopass,Kitakami
109,0403,Shinx,Kitakami
110,0404,Luxio,Kitakami
111,0405,Luxray,Kitakami
112,0736,Grubbin,Kitakami
113,0737,Charjabug,Kitakami
114,0738,Vikavolt,Kitakami
115,0741,Oricorio,Kitakami
116,0027,Sandshrew,Kitakami
117,0028,Sandslash,Kitakami
118,0092,Gastly,Kitakami
119,0093,Haunter,Kitakami
120,0094,Gengar,Kitakami
121,0207,Gligar,Kitakami
122,0472,Gliscor,Kitakami
123,0228,Houndour,Kitakami
124,0229,Houndoom,Kitakami
125,0325,Spoink,Kitakami
126,0326,Grumpig,Kitakami
127,0629,Vullaby,Kitakami
128,0630,Mandibuzz,Kitakami
129,0749,Mudbray,Kitakami
130,0750,Mudsdale,Kitakami
131,0782,Jangmo-o,Kitakami
132,0783,Hakamo-o,Kitakami
133,0784,Kommo-o,Kitakami
134,0962,Bombirdier,Kitakami
135,0109,Koffing,Kitakami
136,0110,Weezing,Kitakami
137,0619,Mienfoo,Kitakami
138,0620,Mienshao,Kitakami
139,0355,Duskull,Kitakami
140,0356,Dusclops,Kitakami
141,0477,Dusknoir,Kitakami
142,0433,Chingling,Kitakami
143,0358,Chimecho,Kitakami
144,0218,Slugma,Kitakami
145,0219,Magcargo,Kitakami
146,0607,Litwick,Kitakami
147,0608,Lampent,Kitakami
148,0609,Chandelure,Kitakami
149,0283,Surskit,Kitakami
150,0284,Masquerain,Kitakami
151,0173,Cleffa,Kitakami
152,0035,Clefairy,Kitakami
153,0036,Clefable,Kitakami
154,0436,Bronzor,Kitakami
155,0437,Bronzong,Kitakami
156,0969,Glimmet,Kitakami
157,0970,Glimmora,Kitakami
158,0349,Feebas,Kitakami
159,0350,Milotic,Kitakami
160,0206,Dunsparce,Kitakami
161,0982,Dudunsparce,Kitakami
162,0339,Barboach,Kitakami
163,0340,Whiscash,Kitakami
164,0443,Gible,Kitakami
165,0444,Gabite,Kitakami
166,0445,Garchomp,Kitakami
167,0703,Carbink,Kitakami
168,0757,Salandit,Kitakami
169,0758,Salazzle,Kitakami
170,0215,Sneasel,Kitakami
171,0461,Weavile,Kitakami
172,0361,Snorunt,Kitakami
173,0362,Glalie,Kitakami
174,0478,Froslass,Kitakami
175,0602,Tynamo,Kitakami
176,0603,Eelektrik,Kitakami
177,0604,Eelektross,Kitakami
178,0704,Goomy,Kitakami
179,0705,Sliggoo,Kitakami
180,0706,Goodra,Kitakami
181,0580,Ducklett,Kitakami
182,0581,Swanna,Kitakami
183,0833,Chewtle,Kitakami
184,0834,Drednaw,Kitakami
185,0845,Cramorant,Kitakami
186,0624,Pawniard,Kitakami
187,0625,Bisharp,Kitakami
188,0983,Kingambit,Kitakami
189,0778,Mimikyu,Kitakami
190,0859,Impidimp,Kitakami
191,0860,Morgrem,Kitakami
192,0861,Grimmsnarl,Kitakami
193,0876,Indeedee,Kitakami
194,0550,Basculin,Kitakami
195,0902,Basculegion,Kitakami
196,0901,Ursaluna,Kitakami
197,1014,Okidogi,Kitakami
198,1015,Munkidori,Kitakami
199,1016,Fezandipiti,Kitakami
200,1017,Ogerpon,Kitakami
