National_Dex, Pokemon    , Form         , Obtainability, Series
         001, Rowlet     ,              , True         , LA
         002, Dartrix    ,              , True         , LA
         003, Decidueye  , Hisuian      , True         , LA
         004, Cyndaquil  ,              , True         , LA
         005, Quilava    ,              , True         , LA
         006, Typhlosion , Hisuian      , True         , LA
         007, Oshawott   ,              , True         , LA
         008, Dewott     ,              , True         , LA
         009, Samurott   , Hisuian      , True         , LA
         010, Bidoof     ,              , True         , LA
         011, Bibarel    ,              , True         , LA
         012, Starly     ,              , True         , LA
         013, Staravia   ,              , True         , LA
         014, Staraptor  ,              , True         , LA
         015, Shinx      ,              , True         , LA
         016, Luxio      ,              , True         , LA
         017, Luxray     ,              , True         , LA
         018, Wurmple    ,              , True         , LA
         019, Silcoon    ,              , True         , LA
         020, Beautifly  ,              , True         , LA
         021, Cascoon    ,              , True         , LA
         022, Dustox     ,              , True         , LA
         023, Ponyta     ,              , True         , LA
         024, Rapidash   ,              , True         , LA
         025, Eevee      ,              , True         , LA
         026, Vaporeon   ,              , True         , LA
         027, Jolteon    ,              , True         , LA
         028, Flareon    ,              , True         , LA
         029, Espeon     ,              , True         , LA
         030, Umbreon    ,              , True         , LA
         031, Leafeon    ,              , True         , LA
         032, Glaceon    ,              , True         , LA
         033, Sylveon    ,              , True         , LA
         034, Zubat      ,              , True         , LA
         035, Golbat     ,              , True         , LA
         036, Crobat     ,              , True         , LA
         037, Drifloon   ,              , True         , LA
         038, Drifblim   ,              , True         , LA
         039, Kricketot  ,              , True         , LA
         040, Kricketune ,              , True         , LA
         041, Buizel     ,              , True         , LA
         042, Floatzel   ,              , True         , LA
         043, Burmy      ,              , True         , LA
         044, Wormadam   ,              , True         , LA
          44, Wormadam   , Sandy Cloak  , True         , LA
          44, Wormadam   , Trash Cloak  , True         , LA
         045, Mothim     ,              , True         , LA
         046, Geodude    ,              , True         , LA
         047, Graveler   ,              , True         , LA
         048, Golem      ,              , True         , LA
         049, Stantler   ,              , True         , LA
         050, Wyrdeer    ,              , True         , LA
         051, Munchlax   ,              , True         , LA
         052, Snorlax    ,              , True         , LA
         053, Paras      ,              , True         , LA
         054, Parasect   ,              , True         , LA
         055, Pichu      ,              , True         , LA
         056, Pikachu    ,              , True         , LA
         057, Raichu     ,              , True         , LA
         058, Abra       ,              , True         , LA
         059, Kadabra    ,              , True         , LA
         060, Alakazam   ,              , True         , LA
         061, Chimchar   ,              , True         , LA
         062, Monferno   ,              , True         , LA
         063, Infernape  ,              , True         , LA
         064, Buneary    ,              , True         , LA
         065, Lopunny    ,              , True         , LA
