Regional Dex #,National_Dex,Pokemon,Dex
1,0152,Chikorita,Lumiose
2,0153,Bayleef,Lumiose
3,0154,Meganium,Lumiose
4,0498,Tepig,Lumiose
5,0499,Pignite,Lumiose
6,0500,Emboar,Lumiose
7,0158,Totodile,Lumiose
8,0159,Croconaw,Lumiose
9,0160,Feraligatr,Lumiose
10,0661,Fletchling,Lumiose
11,0662,Fletchinder,Lumiose
12,0663,Talonflame,Lumiose
13,0659,Bunnelby,Lumiose
14,0660,Diggersby,Lumiose
15,0664,Scatterbug,Lumiose
16,0665,Spewpa,Lumiose
17,0666,Vivillon,Lumiose
18,0013,Weedle,Lumiose
19,0014,Kakuna,Lumiose
20,0015,Beedrill,Lumiose
21,0016,Pidgey,Lumiose
22,0017,Pidgeotto,Lumiose
23,0018,Pidgeot,Lumiose
24,0179,Mareep,Lumiose
25,0180,Flaaffy,Lumiose
26,0181,Ampharos,Lumiose
27,0504,Patrat,Lumiose
28,0505,Watchog,Lumiose
29,0406,Budew,Lumiose
30,0315,Roselia,Lumiose
31,0407,Roserade,Lumiose
32,0129,Magikarp,Lumiose
33,0130,Gyarados,Lumiose
34,0688,Binacle,Lumiose
35,0689,Barbaracle,Lumiose
36,0120,Staryu,Lumiose
37,0121,Starmie,Lumiose
38,0669,Flabébé,Lumiose
39,0670,Floette,Lumiose
40,0671,Florges,Lumiose
41,0672,Skiddo,Lumiose
42,0673,Gogoat,Lumiose
43,0677,Espurr,Lumiose
44,0678,Meowstic,Lumiose
45,0667,Litleo,Lumiose
46,0668,Pyroar,Lumiose
47,0674,Pancham,Lumiose
48,0675,Pangoro,Lumiose
49,0568,Trubbish,Lumiose
50,0569,Garbodor,Lumiose
51,0702,Dedenne,Lumiose
52,0172,Pichu,Lumiose
53,0025,Pikachu,Lumiose
54,0026,Raichu,Lumiose
55,0173,Cleffa,Lumiose
56,0035,Clefairy,Lumiose
57,0036,Clefable,Lumiose
58,0167,Spinarak,Lumiose
59,0168,Ariados,Lumiose
60,0023,Ekans,Lumiose
61,0024,Arbok,Lumiose
62,0063,Abra,Lumiose
63,0064,Kadabra,Lumiose
64,0065,Alakazam,Lumiose
65,0092,Gastly,Lumiose
66,0093,Haunter,Lumiose
67,0094,Gengar,Lumiose
68,0543,Venipede,Lumiose
69,0544,Whirlipede,Lumiose
70,0545,Scolipede,Lumiose
71,0679,Honedge,Lumiose
72,0680,Doublade,Lumiose
73,0681,Aegislash,Lumiose
74,0069,Bellsprout,Lumiose
75,0070,Weepinbell,Lumiose
76,0071,Victreebel,Lumiose
77,0511,Pansage,Lumiose
78,0512,Simisage,Lumiose
79,0513,Pansear,Lumiose
80,0514,Simisear,Lumiose
81,0515,Panpour,Lumiose
82,0516,Simipour,Lumiose
83,0307,Meditite,Lumiose
84,0308,Medicham,Lumiose
85,0309,Electrike,Lumiose
86,0310,Manectric,Lumiose
87,0280,Ralts,Lumiose
88,0281,Kirlia,Lumiose
89,0282,Gardevoir,Lumiose
90,0475,Gallade,Lumiose
91,0228,Houndour,Lumiose
92,0229,Houndoom,Lumiose
93,0333,Swablu,Lumiose
94,0334,Altaria,Lumiose
95,0531,Audino,Lumiose
96,0682,Spritzee,Lumiose
97,0683,Aromatisse,Lumiose
98,0684,Swirlix,Lumiose
99,0685,Slurpuff,Lumiose
100,0133,Eevee,Lumiose
101,0134,Vaporeon,Lumiose
102,0135,Jolteon,Lumiose
103,0136,Flareon,Lumiose
104,0196,Espeon,Lumiose
105,0197,Umbreon,Lumiose
106,0470,Leafeon,Lumiose
107,0471,Glaceon,Lumiose
108,0700,Sylveon,Lumiose
109,0427,Buneary,Lumiose
110,0428,Lopunny,Lumiose
111,0353,Shuppet,Lumiose
112,0354,Banette,Lumiose
113,0582,Vanillite,Lumiose
114,0583,Vanillish,Lumiose
115,0584,Vanilluxe,Lumiose
116,0322,Numel,Lumiose
117,0323,Camerupt,Lumiose
118,0449,Hippopotas,Lumiose
119,0450,Hippowdon,Lumiose
120,0529,Drilbur,Lumiose
121,0530,Excadrill,Lumiose
122,0551,Sandile,Lumiose
123,0552,Krokorok,Lumiose
124,0553,Krookodile,Lumiose
125,0066,Machop,Lumiose
126,0067,Machoke,Lumiose
127,0068,Machamp,Lumiose
128,0443,Gible,Lumiose
129,0444,Gabite,Lumiose
130,0445,Garchomp,Lumiose
131,0703,Carbink,Lumiose
132,0302,Sableye,Lumiose
133,0303,Mawile,Lumiose
134,0359,Absol,Lumiose
135,0447,Riolu,Lumiose
136,0448,Lucario,Lumiose
137,0079,Slowpoke,Lumiose
138,0080,Slowbro,Lumiose
139,0199,Slowking,Lumiose
140,0318,Carvanha,Lumiose
141,0319,Sharpedo,Lumiose
142,0602,Tynamo,Lumiose
143,0603,Eelektrik,Lumiose
144,0604,Eelektross,Lumiose
145,0147,Dratini,Lumiose
146,0148,Dragonair,Lumiose
147,0149,Dragonite,Lumiose
148,0001,Bulbasaur,Lumiose
149,0002,Ivysaur,Lumiose
150,0003,Venusaur,Lumiose
151,0004,Charmander,Lumiose
152,0005,Charmeleon,Lumiose
153,0006,Charizard,Lumiose
154,0007,Squirtle,Lumiose
155,0008,Wartortle,Lumiose
156,0009,Blastoise,Lumiose
157,0618,Stunfisk,Lumiose
158,0676,Furfrou,Lumiose
159,0686,Inkay,Lumiose
160,0687,Malamar,Lumiose
161,0690,Skrelp,Lumiose
162,0691,Dragalge,Lumiose
163,0692,Clauncher,Lumiose
164,0693,Clawitzer,Lumiose
165,0704,Goomy,Lumiose
166,0705,Sliggoo,Lumiose
167,0706,Goodra,Lumiose
168,0225,Delibird,Lumiose
169,0361,Snorunt,Lumiose
170,0362,Glalie,Lumiose
171,0478,Froslass,Lumiose
172,0459,Snover,Lumiose
173,0460,Abomasnow,Lumiose
174,0712,Bergmite,Lumiose
175,0713,Avalugg,Lumiose
176,0123,Scyther,Lumiose
177,0212,Scizor,Lumiose
178,0127,Pinsir,Lumiose
179,0214,Heracross,Lumiose
180,0587,Emolga,Lumiose
181,0701,Hawlucha,Lumiose
182,0708,Phantump,Lumiose
183,0709,Trevenant,Lumiose
184,0559,Scraggy,Lumiose
185,0560,Scrafty,Lumiose
186,0714,Noibat,Lumiose
187,0715,Noivern,Lumiose
188,0707,Klefki,Lumiose
189,0607,Litwick,Lumiose
190,0608,Lampent,Lumiose
191,0609,Chandelure,Lumiose
192,0142,Aerodactyl,Lumiose
193,0696,Tyrunt,Lumiose
194,0697,Tyrantrum,Lumiose
195,0698,Amaura,Lumiose
196,0699,Aurorus,Lumiose
197,0095,Onix,Lumiose
198,0208,Steelix,Lumiose
199,0304,Aron,Lumiose
200,0305,Lairon,Lumiose
201,0306,Aggron,Lumiose
202,0694,Helioptile,Lumiose
203,0695,Heliolisk,Lumiose
204,0710,Pumpkaboo,Lumiose
205,0711,Gourgeist,Lumiose
206,0246,Larvitar,Lumiose
207,0247,Pupitar,Lumiose
208,0248,Tyranitar,Lumiose
209,0656,Froakie,Lumiose
210,0657,Frogadier,Lumiose
211,0658,Greninja,Lumiose
212,0870,Falinks,Lumiose
213,0650,Chespin,Lumiose
214,0651,Quilladin,Lumiose
215,0652,Chesnaught,Lumiose
216,0227,Skarmory,Lumiose
217,0653,Fennekin,Lumiose
218,0654,Braixen,Lumiose
219,0655,Delphox,Lumiose
220,0371,Bagon,Lumiose
221,0372,Shelgon,Lumiose
222,0373,Salamence,Lumiose
223,0115,Kangaskhan,Lumiose
224,0780,Drampa,Lumiose
225,0374,Beldum,Lumiose
226,0375,Metang,Lumiose
227,0376,Metagross,Lumiose
228,0716,Xerneas,Lumiose
229,0717,Yveltal,Lumiose
230,0718,Zygarde,Lumiose
231,0719,Diancie,Lumiose
232,0150,Mewtwo,Lumiose
