National_Dex,Pokemon,Dex
1,Bulbasaur,"['Blueberry', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Lumiose']"
2,Ivysaur,"['Blueberry', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Lumiose']"
3,Venusaur,"['Blueberry', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Lumiose']"
4,Charmander,"['Blueberry', 'Galar', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Lumiose']"
5,Charmeleon,"['Blueberry', 'Galar', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Lumiose']"
6,Charizard,"['Blueberry', 'Galar', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Lumiose']"
7,Squirtle,"['Blueberry', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Lumiose']"
8,Wartortle,"['Blueberry', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Lumiose']"
9,Blastoise,"['Blueberry', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Lumiose']"
10,Caterpie,"['Alola (SM)', 'Alola (USUM)', 'Galar', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)']"
11,Metapod,"['Alola (SM)', 'Alola (USUM)', 'Galar', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)']"
12,Butterfree,"['Alola (SM)', 'Alola (USUM)', 'Galar', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)']"
13,Weedle,"['Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Lumiose']"
14,Kakuna,"['Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Lumiose']"
15,Beedrill,"['Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Lumiose']"
16,Pidgey,"['Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Lumiose']"
17,Pidgeotto,"['Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Lumiose']"
18,Pidgeot,"['Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Lumiose']"
19,Rattata,"['Alola (SM)', 'Alola (USUM)', 'Johto (GSC)', 'Johto (HgSs)', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Unova (B2W2)']"
20,Raticate,"['Alola (SM)', 'Alola (USUM)', 'Johto (GSC)', 'Johto (HgSs)', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Unova (B2W2)']"
