National_Dex,Pokemon,Form,RGBY,FrLg,GSC,RSE,DPPt,HgSs,BW,B2W2,XY,OrAs,SM,UsUm,PE,SwSh,BdSp,LA,SV,ZA
1,Bulbasaur,,"['Red', 'Green', 'Blue', 'Yellow']","['Fire Red', 'Leaf Green']",[],[],[],"['Heart Gold', 'Soul Silver']",[],[],"['X', 'Y']",[],[],[],"['Lets Go Pikachu', 'Lets Go Eevee']","['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",['Legends ZA']
2,Ivysaur,,"['Red', 'Green', 'Blue', 'Yellow']","['Fire Red', 'Leaf Green']",[],[],[],"['Heart Gold', 'Soul Silver']",[],[],"['X', 'Y']",[],[],[],"['Lets Go Pikachu', 'Lets Go Eevee']","['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",['Legends ZA']
3,Venusaur,,"['Red', 'Green', 'Blue', 'Yellow']","['Fire Red', 'Leaf Green']",[],[],[],"['Heart Gold', 'Soul Silver']",[],[],"['X', 'Y']",[],[],[],"['Lets Go Pikachu', 'Lets Go Eevee']","['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",['Legends ZA']
4,Charmander,,"['Red', 'Green', 'Blue', 'Yellow']","['Fire Red', 'Leaf Green']",[],[],[],"['Heart Gold', 'Soul Silver']",[],[],"['X', 'Y']",[],[],[],"['Lets Go Pikachu', 'Lets Go Eevee']","['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",['Legends ZA']
5,Charmeleon,,"['Red', 'Green', 'Blue', 'Yellow']","['Fire Red', 'Leaf Green']",[],[],[],"['Heart Gold', 'Soul Silver']",[],[],"['X', 'Y']",[],[],[],"['Lets Go Pikachu', 'Lets Go Eevee']","['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",['Legends ZA']
6,Charizard,,"['Red', 'Green', 'Blue', 'Yellow']","['Fire Red', 'Leaf Green']",[],[],[],"['Heart Gold', 'Soul Silver']",[],[],"['X', 'Y']",[],[],[],"['Lets Go Pikachu', 'Lets Go Eevee']","['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",['Legends ZA']
7,Squirtle,,"['Red', 'Green', 'Blue', 'Yellow']","['Fire Red', 'Leaf Green']",[],[],[],"['Heart Gold', 'Soul Silver']",[],[],"['X', 'Y']",[],[],[],"['Lets Go Pikachu', 'Lets Go Eevee']","['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",['Legends ZA']
8,Wartortle,,"['Red', 'Green', 'Blue', 'Yellow']","['Fire Red', 'Leaf Green']",[],[],[],"['Heart Gold', 'Soul Silver']",[],[],"['X', 'Y']",[],[],[],"['Lets Go Pikachu', 'Lets Go Eevee']","['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",['Legends ZA']
9,Blastoise,,"['Red', 'Green', 'Blue', 'Yellow']","['Fire Red', 'Leaf Green']",[],[],[],"['Heart Gold', 'Soul Silver']",[],[],"['X', 'Y']",[],[],[],"['Lets Go Pikachu', 'Lets Go Eevee']","['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",['Legends ZA']
10,Caterpie,,"['Red', 'Green', 'Blue', 'Yellow']","['Fire Red', 'Leaf Green']","['Gold', 'Silver', 'Crystal']",[],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']",['White'],['White 2'],"['X', 'Y']",[],"['Sun', 'Moon']",[],"['Lets Go Pikachu', 'Lets Go Eevee']","['Sword', 'Shield']",['Brilliant Diamond'],[],[],[]
