National_Dex,Pokemon,Series
25,Pikachu,RSE
26,Raichu,RSE
27,Sandshrew,RSE
28,Sandslash,RSE
37,Vulpix,RSE
38,Ninetales,RSE
39,Jigglypuff,RSE
40,Wigglytuff,RSE
41,Zubat,RSE
42,Golbat,RSE
43,Oddish,RSE
44,Gloom,RSE
45,Vileplume,RSE
54,Psyduck,RSE
55,Golduck,RSE
63,Abra,RSE
64,Kadabra,RSE
65,Alakazam,RSE
66,Machop,RSE
67,Machoke,RSE
68,Machamp,RSE
72,Tentacool,RSE
73,Tentacruel,RSE
74,Geodude,RSE
75,Graveler,RSE
76,Golem,RSE
81,Magnemite,RSE
82,Magneton,RSE
84,Doduo,RSE
85,Dodrio,RSE
88,Grimer,RSE
89,Muk,RSE
100,Voltorb,RSE
101,Electrode,RSE
109,Koffing,RSE
110,Weezing,RSE
111,Rhyhorn,RSE
112,Rhydon,RSE
116,Horsea,RSE
117,Seadra,RSE
118,Goldeen,RSE
119,Seaking,RSE
120,Staryu,RSE
121,Starmie,RSE
127,Pinsir,RSE
129,Magikarp,RSE
130,Gyarados,RSE
132,Ditto,RSE
152,Chikorita,RSE
153,Bayleef,RSE
154,Meganium,RSE
155,Cyndaquil,RSE
156,Quilava,RSE
157,Typhlosion,RSE
158,Totodile,RSE
159,Croconaw,RSE
160,Feraligatr,RSE
163,Hoothoot,RSE
164,Noctowl,RSE
165,Ledyba,RSE
166,Ledian,RSE
167,Spinarak,RSE
168,Ariados,RSE
169,Crobat,RSE
170,Chinchou,RSE
171,Lanturn,RSE
172,Pichu,RSE
174,Igglybuff,RSE
177,Natu,RSE
178,Xatu,RSE
179,Mareep,RSE
180,Flaaffy,RSE
181,Ampharos,RSE
182,Bellossom,RSE
183,Marill,RSE
184,Azumarill,RSE
185,Sudowoodo,RSE
190,Aipom,RSE
191,Sunkern,RSE
192,Sunflora,RSE
202,Wobbuffet,RSE
203,Girafarig,RSE
204,Pineco,RSE
205,Forretress,RSE
207,Gligar,RSE
209,Snubbull,RSE
210,Granbull,RSE
213,Shuckle,RSE
214,Heracross,RSE
216,Teddiursa,RSE
217,Ursaring,RSE
218,Slugma,RSE
219,Magcargo,RSE
222,Corsola,RSE
223,Remoraid,RSE
224,Octillery,RSE
227,Skarmory,RSE
228,Houndour,RSE
229,Houndoom,RSE
230,Kingdra,RSE
231,Phanpy,RSE
232,Donphan,RSE
234,Stantler,RSE
235,Smeargle,RSE
241,Miltank,RSE
249,Lugia,RSE
250,Ho-Oh,RSE
252,Treecko,RSE
253,Grovyle,RSE
254,Sceptile,RSE
255,Torchic,RSE
256,Combusken,RSE
257,Blaziken,RSE
258,Mudkip,RSE
259,Marshtomp,RSE
260,Swampert,RSE
261,Poochyena,RSE
262,Mightyena,RSE
263,Zigzagoon,RSE
264,Linoone,RSE
265,Wurmple,RSE
266,Silcoon,RSE
267,Beautifly,RSE
268,Cascoon,RSE
269,Dustox,RSE
270,Lotad,RSE
271,Lombre,RSE
272,Ludicolo,RSE
273,Seedot,RSE
274,Nuzleaf,RSE
275,Shiftry,RSE
276,Taillow,RSE
277,Swellow,RSE
278,Wingull,RSE
279,Pelipper,RSE
280,Ralts,RSE
281,Kirlia,RSE
282,Gardevoir,RSE
283,Surskit,RSE
284,Masquerain,RSE
285,Shroomish,RSE
286,Breloom,RSE
287,Slakoth,RSE
288,Vigoroth,RSE
289,Slaking,RSE
290,Nincada,RSE
291,Ninjask,RSE
292,Shedinja,RSE
293,Whismur,RSE
294,Loudred,RSE
295,Exploud,RSE
296,Makuhita,RSE
297,Hariyama,RSE
298,Azurill,RSE
299,Nosepass,RSE
300,Skitty,RSE
301,Delcatty,RSE
302,Sableye,RSE
303,Mawile,RSE
304,Aron,RSE
305,Lairon,RSE
306,Aggron,RSE
307,Meditite,RSE
308,Medicham,RSE
309,Electrike,RSE
