National_Dex,Pokemon,Series
10,Caterpie,SM
11,Metapod,SM
12,Butterfree,SM
19,Rattata,SM
20,Raticate,SM
21,Spearow,SM
22,Fearow,SM
25,Pikachu,SM
27,Sandshrew,SM
28,Sandslash,SM
29,Nidoran-F,SM
32,Nidoran-M,SM
35,Clefairy,SM
36,Clefable,SM
37,Vulpix,SM
38,Ninetales,SM
39,Jigglypuff,SM
40,Wigglytuff,SM
41,Zubat,SM
42,Golbat,SM
46,Paras,SM
47,Parasect,SM
50,Diglett,SM
51,Dugtrio,SM
52,Meowth,SM
53,Persian,SM
54,Psyduck,SM
55,Golduck,SM
56,Mankey,SM
57,Primeape,SM
58,Growlithe,SM
59,Arcanine,SM
60,Poliwag,SM
61,Poliwhirl,SM
62,Poliwrath,SM
63,Abra,SM
64,Kadabra,SM
65,Alakazam,SM
66,Machop,SM
67,Machoke,SM
68,Machamp,SM
69,Bellsprout,SM
70,Weepinbell,SM
71,Victreebel,SM
72,Tentacool,SM
73,Tentacruel,SM
74,Geodude,SM
75,Graveler,SM
76,Golem,SM
79,Slowpoke,SM
80,Slowbro,SM
81,Magnemite,SM
82,Magneton,SM
88,Grimer,SM
89,Muk,SM
90,Shellder,SM
91,Cloyster,SM
92,Gastly,SM
93,Haunter,SM
94,Gengar,SM
96,Drowzee,SM
97,Hypno,SM
102,Exeggcute,SM
104,Cubone,SM
111,Rhyhorn,SM
112,Rhydon,SM
113,Chansey,SM
115,Kangaskhan,SM
116,Horsea,SM
117,Seadra,SM
118,Goldeen,SM
119,Seaking,SM
120,Staryu,SM
121,Starmie,SM
123,Scyther,SM
125,Electabuzz,SM
126,Magmar,SM
127,Pinsir,SM
128,Tauros,SM
129,Magikarp,SM
130,Gyarados,SM
131,Lapras,SM
132,Ditto,SM
133,Eevee,SM
134,Vaporeon,SM
135,Jolteon,SM
136,Flareon,SM
137,Porygon,SM
142,Aerodactyl,SM
143,Snorlax,SM
147,Dratini,SM
148,Dragonair,SM
149,Dragonite,SM
151,Mew,SM
152,Chikorita,SM
153,Bayleef,SM
154,Meganium,SM
155,Cyndaquil,SM
156,Quilava,SM
157,Typhlosion,SM
158,Totodile,SM
159,Croconaw,SM
160,Feraligatr,SM
165,Ledyba,SM
166,Ledian,SM
167,Spinarak,SM
168,Ariados,SM
169,Crobat,SM
170,Chinchou,SM
171,Lanturn,SM
172,Pichu,SM
173,Cleffa,SM
174,Igglybuff,SM
175,Togepi,SM
176,Togetic,SM
183,Marill,SM
184,Azumarill,SM
185,Sudowoodo,SM
186,Politoed,SM
196,Espeon,SM
197,Umbreon,SM
198,Murkrow,SM
199,Slowking,SM
200,Misdreavus,SM
209,Snubbull,SM
210,Granbull,SM
212,Scizor,SM
215,Sneasel,SM
220,Swinub,SM
221,Piloswine,SM
222,Corsola,SM
225,Delibird,SM
227,Skarmory,SM
230,Kingdra,SM
233,Porygon2,SM
235,Smeargle,SM
239,Elekid,SM
240,Magby,SM
241,Miltank,SM
242,Blissey,SM
243,Raikou,SM
244,Entei,SM
249,Lugia,SM
250,Ho-Oh,SM
251,Celebi,SM
278,Wingull,SM
279,Pelipper,SM
283,Surskit,SM
284,Masquerain,SM
287,Slakoth,SM
288,Vigoroth,SM
289,Slaking,SM
296,Makuhita,SM
297,Hariyama,SM
298,Azurill,SM
299,Nosepass,SM
302,Sableye,SM
315,Roselia,SM
318,Carvanha,SM
319,Sharpedo,SM
320,Wailmer,SM
321,Wailord,SM
324,Torkoal,SM
327,Spinda,SM
328,Trapinch,SM
329,Vibrava,SM
330,Flygon,SM
339,Barboach,SM
340,Whiscash,SM
349,Feebas,SM
350,Milotic,SM
351,Castform,SM
359,Absol,SM
361,Snorunt,SM
362,Glalie,SM
363,Spheal,SM
364,Sealeo,SM
365,Walrein,SM
369,Relicanth,SM
370,Luvdisc,SM
371,Bagon,SM
372,Shelgon,SM
373,Salamence,SM
374,Beldum,SM
375,Metang,SM
376,Metagross,SM
380,Latias,SM
381,Latios,SM
382,Kyogre,SM
