Regional Dex #,National_Dex,Pokemon,Dex
1,0387,Turtwig,Sinnoh (Pt)
2,0388,Grotle,Sinnoh (Pt)
3,0389,Torterra,Sinnoh (Pt)
4,0390,Chimchar,Sinnoh (Pt)
5,0391,Monferno,Sinnoh (Pt)
6,0392,Infernape,Sinnoh (Pt)
7,0393,Piplup,Sinnoh (Pt)
8,0394,Prinplup,Sinnoh (Pt)
9,0395,Empoleon,Sinnoh (Pt)
10,0396,Starly,Sinnoh (Pt)
11,0397,Staravia,Sinnoh (Pt)
12,0398,Staraptor,Sinnoh (Pt)
13,0399,Bidoof,Sinnoh (Pt)
14,0400,Bibarel,Sinnoh (Pt)
15,0401,Kricketot,Sinnoh (Pt)
16,0402,Kricketune,Sinnoh (Pt)
17,0403,Shinx,Sinnoh (Pt)
18,0404,Luxio,Sinnoh (Pt)
19,0405,Luxray,Sinnoh (Pt)
20,0063,Abra,Sinnoh (Pt)
21,0064,Kadabra,Sinnoh (Pt)
22,0065,Alakazam,Sinnoh (Pt)
23,0129,Magikarp,Sinnoh (Pt)
24,0130,Gyarados,Sinnoh (Pt)
25,0406,Budew,Sinnoh (Pt)
26,0315,Roselia,Sinnoh (Pt)
27,0407,Roserade,Sinnoh (Pt)
28,0041,Zubat,Sinnoh (Pt)
29,0042,Golbat,Sinnoh (Pt)
30,0169,Crobat,Sinnoh (Pt)
31,0074,Geodude,Sinnoh (Pt)
32,0075,Graveler,Sinnoh (Pt)
33,0076,Golem,Sinnoh (Pt)
34,0095,Onix,Sinnoh (Pt)
35,0208,Steelix,Sinnoh (Pt)
36,0408,Cranidos,Sinnoh (Pt)
37,0409,Rampardos,Sinnoh (Pt)
38,0410,Shieldon,Sinnoh (Pt)
39,0411,Bastiodon,Sinnoh (Pt)
40,0066,Machop,Sinnoh (Pt)
41,0067,Machoke,Sinnoh (Pt)
42,0068,Machamp,Sinnoh (Pt)
43,0054,Psyduck,Sinnoh (Pt)
44,0055,Golduck,Sinnoh (Pt)
45,0412,Burmy,Sinnoh (Pt)
46,0413,Wormadam,Sinnoh (Pt)
47,0414,Mothim,Sinnoh (Pt)
48,0265,Wurmple,Sinnoh (Pt)
49,0266,Silcoon,Sinnoh (Pt)
50,0267,Beautifly,Sinnoh (Pt)
51,0268,Cascoon,Sinnoh (Pt)
52,0269,Dustox,Sinnoh (Pt)
53,0415,Combee,Sinnoh (Pt)
54,0416,Vespiquen,Sinnoh (Pt)
55,0417,Pachirisu,Sinnoh (Pt)
56,0418,Buizel,Sinnoh (Pt)
57,0419,Floatzel,Sinnoh (Pt)
58,0420,Cherubi,Sinnoh (Pt)
59,0421,Cherrim,Sinnoh (Pt)
60,0422,Shellos,Sinnoh (Pt)
61,0423,Gastrodon,Sinnoh (Pt)
62,0214,Heracross,Sinnoh (Pt)
63,0190,Aipom,Sinnoh (Pt)
