 National_Dex, Pokemon              , Form               , Obtainability, Series
         001, Bulbasaur            ,                    , True         , SwSh
         002, Ivysaur              ,                    , True         , SwSh
         003, Venusaur             ,                    , True         , SwSh
         004, Charmander           ,                    , True         , SwSh
         005, Charmeleon           ,                    , True         , SwSh
         006, Charizard            ,                    , True         , SwSh
         007, Squirtle             ,                    , True         , SwSh
         008, Wartortle            ,                    , True         , SwSh
         009, Blastoise            ,                    , True         , SwSh
         010, Caterpie             ,                    , True         , SwSh
         011, Metapod              ,                    , True         , SwSh
         012, Butterfree           ,                    , True         , SwSh
         025, Pikachu              ,                    , True         , SwSh
          26, Raichu               ,                    , True         , SwSh
          26, Raichu               , Alolan             , True         , SwSh
         027, Sandshrew            ,                    , True         , SwSh
          27, Sandshrew            , Alolan             , True         , SwSh
         028, Sandslash            ,                    , True         , SwSh
          28, Sandslash            , Alolan             , True         , SwSh
         029, Nidoran♀             ,                    , True         , SwSh
         030, Nidorina             ,                    , True         , SwSh
         031, Nidoqueen            ,                    , True         , SwSh
         032, Nidoran♂             ,                    , True         , SwSh
         033, Nidorino             ,                    , True         , SwSh
         034, Nidoking             ,                    , True         , SwSh
         035, Clefairy             ,                    , True         , SwSh
         036, Clefable             ,                    , True         , SwSh
          37, Vulpix               ,                    , True         , SwSh
          37, Vulpix               , Alolan             , True         , SwSh
          38, Ninetales            ,                    , True         , SwSh
          38, Ninetales            , Alolan             , True         , SwSh
         039, Jigglypuff           ,                    , True         , SwSh
         040, Wigglytuff           ,                    , True         , SwSh
         041, Zubat                ,                    , True         , SwSh
         042, Golbat               ,                    , True         , SwSh
         043, Oddish               ,                    , True         , SwSh
         044, Gloom                ,                    , True         , SwSh
         045, Vileplume            ,                    , True         , SwSh
          50, Diglett              ,                    , True         , SwSh
          50, Diglett              , Alolan             , True         , SwSh
          51, Dugtrio              ,                    , True         , SwSh
          51, Dugtrio              , Alolan             , True         , SwSh
          52, Meowth               ,                    , True         , SwSh
          52, Meowth               , Alolan             , True         , SwSh
          52, Meowth               , Galarian           , True         , SwSh
          53, Persian              ,                    , True         , SwSh
          53, Persian              , Alolan             , True         , SwSh
         054, Psyduck              ,                    , True         , SwSh
         055, Golduck              ,                    , True         , SwSh
         058, Growlithe            ,                    , True         , SwSh
         059, Arcanine             ,                    , True         , SwSh
         060, Poliwag              ,                    , True         , SwSh
         061, Poliwhirl            ,                    , True         , SwSh
         062, Poliwrath            ,                    , True         , SwSh
         063, Abra                 ,                    , True         , SwSh
         064, Kadabra              ,                    , True         , SwSh
         065, Alakazam             ,                    , True         , SwSh
         066, Machop               ,                    , True         , SwSh
         067, Machoke              ,                    , True         , SwSh
         068, Machamp              ,                    , True         , SwSh
         072, Tentacool            ,                    , True         , SwSh
         073, Tentacruel           ,                    , True         , SwSh
          77, Ponyta               ,                    , True         , SwSh
          77, Ponyta               , Galarian           , True         , SwSh
          78, Rapidash             ,                    , True         , SwSh
          78, Rapidash             , Galarian           , True         , SwSh
         079, Slowpoke             , Galarian           , True         , SwSh
         079, Slowpoke             ,                    , True         , SwSh
         080, Slowbro              , Galarian           , True         , SwSh
         080, Slowbro              ,                    , True         , SwSh
         081, Magnemite            ,                    , True         , SwSh
         082, Magneton             ,                    , True         , SwSh
          83, Farfetch'd           , Galarian           , True         , SwSh
          83, Farfetch'd           ,                    , True         , SwSh
         090, Shellder             ,                    , True         , SwSh
         091, Cloyster             ,                    , True         , SwSh
         092, Gastly               ,                    , True         , SwSh
         093, Haunter              ,                    , True         , SwSh
         094, Gengar               ,                    , True         , SwSh
         095, Onix                 ,                    , True         , SwSh
         098, Krabby               ,                    , True         , SwSh
         099, Kingler              ,                    , True         , SwSh
         102, Exeggcute            ,                    , True         , SwSh
         103, Exeggutor            ,                    , True         , SwSh
         103, Exeggutor            , Alolan             , True         , SwSh
         104, Cubone               ,                    , True         , SwSh
         105, Marowak              ,                    , True         , SwSh
         105, Marowak              , Alolan             , True         , SwSh
         106, Hitmonlee            ,                    , True         , SwSh
         107, Hitmonchan           ,                    , True         , SwSh
         108, Lickitung            ,                    , True         , SwSh
         109, Koffing              ,                    , True         , SwSh
         110, Weezing              ,                    , True         , SwSh
         110, Weezing              , Galarian           , True         , SwSh
