Regional Dex #,National_Dex,Pokemon,Dex
0,0494,Victini,Unova (B2W2)
1,0495,Snivy,Unova (B2W2)
2,0496,Servine,Unova (B2W2)
3,0497,Serperior,Unova (B2W2)
4,0498,Tepig,Unova (B2W2)
5,0499,Pignite,Unova (B2W2)
6,0500,Emboar,Unova (B2W2)
7,0501,Oshawott,Unova (B2W2)
8,0502,Dewott,Unova (B2W2)
9,0503,Samurott,Unova (B2W2)
10,0504,Patrat,Unova (B2W2)
11,0505,Watchog,Unova (B2W2)
12,0509,Purrloin,Unova (B2W2)
13,0510,Liepard,Unova (B2W2)
14,0519,Pidove,Unova (B2W2)
15,0520,Tranquill,Unova (B2W2)
16,0521,Unfezant,Unova (B2W2)
17,0540,Sewaddle,Unova (B2W2)
18,0541,Swadloon,Unova (B2W2)
19,0542,Leavanny,Unova (B2W2)
20,0191,Sunkern,Unova (B2W2)
21,0192,Sunflora,Unova (B2W2)
22,0506,Lillipup,Unova (B2W2)
23,0507,Herdier,Unova (B2W2)
24,0508,Stoutland,Unova (B2W2)
25,0179,Mareep,Unova (B2W2)
26,0180,Flaaffy,Unova (B2W2)
27,0181,Ampharos,Unova (B2W2)
28,0054,Psyduck,Unova (B2W2)
29,0055,Golduck,Unova (B2W2)
30,0298,Azurill,Unova (B2W2)
31,0183,Marill,Unova (B2W2)
32,0184,Azumarill,Unova (B2W2)
33,0447,Riolu,Unova (B2W2)
34,0448,Lucario,Unova (B2W2)
35,0206,Dunsparce,Unova (B2W2)
36,0531,Audino,Unova (B2W2)
37,0511,Pansage,Unova (B2W2)
38,0512,Simisage,Unova (B2W2)
39,0513,Pansear,Unova (B2W2)
40,0514,Simisear,Unova (B2W2)
41,0515,Panpour,Unova (B2W2)
42,0516,Simipour,Unova (B2W2)
43,0543,Venipede,Unova (B2W2)
44,0544,Whirlipede,Unova (B2W2)
45,0545,Scolipede,Unova (B2W2)
46,0109,Koffing,Unova (B2W2)
47,0110,Weezing,Unova (B2W2)
48,0081,Magnemite,Unova (B2W2)
49,0082,Magneton,Unova (B2W2)
50,0462,Magnezone,Unova (B2W2)
51,0058,Growlithe,Unova (B2W2)
52,0059,Arcanine,Unova (B2W2)
53,0240,Magby,Unova (B2W2)
54,0126,Magmar,Unova (B2W2)
55,0467,Magmortar,Unova (B2W2)
56,0239,Elekid,Unova (B2W2)
57,0125,Electabuzz,Unova (B2W2)
58,0466,Electivire,Unova (B2W2)
59,0019,Rattata,Unova (B2W2)
60,0020,Raticate,Unova (B2W2)
61,0041,Zubat,Unova (B2W2)
62,0042,Golbat,Unova (B2W2)
63,0169,Crobat,Unova (B2W2)
64,0088,Grimer,Unova (B2W2)
65,0089,Muk,Unova (B2W2)
66,0527,Woobat,Unova (B2W2)
67,0528,Swoobat,Unova (B2W2)
68,0524,Roggenrola,Unova (B2W2)
69,0525,Boldore,Unova (B2W2)
70,0526,Gigalith,Unova (B2W2)
71,0095,Onix,Unova (B2W2)
72,0208,Steelix,Unova (B2W2)
73,0532,Timburr,Unova (B2W2)
74,0533,Gurdurr,Unova (B2W2)
75,0534,Conkeldurr,Unova (B2W2)
76,0529,Drilbur,Unova (B2W2)
77,0530,Excadrill,Unova (B2W2)
78,0300,Skitty,Unova (B2W2)
79,0301,Delcatty,Unova (B2W2)
80,0427,Buneary,Unova (B2W2)
81,0428,Lopunny,Unova (B2W2)
82,0546,Cottonee,Unova (B2W2)
83,0547,Whimsicott,Unova (B2W2)
84,0548,Petilil,Unova (B2W2)
85,0549,Lilligant,Unova (B2W2)
86,0517,Munna,Unova (B2W2)
87,0518,Musharna,Unova (B2W2)
88,0173,Cleffa,Unova (B2W2)
89,0035,Clefairy,Unova (B2W2)
90,0036,Clefable,Unova (B2W2)
91,0133,Eevee,Unova (B2W2)
92,0134,Vaporeon,Unova (B2W2)
93,0135,Jolteon,Unova (B2W2)
94,0136,Flareon,Unova (B2W2)
95,0196,Espeon,Unova (B2W2)
96,0197,Umbreon,Unova (B2W2)
97,0470,Leafeon,Unova (B2W2)
98,0471,Glaceon,Unova (B2W2)
99,0551,Sandile,Unova (B2W2)
100,0552,Krokorok,Unova (B2W2)
101,0553,Krookodile,Unova (B2W2)
102,0554,Darumaka,Unova (B2W2)
103,0555,Darmanitan,Unova (B2W2)
104,0550,Basculin,Unova (B2W2)
105,0568,Trubbish,Unova (B2W2)
106,0569,Garbodor,Unova (B2W2)
107,0572,Minccino,Unova (B2W2)
108,0573,Cinccino,Unova (B2W2)
109,0627,Rufflet,Unova (B2W2)
110,0628,Braviary,Unova (B2W2)
111,0629,Vullaby,Unova (B2W2)
112,0630,Mandibuzz,Unova (B2W2)
113,0027,Sandshrew,Unova (B2W2)
114,0028,Sandslash,Unova (B2W2)
115,0557,Dwebble,Unova (B2W2)
116,0558,Crustle,Unova (B2W2)
117,0559,Scraggy,Unova (B2W2)
118,0560,Scrafty,Unova (B2W2)
119,0556,Maractus,Unova (B2W2)
120,0561,Sigilyph,Unova (B2W2)
121,0328,Trapinch,Unova (B2W2)
122,0329,Vibrava,Unova (B2W2)
123,0330,Flygon,Unova (B2W2)
124,0562,Yamask,Unova (B2W2)
125,0563,Cofagrigus,Unova (B2W2)
126,0564,Tirtouga,Unova (B2W2)
127,0565,Carracosta,Unova (B2W2)
128,0566,Archen,Unova (B2W2)
129,0567,Archeops,Unova (B2W2)
130,0599,Klink,Unova (B2W2)
131,0600,Klang,Unova (B2W2)
132,0601,Klinklang,Unova (B2W2)
133,0406,Budew,Unova (B2W2)
134,0315,Roselia,Unova (B2W2)
135,0407,Roserade,Unova (B2W2)
136,0574,Gothita,Unova (B2W2)
137,0575,Gothorita,Unova (B2W2)
138,0576,Gothitelle,Unova (B2W2)
139,0577,Solosis,Unova (B2W2)
140,0578,Duosion,Unova (B2W2)
141,0579,Reuniclus,Unova (B2W2)
142,0415,Combee,Unova (B2W2)
143,0416,Vespiquen,Unova (B2W2)
144,0587,Emolga,Unova (B2W2)
145,0214,Heracross,Unova (B2W2)
146,0127,Pinsir,Unova (B2W2)
147,0522,Blitzle,Unova (B2W2)
148,0523,Zebstrika,Unova (B2W2)
149,0418,Buizel,Unova (B2W2)
150,0419,Floatzel,Unova (B2W2)
151,0570,Zorua,Unova (B2W2)
152,0571,Zoroark,Unova (B2W2)
153,0580,Ducklett,Unova (B2W2)
154,0581,Swanna,Unova (B2W2)
155,0588,Karrablast,Unova (B2W2)
156,0589,Escavalier,Unova (B2W2)
157,0616,Shelmet,Unova (B2W2)
158,0617,Accelgor,Unova (B2W2)
159,0585,Deerling,Unova (B2W2)
160,0586,Sawsbuck,Unova (B2W2)
161,0590,Foongus,Unova (B2W2)
162,0591,Amoonguss,Unova (B2W2)
163,0351,Castform,Unova (B2W2)
164,0299,Nosepass,Unova (B2W2)
165,0476,Probopass,Unova (B2W2)
166,0304,Aron,Unova (B2W2)
167,0305,Lairon,Unova (B2W2)
168,0306,Aggron,Unova (B2W2)
169,0343,Baltoy,Unova (B2W2)
170,0344,Claydol,Unova (B2W2)
171,0636,Larvesta,Unova (B2W2)
172,0637,Volcarona,Unova (B2W2)
173,0595,Joltik,Unova (B2W2)
174,0596,Galvantula,Unova (B2W2)
175,0597,Ferroseed,Unova (B2W2)
176,0598,Ferrothorn,Unova (B2W2)
177,0602,Tynamo,Unova (B2W2)
178,0603,Eelektrik,Unova (B2W2)
179,0604,Eelektross,Unova (B2W2)
180,0592,Frillish,Unova (B2W2)
181,0593,Jellicent,Unova (B2W2)
182,0594,Alomomola,Unova (B2W2)
183,0610,Axew,Unova (B2W2)
184,0611,Fraxure,Unova (B2W2)
185,0612,Haxorus,Unova (B2W2)
186,0335,Zangoose,Unova (B2W2)
187,0336,Seviper,Unova (B2W2)
188,0605,Elgyem,Unova (B2W2)
189,0606,Beheeyem,Unova (B2W2)
190,0607,Litwick,Unova (B2W2)
191,0608,Lampent,Unova (B2W2)
192,0609,Chandelure,Unova (B2W2)
193,0631,Heatmor,Unova (B2W2)
194,0632,Durant,Unova (B2W2)
195,0613,Cubchoo,Unova (B2W2)
196,0614,Beartic,Unova (B2W2)
197,0615,Cryogonal,Unova (B2W2)
198,0641,Tornadus,Unova (B2W2)
199,0642,Thundurus,Unova (B2W2)
200,0645,Landorus,Unova (B2W2)
201,0451,Skorupi,Unova (B2W2)
202,0452,Drapion,Unova (B2W2)
203,0227,Skarmory,Unova (B2W2)
204,0322,Numel,Unova (B2W2)
205,0323,Camerupt,Unova (B2W2)
206,0325,Spoink,Unova (B2W2)
207,0326,Grumpig,Unova (B2W2)
208,0425,Drifloon,Unova (B2W2)
209,0426,Drifblim,Unova (B2W2)
210,0353,Shuppet,Unova (B2W2)
211,0354,Banette,Unova (B2W2)
212,0278,Wingull,Unova (B2W2)
213,0279,Pelipper,Unova (B2W2)
214,0337,Lunatone,Unova (B2W2)
215,0338,Solrock,Unova (B2W2)
216,0359,Absol,Unova (B2W2)
217,0114,Tangela,Unova (B2W2)
218,0465,Tangrowth,Unova (B2W2)
219,0619,Mienfoo,Unova (B2W2)
220,0620,Mienshao,Unova (B2W2)
221,0207,Gligar,Unova (B2W2)
222,0472,Gliscor,Unova (B2W2)
223,0624,Pawniard,Unova (B2W2)
224,0625,Bisharp,Unova (B2W2)
225,0638,Cobalion,Unova (B2W2)
226,0639,Terrakion,Unova (B2W2)
227,0640,Virizion,Unova (B2W2)
228,0535,Tympole,Unova (B2W2)
229,0536,Palpitoad,Unova (B2W2)
230,0537,Seismitoad,Unova (B2W2)
231,0618,Stunfisk,Unova (B2W2)
232,0213,Shuckle,Unova (B2W2)
233,0458,Mantyke,Unova (B2W2)
234,0226,Mantine,Unova (B2W2)
235,0223,Remoraid,Unova (B2W2)
236,0224,Octillery,Unova (B2W2)
237,0222,Corsola,Unova (B2W2)
238,0120,Staryu,Unova (B2W2)
239,0121,Starmie,Unova (B2W2)
240,0320,Wailmer,Unova (B2W2)
241,0321,Wailord,Unova (B2W2)
242,0131,Lapras,Unova (B2W2)
243,0363,Spheal,Unova (B2W2)
244,0364,Sealeo,Unova (B2W2)
