National_Dex,Pokemon,Series
1,Bulbasaur,USUM
2,Ivysaur,USUM
3,Venusaur,USUM
4,Charmander,USUM
5,Charmeleon,USUM
6,Charizard,USUM
7,Squirtle,USUM
8,Wartortle,USUM
9,Blastoise,USUM
10,Caterpie,USUM
11,Metapod,USUM
12,Butterfree,USUM
13,Weedle,USUM
14,Kakuna,USUM
15,Beedrill,USUM
16,Pidgey,USUM
17,Pidgeotto,USUM
18,Pidgeot,USUM
19,Rattata,USUM
20,Raticate,USUM
21,Spearow,USUM
22,Fearow,USUM
23,Ekans,USUM
24,Arbok,USUM
25,Pikachu,USUM
26,Raichu,USUM
27,Sandshrew,USUM
28,Sandslash,USUM
29,Nidoran-F,USUM
32,Nidoran-M,USUM
35,Clefairy,USUM
36,Clefable,USUM
37,Vulpix,USUM
38,Ninetales,USUM
39,Jigglypuff,USUM
40,Wigglytuff,USUM
41,Zubat,USUM
42,Golbat,USUM
46,Paras,USUM
47,Parasect,USUM
50,Diglett,USUM
51,Dugtrio,USUM
52,Meowth,USUM
53,Persian,USUM
54,Psyduck,USUM
55,Golduck,USUM
56,Mankey,USUM
57,Primeape,USUM
58,Growlithe,USUM
59,Arcanine,USUM
60,Poliwag,USUM
61,Poliwhirl,USUM
62,Poliwrath,USUM
63,Abra,USUM
64,Kadabra,USUM
65,Alakazam,USUM
66,Machop,USUM
67,Machoke,USUM
68,Machamp,USUM
72,Tentacool,USUM
73,Tentacruel,USUM
74,Geodude,USUM
75,Graveler,USUM
76,Golem,USUM
79,Slowpoke,USUM
80,Slowbro,USUM
81,Magnemite,USUM
82,Magneton,USUM
86,Seel,USUM
87,Dewgong,USUM
88,Grimer,USUM
89,Muk,USUM
90,Shellder,USUM
91,Cloyster,USUM
92,Gastly,USUM
93,Haunter,USUM
94,Gengar,USUM
95,Onix,USUM
96,Drowzee,USUM
97,Hypno,USUM
100,Voltorb,USUM
101,Electrode,USUM
102,Exeggcute,USUM
103,Exeggutor,USUM
104,Cubone,USUM
105,Marowak,USUM
108,Lickitung,USUM
111,Rhyhorn,USUM
112,Rhydon,USUM
113,Chansey,USUM
115,Kangaskhan,USUM
116,Horsea,USUM
117,Seadra,USUM
118,Goldeen,USUM
119,Seaking,USUM
120,Staryu,USUM
121,Starmie,USUM
122,Mr. Mime,USUM
123,Scyther,USUM
124,Jynx,USUM
125,Electabuzz,USUM
126,Magmar,USUM
127,Pinsir,USUM
128,Tauros,USUM
129,Magikarp,USUM
130,Gyarados,USUM
131,Lapras,USUM
132,Ditto,USUM
133,Eevee,USUM
134,Vaporeon,USUM
135,Jolteon,USUM
136,Flareon,USUM
137,Porygon,USUM
138,Omanyte,USUM
139,Omastar,USUM
140,Kabuto,USUM
141,Kabutops,USUM
142,Aerodactyl,USUM
143,Snorlax,USUM
144,Articuno,USUM
145,Zapdos,USUM
146,Moltres,USUM
147,Dratini,USUM
148,Dragonair,USUM
149,Dragonite,USUM
150,Mewtwo,USUM
163,Hoothoot,USUM
164,Noctowl,USUM
