Pokemon     , Form         , Series, National_Dex
Chikorita   ,              , ZA    ,        152.0
Bayleef     ,              , ZA    ,        153.0
Meganium    ,              , ZA    ,        154.0
Tepig       ,              , ZA    ,        498.0
Pignite     ,              , ZA    ,        499.0
Emboar      ,              , ZA    ,        500.0
Totodile    ,              , ZA    ,        158.0
Croconaw    ,              , ZA    ,        159.0
Feraligatr  ,              , ZA    ,        160.0
Fletchling  ,              , ZA    ,        661.0
Fletchinder ,              , ZA    ,        662.0
Talonflame  ,              , ZA    ,        663.0
Bunnelby    ,              , ZA    ,        659.0
Diggersby   ,              , ZA    ,        660.0
Scatterbug  ,              , ZA    ,        664.0
Spewpa      ,              , ZA    ,        665.0
Vivillon    ,              , ZA    ,        666.0
Weedle      ,              , ZA    ,         13.0
Kakuna      ,              , ZA    ,         14.0
Beedrill    ,              , ZA    ,         15.0
Pidgey      ,              , ZA    ,         16.0
Pidgeotto   ,              , ZA    ,         17.0
Pidgeot     ,              , ZA    ,         18.0
Mareep      ,              , ZA    ,        179.0
Flaaffy     ,              , ZA    ,        180.0
Ampharos    ,              , ZA    ,        181.0
Patrat      ,              , ZA    ,        504.0
Watchog     ,              , ZA    ,        505.0
Budew       ,              , ZA    ,        406.0
Roselia     ,              , ZA    ,        315.0
Roserade    ,              , ZA    ,        407.0
Magikarp    ,              , ZA    ,        129.0
Gyarados    ,              , ZA    ,        130.0
Binacle     ,              , ZA    ,        688.0
Barbaracle  ,              , ZA    ,        689.0
Staryu      ,              , ZA    ,        120.0
Starmie     ,              , ZA    ,        121.0
Flabebe     ,              , ZA    ,669           
Floette     , Eternal      , ZA    ,        670.0
Floette     ,              , ZA    ,        670.0
Florges     ,              , ZA    ,        671.0
Skiddo      ,              , ZA    ,        672.0
Gogoat      ,              , ZA    ,        673.0
Espurr      ,              , ZA    ,        677.0
Meowstic    ,              , ZA    ,        678
Litleo      ,              , ZA    ,        667.0
Pyroar      ,              , ZA    ,        668.0
Pancham     ,              , ZA    ,        674.0
Pangoro     ,              , ZA    ,        675.0
Trubbish    ,              , ZA    ,        568.0
Garbodor    ,              , ZA    ,        569.0
Dedenne     ,              , ZA    ,        702.0
Pichu       ,              , ZA    ,        172.0
Pikachu     ,              , ZA    ,         25.0
Raichu      ,              , ZA    ,         26.0
Raichu      , Alolan       , ZA    ,         26.0
Cleffa      ,              , ZA    ,        173.0
Clefairy    ,              , ZA    ,         35.0
Clefable    ,              , ZA    ,         36.0
Spinarak    ,              , ZA    ,        167.0
Ariados     ,              , ZA    ,        168.0
Ekans       ,              , ZA    ,         23.0
Arbok       ,              , ZA    ,         24.0
Abra        ,              , ZA    ,         63.0
Kadabra     ,              , ZA    ,         64.0
Alakazam    ,              , ZA    ,         65.0
Gastly      ,              , ZA    ,         92.0
Haunter     ,              , ZA    ,         93.0
Gengar      ,              , ZA    ,         94.0
Venipede    ,              , ZA    ,        543.0
Whirlipede  ,              , ZA    ,        544.0
Scolipede   ,              , ZA    ,        545.0
Honedge     ,              , ZA    ,        679.0
Doublade    ,              , ZA    ,        680.0
Aegislash   ,              , ZA    ,        681.0
Bellsprout  ,              , ZA    ,         69.0
Weepinbell  ,              , ZA    ,         70.0
Victreebel  ,              , ZA    ,         71.0
Pansage     ,              , ZA    ,        511.0
Simisage    ,              , ZA    ,        512.0
Pansear     ,              , ZA    ,        513.0
Simisear    ,              , ZA    ,        514.0
Panpour     ,              , ZA    ,        515.0
Simipour    ,              , ZA    ,        516.0
Meditite    ,              , ZA    ,        307.0
Medicham    ,              , ZA    ,        308.0
Electrike   ,              , ZA    ,        309.0
Manectric   ,              , ZA    ,        310.0
Ralts       ,              , ZA    ,        280.0
Kirlia      ,              , ZA    ,        281.0
Gardevoir   ,              , ZA    ,        282.0
Gallade     ,              , ZA    ,        475.0
Houndour    ,              , ZA    ,        228.0
Houndoom    ,              , ZA    ,        229.0
Swablu      ,              , ZA    ,        333.0
Altaria     ,              , ZA    ,        334.0
Audino      ,              , ZA    ,        531.0
Spritzee    ,              , ZA    ,        682.0
Aromatisse  ,              , ZA    ,        683.0
Swirlix     ,              , ZA    ,        684.0
Slurpuff    ,              , ZA    ,        685.0
Eevee       ,              , ZA    ,        133.0
Vaporeon    ,              , ZA    ,        134.0
Jolteon     ,              , ZA    ,        135.0
Flareon     ,              , ZA    ,        136.0
Espeon      ,              , ZA    ,        196.0
Umbreon     ,              , ZA    ,        197.0
Leafeon     ,              , ZA    ,        470.0
Glaceon     ,              , ZA    ,        471.0
Sylveon     ,              , ZA    ,        700.0
Buneary     ,              , ZA    ,        427.0
Lopunny     ,              , ZA    ,        428.0
Shuppet     ,              , ZA    ,        353.0
Banette     ,              , ZA    ,        354.0
Vanillite   ,              , ZA    ,        582.0
Vanillish   ,              , ZA    ,        583.0
Vanilluxe   ,              , ZA    ,        584.0
Numel       ,              , ZA    ,        322.0
